A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
8317, 12320, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 39, 39, 24, 15, 9, 0
9226, 11785, 1, "OK", 7, 61, 32, 24, 18, 6, 8, 1
9256, 11623, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects MessageBuilder m", 0, 0, 32, 24, 18, 6, 8, 1
9193, 11785, 1, "OK", 6, 62, 32, 24, 18, 6, 8, 1
9453, 11661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects Locale locale", 0, 0, 30, 23, 17, 6, 7, 1
9164, 11661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects Locale locale", 0, 0, 32, 24, 18, 6, 8, 1
11109, 11539, 1, "OK", 2, 9, 7, 3, 2, 1, 2, 2
8432, 12344, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 39, 39, 24, 15, 9, 0
8638, 12359, 1, "OK", 4, 95, 39, 39, 24, 15, 9, 0
9256, 9841, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Engine geoEngine Engine cockpitEngine Engine kpiEngine", 0, 0, 6, 3, 3, 0, 3, 1
9226, 11545, 1, "OK", 6, 56, 32, 24, 18, 6, 8, 1
10729, 11545, 1, "OK", 5, 17, 11, 9, 6, 3, 2, 1
9193, 11545, 1, "OK", 5, 57, 32, 24, 18, 6, 8, 1
8693, 9126, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality personalFolder List myObjects", 0, 0, 3, 3, 2, 1, 1, 0
9656, 11785, 1, "OK", 8, 45, 28, 22, 16, 6, 6, 1
11383, 11496, 1, "OK", 3, 3, 4, 1, 1, 0, 1, 3
8317, 12344, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 39, 39, 24, 15, 9, 0
8776, 9126, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality personalFolder List myObjects", 0, 0, 3, 3, 2, 1, 1, 0
8432, 12359, 1, "OK", 3, 100, 39, 39, 24, 15, 9, 0
10295, 10673, 1, "OK", 5, 6, 9, 6, 6, 0, 1, 3
9256, 11661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects Locale locale", 0, 0, 32, 24, 18, 6, 8, 1
9453, 11954, 1, "OK", 8, 54, 30, 23, 17, 6, 7, 1
9453, 9650, 1, "OK", 1, 6, 2, 1, 1, 0, 1, 1
9164, 11954, 1, "OK", 5, 65, 32, 24, 18, 6, 8, 1
9164, 9650, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Engine geoEngine Engine cockpitEngine Engine kpiEngine", 0, 0, 4, 2, 2, 0, 2, 1
9656, 11545, 1, "OK", 7, 40, 28, 22, 16, 6, 6, 1
8910, 9083, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 2, 1, 1, 0, 1, 1
8317, 12359, 1, "OK", 1, 104, 39, 39, 24, 15, 9, 0
9902, 11871, 1, "OK", 8, 38, 26, 21, 15, 6, 5, 1
9130, 12005, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 19, 14, 8, 0
9902, 11623, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects MessageBuilder m", 0, 0, 26, 21, 15, 6, 5, 1
11335, 11496, 1, "OK", 3, 4, 4, 1, 1, 0, 1, 3
10247, 10673, 1, "OK", 5, 7, 9, 6, 6, 0, 1, 3
9256, 11954, 1, "OK", 8, 61, 32, 24, 18, 6, 8, 1
9256, 9650, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Engine geoEngine Engine cockpitEngine", 0, 0, 4, 2, 2, 0, 2, 1
9453, 12000, 1, "OK", 8, 56, 30, 23, 17, 6, 7, 1
9164, 12000, 1, "OK", 5, 67, 32, 24, 18, 6, 8, 1
9226, 11871, 1, "OK", 7, 62, 32, 24, 18, 6, 8, 1
9193, 11871, 1, "OK", 6, 63, 32, 24, 18, 6, 8, 1
8693, 12005, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 21, 15, 9, 0
8969, 9083, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 2, 1, 1, 0, 1, 1
9164, 9447, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Engine geoEngine Engine cockpitEngine Engine kpiEngine", 0, 0, 2, 1, 1, 0, 1, 1
8776, 12005, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 21, 15, 9, 0
9226, 11623, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects MessageBuilder m", 0, 0, 32, 24, 18, 6, 8, 1
10355, 10673, 1, "OK", 5, 5, 9, 6, 6, 0, 1, 3
9193, 11623, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects MessageBuilder m", 0, 0, 32, 24, 18, 6, 8, 1
10016, 10680, 1, "OK", 6, 11, 12, 8, 7, 1, 2, 2
8518, 12320, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 39, 39, 24, 15, 9, 0
9902, 11661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects Locale locale", 0, 0, 26, 21, 15, 6, 5, 1
9226, 9841, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Engine geoEngine Engine cockpitEngine Engine kpiEngine", 0, 0, 6, 3, 3, 0, 3, 1
9656, 11871, 1, "OK", 8, 46, 28, 22, 16, 6, 6, 1
9193, 9841, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Engine geoEngine Engine cockpitEngine Engine kpiEngine", 0, 0, 6, 3, 3, 0, 3, 1
10980, 11545, 1, "OK", 4, 12, 9, 7, 4, 3, 2, 1
9656, 11623, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List myObjects MessageBuilder m", 0, 0, 28, 22, 16, 6, 6, 1
8518, 12344, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 39, 39, 24, 15, 9, 0
