A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
18029, 18136, 1, "OK", 3, 3, 6, 1, 1, 0, 1, 5
15940, 17541, 1, "OK", 2, 27, 9, 5, 5, 0, 1, 4
15445, 20990, 1, "OK", 6, 108, 45, 45, 20, 25, 9, 0
15940, 17485, 1, "OK", 1, 26, 9, 5, 5, 0, 1, 4
15312, 21016, 1, "OK", 6, 111, 45, 45, 20, 25, 9, 0
17767, 18207, 1, "OK", 4, 8, 11, 3, 2, 1, 2, 4
17670, 18207, 1, "OK", 2, 10, 11, 3, 2, 1, 2, 4
17734, 18207, 1, "OK", 3, 9, 11, 3, 2, 1, 2, 4
15504, 19811, 1, "OK", 6, 81, 44, 35, 19, 16, 9, 1
15632, 19811, 1, "OK", 7, 80, 44, 35, 19, 16, 9, 1
17767, 18145, 1, "OK", 3, 7, 11, 3, 2, 1, 2, 4
17670, 18145, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<String> paramValArr String paramDescStr", 0, 0, 11, 3, 2, 1, 2, 4
17734, 18145, 1, "OK", 2, 8, 11, 3, 2, 1, 2, 4
16007, 17541, 1, "OK", 2, 24, 9, 5, 5, 0, 1, 4
18638, 19744, 1, "OK", 6, 17, 13, 10, 7, 3, 3, 1
15940, 17628, 1, "OK", 2, 28, 9, 5, 5, 0, 1, 4
19421, 19731, 1, "OK", 3, 4, 5, 2, 2, 0, 1, 3
16007, 17485, 1, "OK", 1, 23, 9, 5, 5, 0, 1, 4
15445, 21016, 1, "OK", 6, 110, 45, 45, 20, 25, 9, 0
15504, 18418, 1, "OK", 2, 56, 31, 25, 12, 13, 6, 1
15632, 18418, 1, "OK", 3, 55, 31, 25, 12, 13, 6, 1
15312, 20990, 1, "OK", 6, 109, 45, 45, 20, 25, 9, 0
18467, 19811, 1, "OK", 6, 23, 13, 10, 7, 3, 3, 1
18628, 19811, 1, "OK", 7, 21, 13, 10, 7, 3, 3, 1
15865, 18309, 1, "OK", 2, 44, 25, 13, 9, 4, 4, 3
18841, 19738, 1, "OK", 6, 13, 10, 6, 5, 1, 2, 2
16616, 17485, 1, "OK", 1, 14, 3, 3, 3, 0, 0, 4
17842, 18136, 1, "OK", 4, 5, 6, 1, 1, 0, 1, 5
19118, 19731, 1, "OK", 5, 9, 5, 2, 2, 0, 1, 3
15766, 18316, 1, "OK", 2, 46, 29, 19, 11, 8, 5, 2
17670, 18301, 1, "OK", 2, 11, 11, 3, 2, 1, 2, 4
17734, 18301, 1, "OK", 3, 10, 11, 3, 2, 1, 2, 4
16007, 17628, 1, "OK", 2, 25, 9, 5, 5, 0, 1, 4
15710, 18322, 1, "OK", 2, 48, 31, 25, 12, 13, 6, 1
18782, 19738, 1, "OK", 7, 14, 10, 6, 5, 1, 2, 2
19255, 19731, 1, "OK", 3, 7, 5, 2, 2, 0, 1, 3
15504, 18624, 1, "OK", 2, 60, 31, 25, 12, 13, 6, 1
15632, 18624, 1, "OK", 3, 59, 31, 25, 12, 13, 6, 1
17929, 18136, 1, "OK", 3, 4, 6, 1, 1, 0, 1, 5
15504, 18380, 1, "OK", 2, 54, 31, 25, 12, 13, 6, 1
15632, 18380, 1, "OK", 3, 53, 31, 25, 12, 13, 6, 1
18385, 19811, 1, "OK", 6, 26, 13, 10, 7, 3, 3, 1
18724, 19738, 1, "OK", 6, 15, 10, 6, 5, 1, 2, 2
17767, 18301, 1, "OK", 4, 9, 11, 3, 2, 1, 2, 4
