A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
9526, 10170, 1, "OK", 3, 11, 7, 4, 3, 1, 3, 1
9654, 10170, 1, "OK", 3, 10, 5, 3, 2, 1, 2, 1
8916, 10650, 1, "OK", 5, 40, 15, 15, 10, 5, 4, 0
8960, 10175, 1, "OK", 3, 27, 13, 13, 8, 5, 4, 0
9697, 10049, 1, "OK", 2, 6, 3, 1, 1, 0, 1, 2
10310, 10504, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
8799, 10945, 1, "OK", 5, 54, 18, 18, 12, 6, 5, 0
10680, 10880, 1, "OK", 1, 4, 2, 1, 1, 0, 1, 1
9751, 10049, 1, "OK", 2, 5, 3, 1, 1, 0, 1, 2
8821, 10922, 1, "OK", 6, 51, 18, 18, 12, 6, 5, 0
10180, 10650, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
9526, 10055, 1, "OK", 2, 9, 7, 4, 3, 1, 3, 1
9654, 10055, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
8749, 10922, 1, "OK", 5, 56, 18, 18, 12, 6, 5, 0
10680, 10767, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
8960, 10650, 1, "OK", 4, 38, 15, 15, 10, 5, 4, 0
8992, 10175, 1, "OK", 4, 26, 13, 13, 8, 5, 4, 0
9426, 9649, 1, "OK", 1, 4, 4, 2, 2, 0, 2, 1
9426, 9521, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
8831, 10175, 1, "OK", 5, 30, 13, 13, 8, 5, 4, 0
9393, 9649, 1, "OK", 1, 5, 4, 2, 2, 0, 2, 1
9393, 9521, 1, "OK", 1, 4, 2, 1, 1, 0, 1, 1
8776, 10922, 1, "OK", 5, 54, 18, 18, 12, 6, 5, 0
10247, 10504, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
8799, 10922, 1, "OK", 5, 52, 18, 18, 12, 6, 5, 0
8916, 10175, 1, "OK", 4, 29, 13, 13, 8, 5, 4, 0
8821, 10945, 1, "OK", 6, 53, 18, 18, 12, 6, 5, 0
9002, 9361, 1, "OK", 3, 8, 3, 3, 3, 0, 0, 0
9426, 10170, 1, "OK", 3, 14, 9, 5, 4, 1, 4, 1
9393, 10170, 1, "OK", 2, 15, 9, 5, 4, 1, 4, 1
9002, 9181, 1, "OK", 3, 5, 2, 2, 2, 0, 0, 0
8749, 10945, 1, "OK", 5, 58, 18, 18, 12, 6, 5, 0
9426, 10055, 1, "OK", 2, 12, 9, 5, 4, 1, 4, 1
9393, 10055, 1, "OK", 2, 13, 9, 5, 4, 1, 4, 1
9186, 9361, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
8831, 10650, 1, "OK", 6, 41, 15, 15, 10, 5, 4, 0
9526, 9649, 1, "OK", 1, 1, 2, 1, 1, 0, 1, 1
8776, 10945, 1, "OK", 5, 56, 18, 18, 12, 6, 5, 0
8992, 10650, 1, "OK", 5, 37, 15, 15, 10, 5, 4, 0
10190, 10504, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
