A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
9558, 11993, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Monitor timing List<AbstractSelectionField> projections List<AbstractSelectionField> groups List<Sorting> sortings Map<String, String> columnAliasToName List<Filter> filters List<SimpleFilter> likeFilters", 0, 0, 15, 15, 10, 5, 4, 0
11023, 11635, 1, "OK", 7, 12, 5, 3, 2, 1, 2, 1
11646, 12801, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Filter where List<List<AbstractSelectionField>> summaryRowArray", 0, 0, 8, 8, 6, 2, 2, 0
9690, 11993, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Monitor timing List<AbstractSelectionField> projections List<AbstractSelectionField> groups List<Sorting> sortings Map<String, String> columnAliasToName List<Filter> filters List<SimpleFilter> likeFilters", 0, 0, 15, 15, 10, 5, 4, 0
9301, 9718, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Boolean isNearRealtime IDataSet dataSet", 0, 0, 1, 1, 1, 0, 0, 0
10584, 10915, 1, "OK", 2, 8, 4, 3, 3, 0, 1, 1
11292, 11498, 1, "OK", 1, 5, 3, 1, 1, 0, 1, 2
10140, 12387, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<Filter> filters List<SimpleFilter> likeFilters Monitor timingMinMax", 0, 0, 19, 19, 13, 6, 5, 0
11692, 13430, 1, "OK", 17, 36, 9, 9, 7, 2, 2, 0
8975, 11641, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Boolean isNearRealtime Monitor timing IDataSet dataSet List<AbstractSelectionField> projections List<AbstractSelectionField> groups List<Sorting> sortings Map<String, String> columnAliasToName", 0, 0, 14, 14, 10, 4, 3, 0
8975, 13699, 1, "OK", 15, 103, 23, 23, 17, 6, 5, 0
