A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
19600, 24411, 1, "OK", 2, 91, 42, 42, 11, 31, 10, 0
20709, 22532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
22770, 23413, 1, "OK", 6, 10, 5, 1, 1, 0, 1, 4
20823, 21457, 1, "OK", 6, 10, 5, 1, 1, 0, 1, 4
21679, 22438, 1, "OK", 4, 13, 9, 3, 2, 1, 2, 3
20487, 22532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
21508, 23520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
20487, 23420, 1, "OK", 3, 51, 27, 9, 6, 3, 6, 3
20765, 21457, 1, "OK", 5, 11, 5, 1, 1, 0, 1, 4
20709, 22438, 1, "OK", 4, 30, 18, 6, 4, 2, 4, 3
21508, 24291, 1, "OK", 3, 48, 27, 9, 6, 3, 6, 3
22656, 23520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
21791, 22431, 1, "OK", 6, 10, 5, 1, 1, 0, 1, 4
20156, 24351, 1, "OK", 3, 75, 39, 21, 9, 12, 9, 2
22656, 24291, 1, "OK", 4, 28, 18, 6, 4, 2, 4, 3
21734, 22431, 1, "OK", 5, 11, 5, 1, 1, 0, 1, 4
21508, 23420, 1, "OK", 3, 33, 18, 6, 4, 2, 4, 3
19866, 24406, 1, "OK", 3, 84, 41, 31, 10, 21, 10, 1
19837, 24411, 1, "OK", 3, 87, 42, 42, 11, 31, 10, 0
22656, 23420, 1, "OK", 4, 13, 9, 3, 2, 1, 2, 3
20709, 21558, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] devChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
20487, 22438, 1, "OK", 3, 34, 18, 6, 4, 2, 4, 3
23644, 24284, 1, "OK", 6, 10, 5, 1, 1, 0, 1, 4
21508, 22532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
20709, 24291, 1, "OK", 4, 62, 36, 12, 8, 4, 8, 3
20709, 23520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 27, 9, 6, 3, 6, 3
21679, 23520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
20487, 21558, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] devChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
22480, 23520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
20709, 21464, 1, "OK", 4, 13, 9, 3, 2, 1, 2, 3
21679, 24291, 1, "OK", 4, 45, 27, 9, 6, 3, 6, 3
22480, 24291, 1, "OK", 3, 31, 18, 6, 4, 2, 4, 3
19927, 24351, 1, "OK", 3, 79, 39, 21, 9, 12, 9, 2
19989, 24351, 1, "OK", 3, 78, 39, 21, 9, 12, 9, 2
21679, 23420, 1, "OK", 4, 30, 18, 6, 4, 2, 4, 3
22480, 23420, 1, "OK", 3, 16, 9, 3, 2, 1, 2, 3
20274, 24351, 1, "OK", 3, 74, 39, 21, 9, 12, 9, 2
19739, 24411, 1, "OK", 3, 88, 42, 42, 11, 31, 10, 0
21508, 22438, 1, "OK", 3, 16, 9, 3, 2, 1, 2, 3
20487, 23520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 27, 9, 6, 3, 6, 3
20709, 23420, 1, "OK", 4, 47, 27, 9, 6, 3, 6, 3
19901, 24406, 1, "OK", 3, 83, 41, 31, 10, 21, 10, 1
23526, 24291, 1, "OK", 4, 13, 9, 3, 2, 1, 2, 3
22712, 23413, 1, "OK", 5, 11, 5, 1, 1, 0, 1, 4
23584, 24284, 1, "OK", 5, 11, 5, 1, 1, 0, 1, 4
20487, 24291, 1, "OK", 3, 66, 36, 12, 8, 4, 8, 3
23464, 24291, 1, "OK", 3, 14, 9, 3, 2, 1, 2, 3
20487, 21464, 1, "OK", 3, 17, 9, 3, 2, 1, 2, 3
21679, 22532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
