A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
9123, 11144, 1, "OK", 2, 66, 17, 17, 16, 1, 1, 0
9086, 9725, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao Menu menu", 0, 0, 3, 3, 2, 1, 1, 0
9123, 10116, 1, "OK", 2, 29, 7, 7, 6, 1, 1, 0
9161, 10474, 1, "OK", 3, 40, 9, 9, 8, 1, 1, 0
9729, 10285, 1, "OK", 2, 15, 4, 4, 4, 0, 0, 0
9086, 11275, 1, "OK", 1, 72, 17, 17, 16, 1, 1, 0
10228, 11202, 1, "OK", 2, 36, 10, 10, 10, 0, 0, 0
9018, 10824, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao JSONObject paramsObj Menu menu", 0, 0, 13, 13, 12, 1, 1, 0
9336, 11202, 1, "OK", 4, 62, 17, 17, 16, 1, 1, 0
10290, 10824, 1, "OK", 2, 21, 6, 6, 6, 0, 0, 0
9188, 10163, 1, "OK", 4, 29, 7, 7, 6, 1, 1, 0
9943, 10824, 1, "OK", 2, 31, 8, 8, 8, 0, 0, 0
9123, 10645, 1, "OK", 2, 48, 11, 11, 10, 1, 1, 0
9236, 11238, 1, "OK", 4, 67, 17, 17, 16, 1, 1, 0
9236, 10224, 1, "OK", 4, 29, 7, 7, 6, 1, 1, 0
9188, 11202, 1, "OK", 4, 66, 17, 17, 16, 1, 1, 0
9943, 10331, 1, "OK", 2, 11, 2, 2, 2, 0, 0, 0
10335, 10978, 1, "OK", 2, 25, 8, 8, 8, 0, 0, 0
9018, 10331, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao JSONObject paramsObj Menu menu", 0, 0, 7, 7, 6, 1, 1, 0
10335, 10474, 1, "OK", 2, 6, 2, 2, 2, 0, 0, 0
9336, 11238, 1, "OK", 5, 64, 17, 17, 16, 1, 1, 0
9729, 10824, 1, "OK", 2, 37, 10, 10, 10, 0, 0, 0
9236, 9725, 1, "OK", 4, 15, 3, 3, 2, 1, 1, 0
9387, 9664, 1, "OK", 3, 8, 2, 1, 1, 0, 1, 1
9086, 10285, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao Menu menu", 0, 0, 7, 7, 6, 1, 1, 0
9123, 10163, 1, "OK", 2, 31, 7, 7, 6, 1, 1, 0
10228, 11238, 1, "OK", 3, 38, 10, 10, 10, 0, 0, 0
8982, 11469, 1, "OK", 1, 81, 18, 18, 17, 1, 1, 0
9236, 11275, 1, "OK", 4, 68, 17, 17, 16, 1, 1, 0
9336, 10224, 1, "OK", 4, 26, 7, 7, 6, 1, 1, 0
10121, 10978, 1, "OK", 2, 30, 8, 8, 8, 0, 0, 0
9729, 10331, 1, "OK", 2, 17, 4, 4, 4, 0, 0, 0
10479, 11144, 1, "OK", 2, 24, 8, 8, 8, 0, 0, 0
9336, 9725, 1, "OK", 4, 12, 3, 3, 2, 1, 1, 0
10479, 10645, 1, "OK", 2, 6, 2, 2, 2, 0, 0, 0
9123, 11202, 1, "OK", 2, 68, 17, 17, 16, 1, 1, 0
10121, 10474, 1, "OK", 2, 11, 2, 2, 2, 0, 0, 0
9188, 11238, 1, "OK", 4, 68, 17, 17, 16, 1, 1, 0
9188, 10224, 1, "OK", 4, 30, 7, 7, 6, 1, 1, 0
10650, 10978, 1, "OK", 2, 11, 4, 4, 4, 0, 0, 0
