A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3779, 5795, 1, "OK", 2, 43, 6, 6, 6, 0, 0, 0
3989, 5428, 1, "OK", 2, 32, 6, 6, 6, 0, 0, 0
5520, 6098, 1, "OK", 2, 13, 1, 1, 1, 0, 0, 0
4047, 5678, 1, "OK", 3, 35, 6, 6, 6, 0, 0, 0
4595, 6098, 1, "OK", 2, 32, 5, 5, 5, 0, 0, 0
4454, 5350, 1, "OK", 3, 18, 4, 4, 4, 0, 0, 0
3469, 7224, 1, "OK", 2, 101, 25, 25, 15, 10, 4, 0
5390, 7068, 1, "OK", 2, 48, 17, 17, 7, 10, 4, 0
3830, 5256, 1, "OK", 2, 31, 6, 6, 6, 0, 0, 0
4047, 4675, 1, "OK", 3, 15, 2, 2, 2, 0, 0, 0
5390, 6053, 1, "OK", 2, 15, 1, 1, 1, 0, 0, 0
4905, 5734, 1, "OK", 2, 18, 4, 4, 4, 0, 0, 0
3646, 5849, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject result BIObject obj", 0, 0, 6, 6, 6, 0, 0, 0
4017, 4591, 1, "OK", 3, 14, 2, 2, 2, 0, 0, 0
4637, 5849, 1, "OK", 2, 24, 4, 4, 4, 0, 0, 0
5854, 7034, 1, "OK", 2, 36, 17, 17, 7, 10, 4, 0
3830, 6293, 1, "OK", 2, 56, 8, 8, 8, 0, 0, 0
3830, 4245, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
4679, 5574, 1, "OK", 2, 18, 4, 4, 4, 0, 0, 0
5682, 6225, 1, "OK", 2, 13, 2, 2, 2, 0, 0, 0
4547, 5574, 1, "OK", 2, 21, 4, 4, 4, 0, 0, 0
4454, 5386, 1, "OK", 3, 19, 4, 4, 4, 0, 0, 0
4017, 5626, 1, "OK", 3, 35, 6, 6, 6, 0, 0, 0
5067, 5849, 1, "OK", 2, 17, 2, 2, 2, 0, 0, 0
5260, 7034, 1, "OK", 2, 49, 17, 17, 7, 10, 4, 0
6780, 7016, 1, "OK", 3, 8, 9, 3, 2, 1, 2, 3
3989, 5474, 1, "OK", 2, 33, 6, 6, 6, 0, 0, 0
4250, 5574, 1, "OK", 2, 27, 4, 4, 4, 0, 0, 0
3779, 5849, 1, "OK", 2, 44, 6, 6, 6, 0, 0, 0
