A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2341, 3271, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String jobDescription String jobClassName String jobDurability String jobRequestRecovery String jobMergeAllSnapshots String jobCollateSnapshots String jobVolatility Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 8, 8, 8, 0, 0, 0
3180, 3376, 1, "OK", 3, 2, 2, 2, 2, 0, 0, 0
2206, 2854, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer result String jobName String jobGroupName String jobDescription String jobClassName String jobDurability String jobRequestRecovery String jobMergeAllSnapshots String jobCollateSnapshots String jobVolatility Map<String, String> parameters", 0, 0, 5, 5, 5, 0, 0, 0
3475, 4474, 1, "OK", 8, 28, 7, 7, 4, 3, 2, 0
2261, 3711, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String jobCollateSnapshots String jobVolatility Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 10, 10, 10, 0, 0, 0
2506, 3795, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String jobVolatility Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 9, 9, 9, 0, 0, 0
2801, 3866, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 5, 5, 5, 0, 0, 0
2859, 3092, 1, "OK", 1, 8, 1, 1, 1, 0, 0, 0
2228, 3711, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer result String jobCollateSnapshots String jobVolatility Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 10, 10, 10, 0, 0, 0
2341, 3795, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String jobVolatility Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 10, 10, 10, 0, 0, 0
2661, 3092, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String jobCollateSnapshots String jobVolatility Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 3, 3, 3, 0, 0, 0
2206, 3376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer result String jobClassName String jobDurability String jobRequestRecovery String jobMergeAllSnapshots String jobCollateSnapshots String jobVolatility Map<String, String> parameters boolean isForServiceConsumer", 0, 0, 9, 9, 9, 0, 0, 0
4041, 4348, 1, "OK", 3, 10, 3, 1, 1, 0, 1, 2
2582, 2988, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String jobMergeAllSnapshots String jobCollateSnapshots String jobVolatility Map<String, String> parameters boolean isForServiceConsumer String rootTag", 0, 0, 3, 3, 3, 0, 0, 0
