A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
13385, 17262, 1, "OK", 7, 78, 10, 10, 10, 0, 0, 0
15416, 20861, 1, "OK", 4, 104, 10, 10, 10, 0, 0, 0
22001, 22552, 1, "OK", 2, 11, 1, 1, 1, 0, 0, 0
13894, 17863, 1, "OK", 4, 77, 9, 9, 9, 0, 0, 0
17266, 20861, 1, "OK", 4, 70, 6, 6, 6, 0, 0, 0
22001, 23582, 1, "OK", 4, 36, 3, 3, 3, 0, 0, 0
12736, 24063, 1, "OK", 4, 225, 22, 22, 22, 0, 0, 0
14128, 20861, 1, "OK", 4, 133, 13, 13, 13, 0, 0, 0
18516, 24087, 1, "OK", 4, 120, 10, 10, 10, 0, 0, 0
12668, 13891, 1, "OK", 2, 20, 2, 2, 2, 0, 0, 0
17867, 23746, 1, "OK", 4, 123, 10, 10, 10, 0, 0, 0
12846, 23746, 1, "OK", 5, 218, 21, 21, 21, 0, 0, 0
13260, 16032, 1, "OK", 6, 60, 7, 7, 7, 0, 0, 0
18516, 23088, 1, "OK", 4, 95, 8, 8, 8, 0, 0, 0
19263, 21434, 1, "OK", 4, 46, 4, 4, 4, 0, 0, 0
12736, 24087, 1, "OK", 4, 227, 22, 22, 22, 0, 0, 0
23092, 23582, 1, "OK", 4, 13, 1, 1, 1, 0, 0, 0
12736, 15910, 1, "OK", 4, 63, 7, 7, 7, 0, 0, 0
14360, 20861, 1, "OK", 4, 129, 12, 12, 12, 0, 0, 0
14612, 16121, 1, "OK", 4, 36, 2, 2, 2, 0, 0, 0
12547, 19715, 1, "OK", 4, 134, 14, 14, 14, 0, 0, 0
13894, 14835, 1, "OK", 4, 16, 4, 4, 4, 0, 0, 0
12547, 14609, 1, "OK", 4, 33, 5, 5, 5, 0, 0, 0
13109, 19715, 1, "OK", 6, 127, 14, 14, 14, 0, 0, 0
13894, 21997, 1, "OK", 4, 161, 16, 16, 16, 0, 0, 0
12736, 23088, 1, "OK", 4, 202, 20, 20, 20, 0, 0, 0
12971, 17863, 1, "OK", 5, 92, 11, 11, 11, 0, 0, 0
13109, 14609, 1, "OK", 6, 26, 5, 5, 5, 0, 0, 0
19719, 23704, 1, "OK", 4, 86, 7, 7, 7, 0, 0, 0
13894, 24063, 1, "OK", 4, 207, 20, 20, 20, 0, 0, 0
14612, 19225, 1, "OK", 4, 89, 8, 8, 8, 0, 0, 0
12736, 13891, 1, "OK", 1, 18, 2, 2, 2, 0, 0, 0
20865, 21997, 1, "OK", 2, 23, 2, 2, 2, 0, 0, 0
12490, 22552, 1, "OK", 3, 196, 19, 19, 19, 0, 0, 0
12490, 14357, 1, "OK", 3, 31, 4, 4, 4, 0, 0, 0
12433, 16121, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MessageBuilder messageBuilder List funcs boolean sbiSocialAnalysisStatus", 0, 0, 7, 7, 7, 0, 0, 0
12846, 19715, 1, "OK", 5, 130, 14, 14, 14, 0, 0, 0
17867, 19715, 1, "OK", 4, 35, 3, 3, 3, 0, 0, 0
21438, 23704, 1, "OK", 4, 50, 4, 4, 4, 0, 0, 0
12490, 23582, 1, "OK", 3, 221, 21, 21, 21, 0, 0, 0
15914, 20861, 1, "OK", 4, 91, 9, 9, 9, 0, 0, 0
13385, 21434, 1, "OK", 7, 161, 17, 17, 17, 0, 0, 0
13894, 24087, 1, "OK", 4, 209, 20, 20, 20, 0, 0, 0
19719, 23746, 1, "OK", 4, 87, 7, 7, 7, 0, 0, 0
20865, 24063, 1, "OK", 4, 69, 6, 6, 6, 0, 0, 0
15416, 17863, 1, "OK", 4, 44, 5, 5, 5, 0, 0, 0
16124, 22552, 1, "OK", 5, 125, 12, 12, 12, 0, 0, 0
14128, 17863, 1, "OK", 4, 73, 8, 8, 8, 0, 0, 0
17266, 17863, 1, "OK", 4, 10, 1, 1, 1, 0, 0, 0
12846, 14609, 1, "OK", 5, 29, 5, 5, 5, 0, 0, 0
12668, 16032, 1, "OK", 5, 67, 7, 7, 7, 0, 0, 0
12971, 21997, 1, "OK", 5, 176, 18, 18, 18, 0, 0, 0
13894, 15910, 1, "OK", 4, 45, 5, 5, 5, 0, 0, 0
13260, 16121, 1, "OK", 6, 61, 7, 7, 7, 0, 0, 0
14612, 20288, 1, "OK", 4, 113, 10, 10, 10, 0, 0, 0
16124, 23582, 1, "OK", 5, 150, 14, 14, 14, 0, 0, 0
13894, 23088, 1, "OK", 4, 184, 18, 18, 18, 0, 0, 0
12433, 19225, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MessageBuilder messageBuilder List funcs", 0, 0, 13, 13, 13, 0, 0, 0
12971, 14835, 1, "OK", 5, 31, 6, 6, 6, 0, 0, 0
15416, 21997, 1, "OK", 4, 128, 12, 12, 12, 0, 0, 0
12971, 24063, 1, "OK", 5, 222, 22, 22, 22, 0, 0, 0
19263, 22552, 1, "OK", 4, 70, 6, 6, 6, 0, 0, 0
