A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
20209, 20763, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String labelTypeFilter HashMap params", 0, 0, 5, 3, 3, 0, 1, 2
20242, 20763, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String labelTypeFilter HashMap params", 0, 0, 5, 3, 3, 0, 1, 2
20023, 20900, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HashMap params Vector v", 0, 0, 5, 3, 3, 0, 1, 2
20408, 20727, 1, "OK", 2, 4, 2, 2, 2, 0, 0, 2
21222, 22504, 1, "OK", 2, 20, 9, 7, 6, 1, 2, 1
21421, 22477, 1, "OK", 2, 16, 5, 3, 3, 0, 1, 2
20023, 20763, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String labelTypeFilter HashMap params", 0, 0, 5, 3, 3, 0, 1, 2
21604, 22459, 1, "OK", 2, 13, 5, 3, 3, 0, 1, 2
19744, 21113, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 7, 3, 2, 0
20570, 20727, 1, "OK", 2, 2, 1, 1, 1, 0, 0, 2
21421, 22122, 1, "OK", 1, 9, 5, 3, 3, 0, 1, 2
21421, 22238, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String labelTypeFilter HashMap params", 0, 0, 5, 3, 3, 0, 1, 2
20023, 21030, 1, "OK", 1, 14, 5, 3, 3, 0, 1, 2
20242, 20900, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HashMap params Vector v", 0, 0, 5, 3, 3, 0, 1, 2
20242, 21030, 1, "OK", 2, 11, 5, 3, 3, 0, 1, 2
20209, 20900, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HashMap params Vector v", 0, 0, 5, 3, 3, 0, 1, 2
21637, 22459, 1, "OK", 3, 12, 5, 3, 3, 0, 1, 2
20209, 21030, 1, "OK", 1, 12, 5, 3, 3, 0, 1, 2
21144, 22529, 1, "OK", 3, 23, 11, 11, 8, 3, 2, 0
21604, 22477, 1, "OK", 2, 14, 5, 3, 3, 0, 1, 2
21637, 22477, 1, "OK", 3, 13, 5, 3, 3, 0, 1, 2
21421, 22267, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String labelTypeFilter HashMap params Vector v", 0, 0, 5, 3, 3, 0, 1, 2
19744, 22529, 1, "OK", 3, 46, 21, 21, 15, 6, 4, 0
21637, 22238, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String labelTypeFilter HashMap params", 0, 0, 5, 3, 3, 0, 1, 2
20209, 21064, 1, "OK", 2, 13, 5, 3, 3, 0, 1, 2
