A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12748, 17810, 1, "OK", 8, 130, 65, 65, 31, 34, 15, 0
16558, 16694, 1, "OK", 3, 2, 1, 1, 1, 0, 0, 3
17062, 17715, 1, "OK", 6, 15, 15, 6, 3, 3, 3, 3
12821, 17858, 1, "OK", 9, 131, 65, 65, 31, 34, 15, 0
12887, 17858, 1, "OK", 10, 130, 65, 65, 31, 34, 15, 0
14137, 14437, 1, "OK", 1, 10, 6, 2, 2, 0, 2, 2
13210, 17834, 1, "OK", 15, 120, 65, 65, 31, 34, 15, 0
12748, 17834, 1, "OK", 8, 132, 65, 65, 31, 34, 15, 0
13101, 15846, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean parameterUsed Object inParameterValue boolean skipParameterInsertion String dialect", 0, 0, 31, 31, 17, 14, 8, 0
14137, 14963, 1, "OK", 3, 21, 11, 5, 5, 0, 3, 2
12955, 17810, 1, "OK", 11, 126, 65, 65, 31, 34, 15, 0
17062, 17743, 1, "OK", 6, 17, 15, 6, 3, 3, 3, 3
14179, 14437, 1, "OK", 2, 8, 6, 2, 2, 0, 2, 2
16270, 16694, 1, "OK", 3, 6, 3, 3, 3, 0, 0, 3
13210, 17858, 1, "OK", 15, 121, 65, 65, 31, 34, 15, 0
14191, 14340, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
12748, 17858, 1, "OK", 8, 133, 65, 65, 31, 34, 15, 0
12821, 15846, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean parameterUsed Object inParameterValue boolean skipParameterInsertion String dialect", 0, 0, 31, 31, 17, 14, 8, 0
12887, 15846, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean parameterUsed Object inParameterValue boolean skipParameterInsertion String dialect", 0, 0, 31, 31, 17, 14, 8, 0
12955, 17834, 1, "OK", 11, 128, 65, 65, 31, 34, 15, 0
14691, 14963, 1, "OK", 4, 6, 2, 2, 2, 0, 0, 2
14179, 14963, 1, "OK", 4, 19, 11, 5, 5, 0, 3, 2
17237, 17715, 1, "OK", 8, 11, 15, 6, 3, 3, 3, 3
12726, 15731, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean parameterUsed Object inParameterValue boolean skipParameterInsertion String dialect", 0, 0, 30, 30, 16, 14, 8, 0
13210, 15846, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean parameterUsed Object inParameterValue boolean skipParameterInsertion", 0, 0, 31, 31, 17, 14, 8, 0
14137, 14501, 1, "OK", 1, 12, 6, 2, 2, 0, 2, 2
12955, 17858, 1, "OK", 11, 129, 65, 65, 31, 34, 15, 0
14444, 14963, 1, "OK", 4, 10, 5, 3, 3, 0, 1, 2
17180, 17715, 1, "OK", 7, 12, 15, 6, 3, 3, 3, 3
17417, 17536, 1, "OK", 4, 1, 6, 1, 1, 0, 1, 5
13024, 15731, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean parameterUsed Object inParameterValue boolean skipParameterInsertion String dialect", 0, 0, 30, 30, 16, 14, 8, 0
17237, 17743, 1, "OK", 8, 13, 15, 6, 3, 3, 3, 3
12726, 17810, 1, "OK", 8, 131, 65, 65, 31, 34, 15, 0
16123, 16694, 1, "OK", 3, 8, 4, 4, 4, 0, 0, 3
12748, 15846, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean parameterUsed Object inParameterValue boolean skipParameterInsertion String dialect", 0, 0, 31, 31, 17, 14, 8, 0
14179, 14501, 1, "OK", 2, 10, 6, 2, 2, 0, 2, 2
16999, 17715, 1, "OK", 6, 16, 15, 6, 3, 3, 3, 3
