A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12109, 13808, 1, "OK", 12, 54, 17, 17, 8, 9, 6, 0
12879, 13493, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int xVal int yVal int col int row double zVal", 0, 0, 11, 7, 4, 3, 4, 1
11493, 13963, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset DatasetMap datasets", 0, 0, 17, 17, 8, 9, 6, 0
13243, 13468, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int yVal int row double zVal", 0, 0, 6, 2, 2, 0, 2, 2
13497, 13799, 1, "OK", 10, 7, 2, 1, 1, 0, 1, 1
12025, 13857, 1, "OK", 9, 61, 17, 17, 8, 9, 6, 0
12093, 13808, 1, "OK", 12, 55, 17, 17, 8, 9, 6, 0
11872, 13999, 1, "OK", 10, 71, 17, 17, 8, 9, 6, 0
11872, 14022, 1, "OK", 10, 72, 17, 17, 8, 9, 6, 0
12131, 12649, 1, "OK", 7, 12, 3, 3, 2, 1, 1, 0
12950, 13370, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int xVal int yVal int col int row String nameP String value", 0, 0, 6, 2, 2, 0, 2, 2
13112, 13468, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int xVal int yVal int col int row double zVal", 0, 0, 9, 3, 3, 0, 3, 2
12655, 13808, 1, "OK", 11, 39, 14, 14, 6, 8, 5, 0
11808, 13963, 1, "OK", 9, 71, 17, 17, 8, 9, 6, 0
13531, 13799, 1, "OK", 9, 6, 2, 1, 1, 0, 1, 1
11329, 13963, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset DatasetMap datasets", 0, 0, 17, 17, 8, 9, 6, 0
11493, 13999, 1, "OK", 7, 80, 17, 17, 8, 9, 6, 0
12879, 13527, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int xVal int yVal int col int row int cell double zVal", 0, 0, 11, 7, 4, 3, 4, 1
12109, 13857, 1, "OK", 13, 56, 17, 17, 8, 9, 6, 0
13063, 13468, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int xVal int yVal int col int row double zVal", 0, 0, 9, 3, 3, 0, 3, 2
11544, 13963, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset DatasetMap datasets", 0, 0, 17, 17, 8, 9, 6, 0
12831, 13493, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int xVal int yVal int col int row double zVal", 0, 0, 11, 7, 4, 3, 4, 1
11164, 13963, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset DatasetMap datasets", 0, 0, 17, 17, 8, 9, 6, 0
11219, 13808, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset double[][] data", 0, 0, 17, 17, 8, 9, 6, 0
