A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7863, 8729, 1, "OK", 5, 31, 27, 19, 8, 11, 8, 1
8477, 8643, 1, "OK", 1, 5, 12, 3, 3, 0, 3, 3
7113, 7406, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset int length double[] xvalues double[] yvalues", 0, 0, 1, 1, 1, 0, 0, 0
7797, 8729, 1, "OK", 5, 35, 27, 19, 8, 11, 8, 1
6993, 7540, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data", 0, 0, 1, 1, 1, 0, 0, 0
7015, 8906, 1, "OK", 0, 71, 29, 29, 10, 19, 8, 0
7543, 8929, 1, "OK", 6, 56, 28, 28, 9, 19, 8, 0
7164, 7365, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset int length double[] xvalues", 0, 0, 1, 1, 1, 0, 0, 0
7164, 8906, 1, "OK", 1, 68, 29, 29, 10, 19, 8, 0
7863, 8740, 1, "OK", 5, 32, 27, 19, 8, 11, 8, 1
7113, 8948, 1, "OK", 1, 71, 29, 29, 10, 19, 8, 0
7582, 8745, 1, "OK", 4, 44, 28, 28, 9, 19, 8, 0
7417, 8745, 1, "OK", 4, 52, 28, 28, 9, 19, 8, 0
7797, 8740, 1, "OK", 5, 36, 27, 19, 8, 11, 8, 1
6993, 7559, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data", 0, 0, 1, 1, 1, 0, 0, 0
7748, 8729, 1, "OK", 5, 37, 27, 19, 8, 11, 8, 1
7015, 8929, 1, "OK", 0, 72, 29, 29, 10, 19, 8, 0
7543, 8948, 1, "OK", 6, 57, 28, 28, 9, 19, 8, 0
7562, 8870, 1, "OK", 6, 53, 28, 28, 9, 19, 8, 0
7947, 8717, 1, "OK", 5, 28, 25, 11, 7, 4, 7, 2
7368, 8745, 1, "OK", 3, 53, 28, 28, 9, 19, 8, 0
7748, 8740, 1, "OK", 5, 38, 27, 19, 8, 11, 8, 1
7164, 8929, 1, "OK", 1, 69, 29, 29, 10, 19, 8, 0
6993, 7578, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data", 0, 0, 1, 1, 1, 0, 0, 0
8449, 8525, 1, "OK", 3, 3, 4, 1, 1, 0, 1, 3
7015, 7406, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset int length double[] xvalues double[] yvalues", 0, 0, 1, 1, 1, 0, 0, 0
7015, 8948, 1, "OK", 0, 73, 29, 29, 10, 19, 8, 0
7216, 7323, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset int length", 0, 0, 1, 1, 1, 0, 0, 0
7164, 7406, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset int length double[] xvalues double[] yvalues", 0, 0, 1, 1, 1, 0, 0, 0
7113, 7455, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues", 0, 0, 1, 1, 1, 0, 0, 0
7216, 8870, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset DatasetMap datasets", 0, 0, 29, 29, 10, 19, 8, 0
7582, 8786, 1, "OK", 6, 47, 28, 28, 9, 19, 8, 0
7417, 8786, 1, "OK", 5, 55, 28, 28, 9, 19, 8, 0
7164, 8948, 1, "OK", 1, 70, 29, 29, 10, 19, 8, 0
8400, 8525, 1, "OK", 3, 4, 4, 1, 1, 0, 1, 3
7947, 8231, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String nameP String value", 0, 0, 3, 1, 1, 0, 1, 2
6993, 7601, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data", 0, 0, 1, 1, 1, 0, 0, 0
7562, 8906, 1, "OK", 6, 54, 28, 28, 9, 19, 8, 0
8477, 8707, 1, "OK", 1, 8, 16, 4, 4, 0, 4, 3
7368, 8786, 1, "OK", 4, 56, 28, 28, 9, 19, 8, 0
6993, 7617, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data int cont", 0, 0, 1, 1, 1, 0, 0, 0
7216, 7365, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset int length double[] xvalues", 0, 0, 1, 1, 1, 0, 0, 0
8531, 8579, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
8109, 8352, 1, "OK", 5, 10, 6, 2, 2, 0, 2, 2
7216, 8906, 1, "OK", 1, 65, 29, 29, 10, 19, 8, 0
7015, 7455, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues", 0, 0, 1, 1, 1, 0, 0, 0
7562, 8929, 1, "OK", 6, 55, 28, 28, 9, 19, 8, 0
7271, 8745, 1, "OK", 1, 56, 29, 29, 10, 19, 8, 0
8060, 8352, 1, "OK", 5, 11, 6, 2, 2, 0, 2, 2
7164, 7455, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues", 0, 0, 1, 1, 1, 0, 0, 0
8449, 8579, 1, "OK", 3, 4, 8, 2, 2, 0, 2, 3
7562, 8948, 1, "OK", 6, 56, 28, 28, 9, 19, 8, 0
8400, 8579, 1, "OK", 3, 5, 8, 2, 2, 0, 2, 3
7216, 8929, 1, "OK", 1, 66, 29, 29, 10, 19, 8, 0
7817, 8729, 1, "OK", 5, 34, 27, 19, 8, 11, 8, 1
7850, 8729, 1, "OK", 5, 32, 27, 19, 8, 11, 8, 1
7850, 8740, 1, "OK", 5, 33, 27, 19, 8, 11, 8, 1
7113, 7520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data", 0, 0, 1, 1, 1, 0, 0, 0
7216, 7406, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset int length double[] xvalues double[] yvalues", 0, 0, 1, 1, 1, 0, 0, 0
7817, 8740, 1, "OK", 5, 35, 27, 19, 8, 11, 8, 1
7216, 8948, 1, "OK", 1, 67, 29, 29, 10, 19, 8, 0
7582, 8870, 1, "OK", 6, 51, 28, 28, 9, 19, 8, 0
7417, 8870, 1, "OK", 5, 59, 28, 28, 9, 19, 8, 0
7113, 7540, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data", 0, 0, 1, 1, 1, 0, 0, 0
7271, 8786, 1, "OK", 2, 59, 29, 29, 10, 19, 8, 0
8531, 8643, 1, "OK", 1, 4, 8, 2, 2, 0, 2, 3
7015, 7520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List listAtts DefaultXYZDataset dataset double[] xvalues double[] yvalues double[] zvalues double[][] data", 0, 0, 1, 1, 1, 0, 0, 0
