A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
8423, 12364, 1, "OK", 1, 106, 34, 34, 25, 9, 7, 0
9596, 9794, 1, "OK", 0, 5, 2, 2, 2, 0, 0, 0
9323, 11594, 1, "OK", 1, 55, 16, 16, 12, 4, 3, 0
11637, 13077, 1, "OK", 1, 39, 14, 14, 8, 6, 4, 0
9011, 13077, 1, "OK", 1, 106, 35, 35, 24, 11, 8, 0
11074, 11594, 1, "OK", 1, 15, 6, 6, 3, 3, 2, 0
10977, 13077, 1, "OK", 2, 58, 21, 21, 12, 9, 6, 0
9596, 12364, 1, "OK", 1, 65, 18, 18, 12, 6, 4, 0
11637, 13101, 1, "OK", 1, 41, 14, 14, 8, 6, 4, 0
9011, 13101, 1, "OK", 1, 108, 35, 35, 24, 11, 8, 0
8445, 11714, 1, "OK", 1, 87, 27, 27, 21, 6, 5, 0
11637, 12597, 1, "OK", 1, 24, 8, 8, 5, 3, 2, 0
8423, 9319, 1, "OK", 1, 30, 11, 11, 9, 2, 2, 0
9011, 12597, 1, "OK", 1, 91, 29, 29, 21, 8, 6, 0
10977, 13101, 1, "OK", 2, 60, 21, 21, 12, 9, 6, 0
8844, 9592, 1, "OK", 0, 26, 12, 12, 10, 2, 2, 0
9011, 11071, 1, "OK", 1, 51, 15, 15, 13, 2, 2, 0
9323, 9592, 1, "OK", 0, 9, 5, 5, 4, 1, 1, 0
10977, 12597, 1, "OK", 2, 43, 15, 15, 9, 6, 4, 0
11823, 12483, 1, "OK", 2, 17, 6, 6, 3, 3, 2, 0
10903, 11820, 1, "OK", 1, 24, 8, 8, 5, 3, 2, 0
10977, 11071, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
12944, 13067, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
9011, 11594, 1, "OK", 1, 66, 21, 21, 16, 5, 4, 0
8479, 11714, 1, "OK", 1, 85, 27, 27, 21, 6, 5, 0
12224, 12355, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
8423, 8840, 1, "OK", 1, 13, 4, 4, 3, 1, 1, 0
10977, 11594, 1, "OK", 2, 18, 7, 7, 4, 3, 2, 0
10903, 12364, 1, "OK", 1, 39, 14, 14, 8, 6, 4, 0
11209, 11590, 1, "OK", 1, 10, 5, 3, 2, 1, 2, 1
12631, 13072, 1, "OK", 1, 12, 5, 3, 2, 1, 2, 1
9011, 9592, 1, "OK", 0, 20, 10, 10, 8, 2, 2, 0
9798, 11820, 1, "OK", 1, 44, 10, 10, 7, 3, 2, 0
8844, 11714, 1, "OK", 1, 74, 23, 23, 18, 5, 4, 0
8423, 12483, 1, "OK", 1, 108, 34, 34, 25, 9, 7, 0
9323, 11714, 1, "OK", 1, 57, 16, 16, 12, 4, 3, 0
11823, 13077, 1, "OK", 2, 35, 13, 13, 7, 6, 4, 0
9798, 12364, 1, "OK", 1, 59, 16, 16, 10, 6, 4, 0
12401, 13077, 1, "OK", 1, 19, 7, 7, 4, 3, 2, 0
11074, 11714, 1, "OK", 2, 17, 6, 6, 3, 3, 2, 0
9596, 12483, 1, "OK", 1, 67, 18, 18, 12, 6, 4, 0
12996, 13067, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
8445, 11820, 1, "OK", 1, 90, 28, 28, 22, 6, 5, 0
12600, 13077, 1, "OK", 1, 15, 6, 6, 3, 3, 2, 0
12293, 12355, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
11823, 13101, 1, "OK", 2, 37, 13, 13, 7, 6, 4, 0
12401, 13101, 1, "OK", 1, 21, 7, 7, 4, 3, 2, 0
8423, 10974, 1, "OK", 1, 68, 20, 20, 17, 3, 3, 0
8423, 9964, 1, "OK", 1, 52, 20, 20, 17, 3, 3, 0
8445, 9794, 1, "OK", 1, 45, 18, 18, 15, 3, 3, 0
11823, 12597, 1, "OK", 2, 20, 7, 7, 4, 3, 2, 0
12749, 13072, 1, "OK", 1, 9, 5, 3, 2, 1, 2, 1
12401, 12597, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
9596, 10974, 1, "OK", 1, 27, 4, 4, 4, 0, 0, 0
8479, 11820, 1, "OK", 1, 88, 28, 28, 22, 6, 5, 0
12600, 13101, 1, "OK", 1, 17, 6, 6, 3, 3, 2, 0
11278, 11585, 1, "OK", 1, 8, 3, 1, 1, 0, 1, 2
12112, 12355, 1, "OK", 1, 6, 3, 1, 1, 0, 1, 2
8445, 12364, 1, "OK", 1, 105, 34, 34, 25, 9, 7, 0
9011, 11714, 1, "OK", 1, 68, 21, 21, 16, 5, 4, 0
9596, 9964, 1, "OK", 0, 11, 4, 4, 4, 0, 0, 0
11526, 11585, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
11460, 11585, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
8479, 9794, 1, "OK", 0, 43, 18, 18, 15, 3, 3, 0
10977, 11714, 1, "OK", 2, 20, 7, 7, 4, 3, 2, 0
10903, 12483, 1, "OK", 1, 41, 14, 14, 8, 6, 4, 0
8479, 12364, 1, "OK", 1, 103, 34, 34, 25, 9, 7, 0
8423, 13077, 1, "OK", 1, 126, 41, 41, 29, 12, 9, 0
11717, 11820, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
8445, 9319, 1, "OK", 1, 29, 11, 11, 9, 2, 2, 0
12486, 13077, 1, "OK", 2, 18, 7, 7, 4, 3, 2, 0
9124, 9275, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
9596, 13077, 1, "OK", 1, 85, 25, 25, 16, 9, 6, 0
8423, 13101, 1, "OK", 1, 128, 41, 41, 29, 12, 9, 0
8844, 11820, 1, "OK", 1, 77, 24, 24, 19, 5, 4, 0
9323, 11820, 1, "OK", 1, 60, 17, 17, 13, 4, 3, 0
8445, 8840, 1, "OK", 1, 12, 4, 4, 3, 1, 1, 0
8423, 12597, 1, "OK", 1, 111, 35, 35, 26, 9, 7, 0
9446, 9549, 1, "OK", 1, 4, 3, 2, 2, 0, 1, 1
8423, 9007, 1, "OK", 1, 19, 6, 6, 5, 1, 1, 0
8479, 9319, 1, "OK", 0, 27, 11, 11, 9, 2, 2, 0
11717, 12364, 1, "OK", 2, 18, 7, 7, 4, 3, 2, 0
11074, 11820, 1, "OK", 2, 20, 7, 7, 4, 3, 2, 0
12486, 13101, 1, "OK", 2, 20, 7, 7, 4, 3, 2, 0
9380, 9549, 1, "OK", 0, 5, 3, 2, 2, 0, 1, 1
8844, 9794, 1, "OK", 0, 32, 14, 14, 12, 2, 2, 0
9596, 13101, 1, "OK", 1, 87, 25, 25, 16, 9, 6, 0
12486, 12597, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
9798, 12483, 1, "OK", 1, 61, 16, 16, 10, 6, 4, 0
9323, 9794, 1, "OK", 0, 15, 7, 7, 6, 1, 1, 0
12818, 13067, 1, "OK", 1, 7, 3, 1, 1, 0, 1, 2
8423, 11071, 1, "OK", 1, 71, 21, 21, 18, 3, 3, 0
9596, 12597, 1, "OK", 1, 70, 19, 19, 13, 6, 4, 0
8423, 11594, 1, "OK", 1, 86, 27, 27, 21, 6, 5, 0
9596, 11071, 1, "OK", 1, 30, 5, 5, 5, 0, 0, 0
8844, 12364, 1, "OK", 1, 92, 30, 30, 22, 8, 6, 0
12164, 12355, 1, "OK", 2, 5, 3, 1, 1, 0, 1, 2
9323, 12364, 1, "OK", 1, 75, 23, 23, 16, 7, 5, 0
11099, 11590, 1, "OK", 1, 13, 5, 3, 2, 1, 2, 1
9596, 11594, 1, "OK", 1, 45, 11, 11, 8, 3, 2, 0
8479, 8840, 1, "OK", 0, 10, 4, 4, 3, 1, 1, 0
11074, 12364, 1, "OK", 2, 35, 13, 13, 7, 6, 4, 0
8529, 8836, 1, "OK", 0, 8, 3, 2, 2, 0, 1, 1
8595, 8836, 1, "OK", 1, 7, 3, 2, 2, 0, 1, 1
8844, 9319, 1, "OK", 0, 16, 7, 7, 6, 1, 1, 0
10903, 13077, 1, "OK", 1, 59, 21, 21, 12, 9, 6, 0
11851, 12360, 1, "OK", 1, 13, 5, 3, 2, 1, 2, 1
9060, 9275, 1, "OK", 0, 6, 3, 2, 2, 0, 1, 1
11182, 11590, 1, "OK", 1, 11, 5, 3, 2, 1, 2, 1
9798, 10974, 1, "OK", 1, 21, 2, 2, 2, 0, 0, 0
11637, 11820, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
9011, 11820, 1, "OK", 1, 71, 22, 22, 17, 5, 4, 0
8445, 12483, 1, "OK", 1, 107, 34, 34, 25, 9, 7, 0
9798, 9964, 1, "OK", 0, 5, 2, 2, 2, 0, 0, 0
10977, 11820, 1, "OK", 2, 23, 8, 8, 5, 3, 2, 0
10903, 13101, 1, "OK", 1, 61, 21, 21, 12, 9, 6, 0
9011, 9794, 1, "OK", 0, 26, 12, 12, 10, 2, 2, 0
8423, 9592, 1, "OK", 1, 40, 16, 16, 13, 3, 3, 0
10903, 12597, 1, "OK", 1, 44, 15, 15, 9, 6, 4, 0
11637, 12364, 1, "OK", 1, 19, 7, 7, 4, 3, 2, 0
9011, 12364, 1, "OK", 1, 86, 28, 28, 20, 8, 6, 0
8479, 12483, 1, "OK", 1, 105, 34, 34, 25, 9, 7, 0
8445, 10974, 1, "OK", 1, 67, 20, 20, 17, 3, 3, 0
10977, 12364, 1, "OK", 2, 38, 14, 14, 8, 6, 4, 0
10903, 11071, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
11134, 11590, 1, "OK", 1, 12, 5, 3, 2, 1, 2, 1
9011, 9319, 1, "OK", 0, 10, 5, 5, 4, 1, 1, 0
10903, 11594, 1, "OK", 1, 19, 7, 7, 4, 3, 2, 0
8445, 9964, 1, "OK", 1, 51, 20, 20, 17, 3, 3, 0
9798, 13077, 1, "OK", 1, 79, 23, 23, 14, 9, 6, 0
11717, 12483, 1, "OK", 2, 20, 7, 7, 4, 3, 2, 0
8479, 10974, 1, "OK", 1, 65, 20, 20, 17, 3, 3, 0
8479, 9964, 1, "OK", 0, 49, 20, 20, 17, 3, 3, 0
9798, 13101, 1, "OK", 1, 81, 23, 23, 14, 9, 6, 0
9798, 12597, 1, "OK", 1, 64, 17, 17, 11, 6, 4, 0
12673, 13072, 1, "OK", 1, 11, 5, 3, 2, 1, 2, 1
8423, 11714, 1, "OK", 1, 88, 27, 27, 21, 6, 5, 0
8844, 12483, 1, "OK", 1, 94, 30, 30, 22, 8, 6, 0
8445, 13077, 1, "OK", 1, 125, 41, 41, 29, 12, 9, 0
9323, 12483, 1, "OK", 1, 77, 23, 23, 16, 7, 5, 0
9798, 11071, 1, "OK", 1, 24, 3, 3, 3, 0, 0, 0
9798, 11594, 1, "OK", 1, 39, 9, 9, 6, 3, 2, 0
11970, 12360, 1, "OK", 1, 10, 5, 3, 2, 1, 2, 1
9596, 11714, 1, "OK", 1, 47, 11, 11, 8, 3, 2, 0
11074, 12483, 1, "OK", 2, 37, 13, 13, 7, 6, 4, 0
11351, 11585, 1, "OK", 1, 6, 3, 1, 1, 0, 1, 2
