A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
5503, 6624, 1, "OK", 1, 32, 10, 6, 6, 0, 4, 1
4825, 5112, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Color color int size", 0, 0, 6, 4, 4, 0, 2, 1
6506, 7283, 1, "OK", 0, 18, 15, 10, 8, 2, 5, 1
4590, 4731, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fontS String sizeS", 0, 0, 2, 1, 1, 0, 1, 1
3385, 8804, 1, "OK", 1, 165, 59, 59, 37, 22, 20, 0
7949, 8634, 1, "OK", 0, 15, 7, 4, 4, 0, 3, 1
3579, 4329, 1, "OK", 1, 27, 10, 6, 6, 0, 4, 1
5691, 6951, 1, "OK", 1, 36, 16, 10, 9, 1, 6, 1
5420, 6651, 1, "OK", 1, 36, 10, 6, 6, 0, 4, 1
6634, 6906, 1, "OK", 0, 6, 6, 4, 3, 1, 2, 1
7889, 8455, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String upper String legend String multichart String orientation", 0, 0, 3, 2, 2, 0, 1, 1
8245, 8677, 1, "OK", 5, 10, 7, 4, 4, 0, 3, 1
8511, 8634, 1, "OK", 2, 2, 4, 2, 2, 0, 2, 1
7491, 7996, 1, "OK", 0, 13, 2, 1, 1, 0, 1, 1
5467, 6227, 1, "OK", 1, 20, 5, 3, 3, 0, 2, 1
7491, 8506, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String legend String multichart String orientation", 0, 0, 5, 3, 3, 0, 2, 1
8001, 8575, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String legend String orientation", 0, 0, 5, 3, 3, 0, 2, 1
5570, 6624, 1, "OK", 1, 30, 10, 6, 6, 0, 4, 1
8460, 8677, 1, "OK", 4, 4, 4, 2, 2, 0, 2, 1
5503, 6651, 1, "OK", 1, 34, 10, 6, 6, 0, 4, 1
5636, 6624, 1, "OK", 1, 28, 10, 6, 6, 0, 4, 1
7651, 8677, 1, "OK", 2, 24, 9, 5, 5, 0, 4, 1
7651, 8164, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String lower String upper String legend String multichart", 0, 0, 2, 1, 1, 0, 1, 1
8053, 8506, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String legend String multichart String orientation", 0, 0, 3, 2, 2, 0, 1, 1
5691, 5957, 1, "OK", 1, 6, 2, 1, 1, 0, 1, 1
3545, 4387, 1, "OK", 1, 33, 12, 12, 8, 4, 4, 0
4590, 5270, 1, "OK", 2, 25, 10, 6, 6, 0, 4, 1
5963, 6227, 1, "OK", 0, 8, 3, 2, 2, 0, 1, 1
3795, 4329, 1, "OK", 3, 22, 8, 5, 5, 0, 3, 1
8169, 8506, 1, "OK", 2, 9, 3, 2, 2, 0, 1, 1
6656, 7283, 1, "OK", 0, 12, 13, 9, 7, 2, 4, 1
5570, 6651, 1, "OK", 1, 32, 10, 6, 6, 0, 4, 1
4825, 5168, 1, "OK", 3, 13, 6, 4, 4, 0, 2, 1
5636, 6651, 1, "OK", 1, 30, 10, 6, 6, 0, 4, 1
7949, 8677, 1, "OK", 0, 16, 7, 4, 4, 0, 3, 1
5467, 7283, 1, "OK", 1, 47, 23, 15, 13, 2, 8, 1
3579, 3863, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fontS String sizeS String colorS", 0, 0, 2, 1, 1, 0, 1, 1
6634, 6951, 1, "OK", 0, 8, 6, 4, 3, 1, 2, 1
8511, 8677, 1, "OK", 3, 3, 4, 2, 2, 0, 2, 1
5691, 6496, 1, "OK", 1, 22, 8, 5, 5, 0, 3, 1
3650, 3719, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
7889, 8506, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String legend String multichart String orientation", 0, 0, 3, 2, 2, 0, 1, 1
6232, 6624, 1, "OK", 0, 13, 5, 3, 3, 0, 2, 1
8107, 8403, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String multichart String orientation", 0, 0, 3, 2, 2, 0, 1, 1
5963, 7283, 1, "OK", 0, 35, 21, 14, 12, 2, 7, 1
7491, 8048, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String lower String upper", 0, 0, 2, 1, 1, 0, 1, 1
8001, 8634, 1, "OK", 1, 14, 7, 4, 4, 0, 3, 1
