A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3024, 5136, 1, "OK", 1, 72, 44, 44, 24, 20, 9, 0
3024, 3856, 1, "OK", 1, 29, 9, 9, 7, 2, 2, 0
3057, 5136, 1, "OK", 1, 71, 44, 44, 24, 20, 9, 0
3057, 3856, 1, "OK", 1, 28, 9, 9, 7, 2, 2, 0
4404, 4598, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String type String value", 0, 0, 6, 3, 3, 0, 1, 3
4404, 5115, 1, "OK", 3, 24, 26, 14, 12, 2, 4, 3
3374, 3770, 1, "OK", 1, 14, 4, 4, 3, 1, 1, 0
3937, 5132, 1, "OK", 2, 40, 34, 27, 16, 11, 7, 1
4491, 4598, 1, "OK", 1, 4, 6, 3, 3, 0, 1, 3
4028, 5132, 1, "OK", 1, 35, 31, 25, 14, 11, 6, 1
4491, 5115, 1, "OK", 3, 21, 26, 14, 12, 2, 4, 3
3418, 3698, 1, "OK", 0, 9, 3, 2, 2, 0, 1, 1
3057, 3371, 1, "OK", 0, 11, 4, 4, 3, 1, 1, 0
4111, 5127, 1, "OK", 1, 32, 29, 19, 13, 6, 5, 2
3024, 3371, 1, "OK", 1, 12, 4, 4, 3, 1, 1, 0
3859, 5136, 1, "OK", 1, 43, 35, 35, 17, 18, 7, 0
4863, 5115, 1, "OK", 3, 9, 8, 5, 4, 1, 1, 3
3272, 3367, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 1
3169, 3367, 1, "OK", 1, 8, 3, 2, 2, 0, 1, 1
3881, 4081, 1, "OK", 1, 7, 3, 2, 2, 0, 1, 1
3024, 3770, 1, "OK", 1, 26, 8, 8, 6, 2, 2, 0
3057, 3770, 1, "OK", 1, 25, 8, 8, 6, 2, 2, 0
4302, 4598, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name String type String value", 0, 0, 6, 3, 3, 0, 1, 3
4302, 5115, 1, "OK", 1, 26, 26, 14, 12, 2, 4, 3
4905, 4982, 1, "OK", 1, 3, 6, 2, 2, 0, 1, 4
3773, 5136, 1, "OK", 2, 46, 36, 36, 18, 18, 7, 0
3773, 3856, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
3937, 4023, 1, "OK", 1, 4, 3, 2, 2, 0, 1, 1
3707, 5136, 1, "OK", 1, 47, 36, 36, 18, 18, 7, 0
3707, 3856, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
4174, 5127, 1, "OK", 1, 30, 29, 19, 13, 6, 5, 2
3881, 5132, 1, "OK", 1, 41, 34, 27, 16, 11, 7, 1
3374, 3702, 1, "OK", 0, 11, 4, 4, 3, 1, 1, 0
3593, 3698, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 1
4687, 5115, 1, "OK", 3, 15, 16, 10, 8, 2, 2, 3
4353, 4598, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String type String value", 0, 0, 6, 3, 3, 0, 1, 3
4353, 5115, 1, "OK", 2, 25, 26, 14, 12, 2, 4, 3
3478, 3698, 1, "OK", 1, 8, 3, 2, 2, 0, 1, 1
4250, 4598, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name String type String value", 0, 0, 6, 3, 3, 0, 1, 3
4250, 5115, 1, "OK", 1, 27, 26, 14, 12, 2, 4, 3
3374, 5136, 1, "OK", 1, 60, 40, 40, 21, 19, 8, 0
3374, 3856, 1, "OK", 1, 17, 5, 5, 4, 1, 1, 0
3024, 3702, 1, "OK", 1, 23, 8, 8, 6, 2, 2, 0
3105, 3367, 1, "OK", 0, 9, 3, 2, 2, 0, 1, 1
3057, 3702, 1, "OK", 0, 22, 8, 8, 6, 2, 2, 0
3881, 4023, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
3937, 4081, 1, "OK", 2, 6, 3, 2, 2, 0, 1, 1
4610, 5115, 1, "OK", 3, 16, 20, 11, 9, 2, 3, 3
4730, 4851, 1, "OK", 1, 5, 7, 3, 3, 0, 1, 4
4085, 5132, 1, "OK", 1, 34, 31, 25, 14, 11, 6, 1
