A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7687, 8809, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 9, 0, 0, 0
8165, 9352, 1, "OK", 1, 48, 13, 13, 10, 3, 2, 0
7752, 9352, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 2, 0
8720, 9557, 1, "OK", 2, 31, 9, 9, 6, 3, 2, 0
7620, 9352, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 2, 0
7653, 9352, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 2, 0
9041, 9340, 1, "OK", 1, 9, 3, 1, 1, 0, 1, 2
7687, 9582, 1, "OK", 1, 73, 17, 17, 14, 3, 2, 0
8293, 8717, 1, "OK", 1, 18, 4, 4, 4, 0, 0, 0
7779, 9557, 1, "OK", 2, 67, 16, 16, 13, 3, 2, 0
7851, 8604, 1, "OK", 1, 31, 7, 7, 7, 0, 0, 0
7752, 8604, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
7653, 7839, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7620, 8604, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
7653, 8604, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
7752, 7839, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
8720, 9582, 1, "OK", 2, 34, 9, 9, 6, 3, 2, 0
7779, 8289, 1, "OK", 1, 17, 3, 3, 3, 0, 0, 0
8165, 8604, 1, "OK", 0, 23, 6, 6, 6, 0, 0, 0
8720, 8809, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
7620, 7839, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7687, 9352, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 2, 0
8860, 9345, 1, "OK", 1, 15, 5, 3, 2, 1, 2, 1
7779, 8809, 1, "OK", 2, 39, 8, 8, 8, 0, 0, 0
7598, 9557, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 14, 3, 2, 0
8647, 9557, 1, "OK", 1, 32, 9, 9, 6, 3, 2, 0
9166, 9340, 1, "OK", 2, 5, 3, 1, 1, 0, 1, 2
8812, 9557, 1, "OK", 1, 28, 8, 8, 5, 3, 2, 0
7779, 9582, 1, "OK", 2, 70, 16, 16, 13, 3, 2, 0
7598, 7776, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7687, 8604, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
7904, 9557, 1, "OK", 2, 64, 16, 16, 13, 3, 2, 0
7598, 8289, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
7687, 7839, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
8720, 9352, 1, "OK", 2, 22, 7, 7, 4, 3, 2, 0
7598, 8809, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 9, 0, 0, 0
7904, 8289, 1, "OK", 1, 14, 3, 3, 3, 0, 0, 0
7598, 9582, 1, "OK", 1, 76, 17, 17, 14, 3, 2, 0
7779, 9352, 1, "OK", 2, 58, 14, 14, 11, 3, 2, 0
8460, 8717, 1, "OK", 1, 9, 2, 2, 2, 0, 0, 0
8647, 8809, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
8812, 9582, 1, "OK", 1, 31, 8, 8, 5, 3, 2, 0
7904, 8809, 1, "OK", 2, 36, 8, 8, 8, 0, 0, 0
7904, 9582, 1, "OK", 2, 67, 16, 16, 13, 3, 2, 0
8647, 9582, 1, "OK", 1, 35, 9, 9, 6, 3, 2, 0
7851, 8417, 1, "OK", 1, 23, 5, 5, 5, 0, 0, 0
7752, 7901, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7851, 8160, 1, "OK", 1, 7, 1, 1, 1, 0, 0, 0
8293, 9557, 1, "OK", 1, 49, 13, 13, 10, 3, 2, 0
7598, 9352, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 2, 0
7620, 7901, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7752, 8417, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 6, 0, 0, 0
7779, 8604, 1, "OK", 1, 33, 7, 7, 7, 0, 0, 0
8165, 8417, 1, "OK", 0, 15, 4, 4, 4, 0, 0, 0
8812, 9352, 1, "OK", 1, 19, 6, 6, 3, 3, 2, 0
7653, 7901, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7752, 8160, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
9400, 9557, 1, "OK", 0, 7, 2, 2, 2, 0, 0, 0
7620, 8417, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 6, 0, 0, 0
7620, 8160, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
7653, 8417, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 6, 0, 0, 0
7653, 8160, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
8293, 8809, 1, "OK", 1, 21, 5, 5, 5, 0, 0, 0
8647, 9352, 1, "OK", 1, 23, 7, 7, 4, 3, 2, 0
7904, 9352, 1, "OK", 2, 55, 14, 14, 11, 3, 2, 0
7598, 8604, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
8293, 9582, 1, "OK", 1, 52, 13, 13, 10, 3, 2, 0
7598, 7839, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
9400, 9582, 1, "OK", 0, 10, 2, 2, 2, 0, 0, 0
7687, 7901, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7687, 8417, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 6, 0, 0, 0
7687, 8160, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
9284, 9340, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
7904, 8604, 1, "OK", 1, 30, 7, 7, 7, 0, 0, 0
7851, 8717, 1, "OK", 2, 34, 7, 7, 7, 0, 0, 0
8293, 9352, 1, "OK", 1, 40, 11, 11, 8, 3, 2, 0
7752, 8717, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
8929, 9345, 1, "OK", 1, 13, 5, 3, 2, 1, 2, 1
7620, 8717, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
7653, 8717, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
8954, 9345, 1, "OK", 1, 12, 5, 3, 2, 1, 2, 1
8165, 8717, 1, "OK", 1, 26, 6, 6, 6, 0, 0, 0
8460, 9557, 1, "OK", 1, 40, 11, 11, 8, 3, 2, 0
8460, 8809, 1, "OK", 1, 12, 3, 3, 3, 0, 0, 0
7779, 8417, 1, "OK", 1, 25, 5, 5, 5, 0, 0, 0
8293, 8604, 1, "OK", 0, 15, 4, 4, 4, 0, 0, 0
7779, 8160, 1, "OK", 1, 9, 1, 1, 1, 0, 0, 0
7687, 8717, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
8460, 9582, 1, "OK", 1, 43, 11, 11, 8, 3, 2, 0
7598, 8160, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
8972, 9345, 1, "OK", 1, 11, 5, 3, 2, 1, 2, 1
7598, 7901, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7598, 8417, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 6, 0, 0, 0
8460, 9352, 1, "OK", 1, 31, 9, 9, 6, 3, 2, 0
8906, 9345, 1, "OK", 1, 14, 5, 3, 2, 1, 2, 1
9220, 9340, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
7904, 8417, 1, "OK", 1, 22, 5, 5, 5, 0, 0, 0
7904, 8160, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
7779, 8717, 1, "OK", 2, 36, 7, 7, 7, 0, 0, 0
7851, 9557, 1, "OK", 2, 65, 16, 16, 13, 3, 2, 0
7752, 9557, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 14, 3, 2, 0
7620, 9557, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 14, 3, 2, 0
7653, 9557, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 14, 3, 2, 0
7851, 8289, 1, "OK", 1, 15, 3, 3, 3, 0, 0, 0
8165, 9557, 1, "OK", 1, 57, 15, 15, 12, 3, 2, 0
8460, 8604, 1, "OK", 0, 6, 2, 2, 2, 0, 0, 0
7752, 8289, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
8165, 8289, 1, "OK", 0, 7, 2, 2, 2, 0, 0, 0
8293, 8417, 1, "OK", 0, 7, 2, 2, 2, 0, 0, 0
7752, 7776, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7851, 8809, 1, "OK", 2, 37, 8, 8, 8, 0, 0, 0
7620, 8289, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
7620, 7776, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7653, 8289, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
7653, 7776, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7752, 8809, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 9, 0, 0, 0
8165, 8809, 1, "OK", 1, 29, 7, 7, 7, 0, 0, 0
7598, 8717, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 8, 0, 0, 0
7752, 9582, 1, "OK", 2, 71, 17, 17, 14, 3, 2, 0
7620, 8809, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 9, 0, 0, 0
8833, 9345, 1, "OK", 1, 16, 5, 3, 2, 1, 2, 1
