A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
5544, 7400, 1, "OK", 1, 61, 25, 25, 13, 12, 9, 0
5291, 11156, 1, "OK", 2, 152, 49, 49, 28, 21, 14, 0
6416, 7002, 1, "OK", 5, 20, 7, 7, 4, 3, 3, 0
7405, 11156, 1, "OK", 3, 83, 24, 24, 15, 9, 5, 0
8397, 11131, 1, "OK", 3, 54, 19, 19, 12, 7, 3, 0
4623, 5242, 1, "OK", 1, 23, 2, 2, 2, 0, 0, 0
5246, 8463, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast XYLineAndShapeRenderer renderer", 0, 0, 30, 30, 16, 14, 11, 0
4645, 8663, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JFreeChart sparkLineGraph XYPlot plot XYLineAndShapeRenderer renderer", 0, 0, 32, 32, 18, 14, 11, 0
5246, 6413, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast double avg double min double max boolean isFirst2", 0, 0, 12, 12, 5, 7, 4, 0
5385, 8255, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Paint colorLast XYLineAndShapeRenderer renderer", 0, 0, 30, 30, 16, 14, 11, 0
6416, 11108, 1, "OK", 6, 114, 37, 37, 23, 14, 10, 0
7486, 8663, 1, "OK", 3, 32, 5, 5, 3, 2, 2, 0
4917, 8428, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast XYLineAndShapeRenderer renderer", 0, 0, 32, 32, 18, 14, 11, 0
5461, 10001, 1, "OK", 1, 127, 46, 46, 25, 21, 14, 0
6990, 7663, 1, "OK", 1, 21, 6, 6, 4, 2, 2, 0
5891, 6914, 1, "OK", 6, 36, 19, 19, 9, 10, 7, 0
5874, 7449, 1, "OK", 5, 55, 25, 25, 13, 12, 9, 0
5246, 6438, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast double avg double min double max boolean isFirst2 double lb double ub", 0, 0, 12, 12, 5, 7, 4, 0
8397, 11156, 1, "OK", 4, 55, 19, 19, 12, 7, 3, 0
6416, 11131, 1, "OK", 6, 115, 37, 37, 23, 14, 10, 0
5544, 7449, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Paint colorLast ValueAxis domainAxis", 0, 0, 25, 25, 13, 12, 9, 0
5792, 10001, 1, "OK", 3, 117, 46, 46, 25, 21, 14, 0
5003, 5789, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast boolean isFirst", 0, 0, 2, 2, 2, 0, 0, 0
6441, 8312, 1, "OK", 7, 56, 18, 18, 11, 7, 7, 0
4917, 8463, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast XYLineAndShapeRenderer renderer", 0, 0, 32, 32, 18, 14, 11, 0
5246, 8504, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot XYLineAndShapeRenderer renderer", 0, 0, 30, 30, 16, 14, 11, 0
4623, 5287, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JFreeChart sparkLineGraph XYPlot plot", 0, 0, 2, 2, 2, 0, 0, 0
4917, 6413, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast double avg double min double max boolean isFirst2", 0, 0, 14, 14, 7, 7, 4, 0
5766, 10821, 1, "OK", 2, 127, 48, 48, 27, 21, 14, 0
6416, 11156, 1, "OK", 7, 116, 37, 37, 23, 14, 10, 0
4969, 6867, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast double avg", 0, 0, 21, 21, 11, 10, 7, 0
7132, 7396, 1, "OK", 3, 8, 5, 3, 3, 0, 2, 1
5874, 7482, 1, "OK", 5, 56, 25, 25, 13, 12, 9, 0
5585, 8255, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Paint colorLast XYLineAndShapeRenderer renderer", 0, 0, 30, 30, 16, 14, 11, 0
4917, 6438, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast double avg double min double max boolean isFirst2 double lb double ub", 0, 0, 14, 14, 7, 7, 4, 0
5544, 7482, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Paint colorLast ValueAxis domainAxis", 0, 0, 25, 25, 13, 12, 9, 0
6784, 10001, 1, "OK", 7, 83, 27, 27, 16, 11, 7, 0
5385, 8312, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Paint colorLast XYLineAndShapeRenderer renderer", 0, 0, 30, 30, 16, 14, 11, 0
4872, 5789, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot Paint colorLast boolean isFirst", 0, 0, 2, 2, 2, 0, 0, 0
8467, 11074, 1, "OK", 3, 49, 19, 19, 12, 7, 3, 0
6244, 6264, 1, "OK", 2, 1, 3, 1, 1, 0, 1, 2
4623, 5321, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JFreeChart sparkLineGraph XYPlot plot", 0, 0, 2, 2, 2, 0, 0, 0
6441, 8354, 1, "OK", 7, 59, 18, 18, 11, 7, 7, 0
5199, 10001, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot XYLineAndShapeRenderer renderer", 0, 0, 46, 46, 25, 21, 14, 0
4710, 10821, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JFreeChart sparkLineGraph XYPlot plot XYLineAndShapeRenderer renderer", 0, 0, 50, 50, 29, 21, 14, 0
5891, 11074, 1, "OK", 7, 132, 49, 49, 28, 21, 14, 0
