A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
23898, 24164, 1, "OK", 2, 7, 4, 4, 4, 0, 0, 0
21516, 24276, 1, "OK", 6, 81, 24, 24, 20, 4, 3, 0
19527, 24499, 1, "OK", 3, 151, 41, 41, 30, 11, 8, 0
19922, 21470, 1, "OK", 4, 47, 16, 16, 9, 7, 5, 0
19631, 23313, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 30, 30, 20, 10, 7, 0
20789, 24276, 1, "OK", 6, 102, 29, 29, 23, 6, 5, 0
19631, 24338, 1, "OK", 5, 140, 41, 41, 30, 11, 8, 0
21438, 23640, 1, "OK", 4, 60, 17, 17, 13, 4, 3, 0
20945, 21513, 1, "OK", 3, 17, 5, 5, 3, 2, 2, 0
20845, 21545, 1, "OK", 3, 21, 5, 5, 3, 2, 2, 0
19527, 21433, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset Dataset copyDataset boolean notDisappearSlider", 0, 0, 17, 17, 10, 7, 5, 0
21250, 23313, 1, "OK", 4, 55, 13, 13, 10, 3, 2, 0
19746, 23859, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 36, 36, 25, 11, 8, 0
21250, 24338, 1, "OK", 6, 91, 24, 24, 20, 4, 3, 0
19505, 24164, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset Dataset copyDataset", 0, 0, 40, 40, 29, 11, 8, 0
20020, 21513, 1, "OK", 4, 45, 16, 16, 9, 7, 5, 0
21617, 24229, 1, "OK", 5, 74, 23, 23, 19, 4, 3, 0
19631, 21305, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 17, 17, 10, 7, 5, 0
20789, 21245, 1, "OK", 3, 11, 5, 5, 3, 2, 2, 0
19746, 22874, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider HashMap cats", 0, 0, 28, 28, 18, 10, 7, 0
19527, 21470, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset Dataset copyDataset boolean notDisappearSlider", 0, 0, 17, 17, 10, 7, 5, 0
19922, 21513, 1, "OK", 4, 48, 16, 16, 9, 7, 5, 0
20945, 21545, 1, "OK", 3, 18, 5, 5, 3, 2, 2, 0
20789, 24338, 1, "OK", 6, 104, 29, 29, 23, 6, 5, 0
20789, 23313, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 18, 18, 13, 5, 4, 0
19603, 24229, 1, "OK", 4, 137, 40, 40, 29, 11, 8, 0
21368, 22759, 1, "OK", 3, 36, 11, 11, 8, 3, 2, 0
22819, 23859, 1, "OK", 3, 36, 8, 8, 7, 1, 1, 0
21617, 23233, 1, "OK", 4, 39, 13, 13, 10, 3, 2, 0
20020, 21545, 1, "OK", 4, 46, 16, 16, 9, 7, 5, 0
19746, 20842, 1, "OK", 3, 35, 12, 12, 7, 5, 3, 0
19603, 23233, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 30, 30, 20, 10, 7, 0
20845, 23640, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 22, 22, 16, 6, 5, 0
23898, 24229, 1, "OK", 2, 10, 4, 4, 4, 0, 0, 0
20020, 20536, 1, "OK", 1, 16, 11, 11, 6, 5, 3, 0
21516, 23313, 1, "OK", 4, 47, 13, 13, 10, 3, 2, 0
21516, 24338, 1, "OK", 6, 83, 24, 24, 20, 4, 3, 0
21617, 24276, 1, "OK", 6, 76, 24, 24, 20, 4, 3, 0
19922, 21545, 1, "OK", 4, 49, 16, 16, 9, 7, 5, 0
21473, 23640, 1, "OK", 4, 59, 17, 17, 13, 4, 3, 0
20153, 20531, 1, "OK", 2, 12, 10, 7, 5, 2, 3, 1
22063, 22759, 1, "OK", 2, 16, 8, 8, 5, 3, 2, 0
21308, 23640, 1, "OK", 4, 65, 17, 17, 13, 4, 3, 0
19505, 24229, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset Dataset copyDataset", 0, 0, 40, 40, 29, 11, 8, 0
20945, 23640, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 22, 22, 16, 6, 5, 0
21368, 22816, 1, "OK", 3, 37, 11, 11, 8, 3, 2, 0
22762, 23640, 1, "OK", 3, 27, 6, 6, 5, 1, 1, 0
19527, 21513, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset Dataset copyDataset boolean notDisappearSlider", 0, 0, 17, 17, 10, 7, 5, 0
19603, 24276, 1, "OK", 4, 139, 41, 41, 30, 11, 8, 0
23316, 23859, 1, "OK", 3, 21, 6, 6, 5, 1, 1, 0
19631, 21363, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 17, 17, 10, 7, 5, 0
20020, 23640, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 33, 33, 22, 11, 8, 0
19922, 20536, 1, "OK", 1, 19, 11, 11, 6, 5, 3, 0
20789, 21305, 1, "OK", 3, 14, 5, 5, 3, 2, 2, 0
23898, 24276, 1, "OK", 4, 12, 5, 5, 5, 0, 0, 0
19746, 20889, 1, "OK", 3, 36, 12, 12, 7, 5, 3, 0
21250, 24447, 1, "OK", 6, 95, 24, 24, 20, 4, 3, 0
21368, 23859, 1, "OK", 4, 73, 19, 19, 15, 4, 3, 0
19505, 23233, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset Dataset copyDataset boolean notDisappearSlider", 0, 0, 30, 30, 20, 10, 7, 0
19631, 24447, 1, "OK", 5, 144, 41, 41, 30, 11, 8, 0
22362, 22755, 1, "OK", 1, 8, 6, 4, 3, 1, 2, 1
19603, 21245, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 17, 17, 10, 7, 5, 0
20292, 20366, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
19631, 24474, 1, "OK", 5, 147, 41, 41, 30, 11, 8, 0
21617, 24338, 1, "OK", 6, 78, 24, 24, 20, 4, 3, 0
