A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
4803, 6308, 1, "OK", 3, 34, 11, 11, 8, 3, 2, 0
4269, 9039, 1, "OK", 6, 141, 45, 45, 32, 13, 10, 0
4684, 6923, 1, "OK", 4, 56, 13, 13, 10, 3, 2, 0
8958, 9091, 1, "OK", 3, 5, 1, 1, 1, 0, 0, 0
3428, 3879, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset Dataset copyDataset DatasetMap newDatasetMap boolean notDisappearSlider", 0, 0, 1, 1, 1, 0, 0, 0
3703, 9181, 1, "OK", 7, 163, 47, 47, 34, 13, 10, 0
4542, 4673, 1, "OK", 3, 3, 4, 2, 2, 0, 2, 1
5563, 6308, 1, "OK", 2, 16, 8, 8, 5, 3, 2, 0
4743, 7665, 1, "OK", 4, 81, 24, 24, 17, 7, 5, 0
4839, 7758, 1, "OK", 4, 82, 24, 24, 17, 7, 5, 0
6927, 8567, 1, "OK", 3, 58, 22, 22, 14, 8, 6, 0
4374, 6308, 1, "OK", 4, 46, 16, 16, 11, 5, 4, 0
4684, 6426, 1, "OK", 3, 40, 11, 11, 8, 3, 2, 0
3890, 6976, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 18, 18, 13, 5, 4, 0
3452, 9289, 1, "OK", 3, 170, 47, 47, 34, 13, 10, 0
4212, 4678, 1, "OK", 3, 11, 5, 5, 3, 2, 2, 0
5090, 7665, 1, "OK", 4, 71, 24, 24, 17, 7, 5, 0
4803, 6840, 1, "OK", 4, 48, 13, 13, 10, 3, 2, 0
4684, 8991, 1, "OK", 5, 127, 39, 39, 28, 11, 8, 0
6927, 9091, 1, "OK", 5, 75, 27, 27, 19, 8, 6, 0
4212, 7758, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset boolean notDisappearSlider", 0, 0, 29, 29, 20, 9, 7, 0
6371, 8924, 1, "OK", 4, 85, 28, 28, 20, 8, 6, 0
6432, 8567, 1, "OK", 4, 72, 24, 24, 16, 8, 6, 0
3890, 9039, 1, "OK", 6, 150, 45, 45, 32, 13, 10, 0
6980, 8991, 1, "OK", 4, 70, 26, 26, 18, 8, 6, 0
3528, 3879, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Dataset copyDataset DatasetMap newDatasetMap boolean notDisappearSlider", 0, 0, 1, 1, 1, 0, 0, 0
3882, 9289, 1, "OK", 7, 160, 46, 46, 33, 13, 10, 0
