A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
11407, 12356, 1, "OK", 2, 28, 18, 18, 8, 10, 4, 0
11407, 12335, 1, "OK", 2, 27, 18, 18, 8, 10, 4, 0
11987, 12114, 1, "OK", 2, 2, 5, 1, 1, 0, 1, 4
11490, 12356, 1, "OK", 3, 26, 18, 18, 8, 10, 4, 0
11668, 12326, 1, "OK", 2, 17, 15, 9, 6, 3, 3, 2
11514, 12331, 1, "OK", 2, 23, 17, 13, 7, 6, 4, 1
11464, 12356, 1, "OK", 2, 27, 18, 18, 8, 10, 4, 0
11987, 12047, 1, "OK", 1, 1, 5, 1, 1, 0, 1, 4
11490, 12335, 1, "OK", 3, 25, 18, 18, 8, 10, 4, 0
11952, 12248, 1, "OK", 2, 8, 10, 4, 3, 1, 2, 3
11464, 12335, 1, "OK", 2, 26, 18, 18, 8, 10, 4, 0
11987, 12157, 1, "OK", 2, 3, 5, 1, 1, 0, 1, 4
