A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12948, 13402, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer width Integer height", 0, 0, 4, 2, 2, 0, 2, 1
12377, 13691, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String attributeValue SourceBean dimensionSB Integer width Integer height", 0, 0, 13, 7, 6, 1, 6, 1
13472, 16610, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean dimensionSB SourceBean parametersSB", 0, 0, 60, 48, 12, 36, 12, 1
14171, 14395, 1, "OK", 4, 3, 4, 1, 1, 0, 1, 3
12063, 13194, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 13, 7, 6, 1, 6, 1
12377, 12675, 1, "OK", 2, 3, 4, 2, 2, 0, 2, 1
14587, 14819, 1, "OK", 4, 3, 4, 1, 1, 0, 1, 3
14326, 14739, 1, "OK", 5, 5, 8, 2, 2, 0, 2, 3
11786, 13608, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 8, 7, 1, 7, 1
11684, 13691, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 8, 7, 1, 7, 1
12546, 13608, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean dimensionSB Integer width Integer height", 0, 0, 11, 6, 5, 1, 5, 1
13540, 16583, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean dimensionSB SourceBean parametersSB", 0, 0, 60, 48, 12, 36, 12, 1
12764, 12989, 1, "OK", 3, 4, 5, 3, 2, 1, 2, 1
11684, 12675, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 3, 3, 0, 3, 1
10842, 11132, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List documentList String videoWidthS", 0, 0, 1, 1, 1, 0, 0, 0
12147, 13691, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 8, 7, 1, 7, 1
12507, 13797, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean dimensionSB Integer width Integer height", 0, 0, 11, 6, 5, 1, 5, 1
12799, 12937, 1, "OK", 1, 1, 3, 1, 1, 0, 1, 2
13408, 16583, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean dimensionSB SourceBean parametersSB", 0, 0, 60, 48, 12, 36, 12, 1
12147, 12675, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 3, 3, 0, 3, 1
