A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
8228, 9064, 1, "OK", 3, 25, 16, 16, 6, 10, 4, 0
8228, 8931, 1, "OK", 3, 20, 15, 15, 5, 10, 4, 0
8443, 8922, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 3, 3, 3, 2
7985, 9046, 1, "OK", 2, 29, 16, 16, 6, 10, 4, 0
7963, 9023, 1, "OK", 2, 29, 16, 16, 6, 10, 4, 0
8934, 9064, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
8282, 9064, 1, "OK", 3, 24, 16, 16, 6, 10, 4, 0
8050, 9023, 1, "OK", 3, 26, 16, 16, 6, 10, 4, 0
8402, 8922, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 3, 3, 3, 2
8282, 8931, 1, "OK", 3, 19, 15, 15, 5, 10, 4, 0
8491, 8916, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
7985, 8931, 1, "OK", 2, 25, 15, 15, 5, 10, 4, 0
8579, 8818, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8228, 9023, 1, "OK", 3, 23, 16, 16, 6, 10, 4, 0
8579, 8768, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8629, 8818, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
7985, 9064, 1, "OK", 2, 30, 16, 16, 6, 10, 4, 0
8934, 9023, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
7963, 9046, 1, "OK", 2, 30, 16, 16, 6, 10, 4, 0
8282, 9023, 1, "OK", 3, 22, 16, 16, 6, 10, 4, 0
8320, 8927, 1, "OK", 3, 17, 14, 10, 4, 6, 4, 1
8050, 9046, 1, "OK", 3, 27, 16, 16, 6, 10, 4, 0
8531, 8916, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
8629, 8768, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
7963, 8931, 1, "OK", 2, 26, 15, 15, 5, 10, 4, 0
7985, 9023, 1, "OK", 2, 28, 16, 16, 6, 10, 4, 0
7963, 9064, 1, "OK", 2, 31, 16, 16, 6, 10, 4, 0
8579, 8909, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8364, 8927, 1, "OK", 3, 16, 14, 10, 4, 6, 4, 1
8050, 8931, 1, "OK", 3, 23, 15, 15, 5, 10, 4, 0
8050, 9064, 1, "OK", 3, 28, 16, 16, 6, 10, 4, 0
8934, 9046, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
8579, 8851, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8228, 9046, 1, "OK", 3, 24, 16, 16, 6, 10, 4, 0
8282, 9046, 1, "OK", 3, 23, 16, 16, 6, 10, 4, 0
8629, 8851, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8629, 8909, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
