A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7926, 10488, 1, "OK", 2, 73, 17, 17, 7, 10, 4, 0
8493, 8753, 1, "OK", 4, 9, 10, 4, 3, 1, 2, 3
8428, 8753, 1, "OK", 4, 10, 10, 4, 3, 1, 2, 3
7876, 10531, 1, "OK", 1, 80, 17, 17, 7, 10, 4, 0
7935, 8771, 1, "OK", 2, 23, 16, 16, 6, 10, 4, 0
7899, 10531, 1, "OK", 1, 78, 17, 17, 7, 10, 4, 0
7926, 10531, 1, "OK", 2, 76, 17, 17, 7, 10, 4, 0
7876, 10512, 1, "OK", 1, 79, 17, 17, 7, 10, 4, 0
8088, 8771, 1, "OK", 3, 20, 16, 16, 6, 10, 4, 0
8212, 8766, 1, "OK", 3, 17, 15, 11, 5, 6, 4, 1
8244, 8766, 1, "OK", 3, 16, 15, 11, 5, 6, 4, 1
8299, 8766, 1, "OK", 4, 15, 15, 11, 5, 6, 4, 1
8386, 8760, 1, "OK", 4, 12, 13, 7, 4, 3, 3, 2
7899, 10512, 1, "OK", 1, 77, 17, 17, 7, 10, 4, 0
8328, 8760, 1, "OK", 4, 13, 13, 7, 4, 3, 3, 2
7876, 10488, 1, "OK", 1, 77, 17, 17, 7, 10, 4, 0
7926, 10512, 1, "OK", 2, 75, 17, 17, 7, 10, 4, 0
8162, 8766, 1, "OK", 3, 18, 15, 11, 5, 6, 4, 1
7899, 10488, 1, "OK", 1, 75, 17, 17, 7, 10, 4, 0
8561, 8745, 1, "OK", 2, 7, 6, 2, 2, 0, 1, 4
