A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
20619, 25458, 1, "OK", 3, 106, 48, 48, 36, 12, 11, 0
20619, 24440, 1, "OK", 3, 80, 40, 40, 28, 12, 11, 0
24256, 24322, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
23829, 24247, 1, "OK", 1, 9, 6, 4, 4, 0, 2, 1
21703, 22057, 1, "OK", 3, 7, 6, 4, 4, 0, 2, 1
24777, 25071, 1, "OK", 2, 6, 4, 4, 4, 0, 0, 0
25463, 25814, 1, "OK", 2, 7, 1, 1, 1, 0, 0, 0
24918, 25814, 1, "OK", 2, 23, 5, 5, 5, 0, 0, 0
23268, 24252, 1, "OK", 3, 21, 14, 14, 10, 4, 4, 0
23519, 23645, 1, "OK", 2, 3, 3, 2, 2, 0, 1, 1
24532, 25512, 1, "OK", 2, 26, 8, 8, 8, 0, 0, 0
22375, 23257, 1, "OK", 1, 18, 6, 4, 3, 1, 2, 1
24396, 26139, 1, "OK", 2, 42, 10, 10, 10, 0, 0, 0
24480, 25071, 1, "OK", 2, 13, 6, 6, 6, 0, 0, 0
21247, 21359, 1, "OK", 2, 3, 3, 2, 2, 0, 1, 1
24444, 25168, 1, "OK", 2, 17, 7, 7, 7, 0, 0, 0
21913, 22243, 1, "OK", 3, 6, 3, 2, 2, 0, 1, 1
21820, 22057, 1, "OK", 2, 4, 3, 2, 2, 0, 1, 1
24256, 24358, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
24362, 25168, 1, "OK", 2, 19, 7, 7, 7, 0, 0, 0
22772, 23257, 1, "OK", 2, 11, 6, 4, 3, 1, 2, 1
20716, 24528, 1, "OK", 3, 79, 40, 40, 28, 12, 11, 0
21534, 21698, 1, "OK", 3, 4, 3, 2, 2, 0, 1, 1
21627, 21908, 1, "OK", 2, 5, 3, 2, 2, 0, 1, 1
21471, 21622, 1, "OK", 2, 4, 3, 2, 2, 0, 1, 1
24326, 25277, 1, "OK", 2, 25, 7, 7, 7, 0, 0, 0
20544, 25277, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet ds String parameters", 0, 0, 47, 47, 35, 12, 11, 0
20619, 25512, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet ds IDomainDAO domainDAO", 0, 0, 48, 48, 36, 12, 11, 0
20337, 20428, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
20544, 24252, 1, "OK", 2, 75, 39, 39, 27, 12, 11, 0
24480, 26139, 1, "OK", 2, 40, 10, 10, 10, 0, 0, 0
20619, 24476, 1, "OK", 3, 81, 40, 40, 28, 12, 11, 0
23437, 23645, 1, "OK", 2, 4, 3, 2, 2, 0, 1, 1
21471, 22127, 1, "OK", 2, 14, 9, 6, 6, 0, 3, 1
24777, 26139, 1, "OK", 2, 33, 8, 8, 8, 0, 0, 0
24256, 24392, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
24624, 25277, 1, "OK", 2, 17, 7, 7, 7, 0, 0, 0
21703, 22127, 1, "OK", 3, 9, 6, 4, 4, 0, 2, 1
25075, 26139, 1, "OK", 2, 27, 4, 4, 4, 0, 0, 0
21370, 24252, 1, "OK", 3, 58, 31, 31, 21, 10, 9, 0
24326, 24773, 1, "OK", 2, 11, 2, 2, 2, 0, 0, 0
20544, 24773, 1, "OK", 2, 89, 42, 42, 30, 12, 11, 0
21534, 22243, 1, "OK", 3, 14, 9, 6, 6, 0, 3, 1
20716, 25071, 1, "OK", 3, 91, 46, 46, 34, 12, 11, 0
24396, 25168, 1, "OK", 2, 18, 7, 7, 7, 0, 0, 0
24532, 25071, 1, "OK", 2, 12, 6, 6, 6, 0, 0, 0
23650, 23744, 1, "OK", 2, 3, 3, 2, 2, 0, 1, 1
21913, 22293, 1, "OK", 3, 7, 3, 2, 2, 0, 1, 1
24256, 24914, 1, "OK", 2, 17, 5, 5, 5, 0, 0, 0
24256, 25425, 1, "OK", 2, 31, 9, 9, 9, 0, 0, 0
23372, 23645, 1, "OK", 2, 5, 3, 2, 2, 0, 1, 1
24326, 25814, 1, "OK", 2, 37, 9, 9, 9, 0, 0, 0
24624, 24773, 1, "OK", 2, 3, 2, 2, 2, 0, 0, 0
20337, 20450, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
20544, 25814, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet ds IDomainDAO domainDAO", 0, 0, 49, 49, 37, 12, 11, 0
20716, 24578, 1, "OK", 3, 80, 40, 40, 28, 12, 11, 0
24777, 25168, 1, "OK", 2, 9, 5, 5, 5, 0, 0, 0
24624, 25814, 1, "OK", 2, 29, 9, 9, 9, 0, 0, 0
20619, 24528, 1, "OK", 3, 82, 40, 40, 28, 12, 11, 0
24918, 25425, 1, "OK", 2, 14, 4, 4, 4, 0, 0, 0
24256, 24440, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
25075, 25168, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
21534, 22293, 1, "OK", 3, 15, 9, 6, 6, 0, 3, 1
20315, 26296, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 52, 52, 40, 12, 11, 0
24256, 25458, 1, "OK", 2, 32, 9, 9, 9, 0, 0, 0
20716, 26139, 1, "OK", 3, 118, 50, 50, 38, 12, 11, 0
24480, 25168, 1, "OK", 2, 16, 7, 7, 7, 0, 0, 0
25281, 25425, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
21820, 22127, 1, "OK", 2, 6, 3, 2, 2, 0, 1, 1
22725, 23257, 1, "OK", 3, 12, 6, 4, 3, 1, 2, 1
25252, 25814, 1, "OK", 2, 13, 2, 2, 2, 0, 0, 0
20431, 26296, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 39, 12, 11, 0
24444, 24773, 1, "OK", 2, 8, 2, 2, 2, 0, 0, 0
24532, 26139, 1, "OK", 2, 39, 10, 10, 10, 0, 0, 0
20544, 24322, 1, "OK", 2, 78, 40, 40, 28, 12, 11, 0
24444, 25277, 1, "OK", 2, 22, 7, 7, 7, 0, 0, 0
23519, 23744, 1, "OK", 3, 6, 6, 4, 4, 0, 2, 1
21443, 22057, 1, "OK", 1, 13, 9, 6, 6, 0, 3, 1
23026, 23159, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
21471, 21698, 1, "OK", 2, 5, 3, 2, 2, 0, 1, 1
23936, 24132, 1, "OK", 3, 4, 3, 2, 2, 0, 1, 1
20619, 25071, 1, "OK", 3, 94, 46, 46, 34, 12, 11, 0
24444, 25814, 1, "OK", 2, 34, 9, 9, 9, 0, 0, 0
21534, 21815, 1, "OK", 3, 7, 6, 4, 4, 0, 2, 1
24918, 25458, 1, "OK", 2, 15, 4, 4, 4, 0, 0, 0
20619, 24578, 1, "OK", 3, 83, 40, 40, 28, 12, 11, 0
24256, 24476, 1, "OK", 2, 7, 1, 1, 1, 0, 0, 0
24362, 24773, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
25281, 25458, 1, "OK", 3, 4, 1, 1, 1, 0, 0, 0
20315, 26319, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 52, 52, 40, 12, 11, 0
24362, 25277, 1, "OK", 2, 24, 7, 7, 7, 0, 0, 0
23076, 23159, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
23437, 23744, 1, "OK", 3, 7, 6, 4, 4, 0, 2, 1
22479, 23257, 1, "OK", 2, 16, 6, 4, 3, 1, 2, 1
24256, 25512, 1, "OK", 2, 34, 9, 9, 9, 0, 0, 0
20431, 26332, 1, "OK", 1, 133, 51, 51, 39, 12, 11, 0
24362, 25814, 1, "OK", 2, 36, 9, 9, 9, 0, 0, 0
20315, 26332, 1, "OK", 1, 138, 52, 52, 40, 12, 11, 0
20431, 26319, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 39, 12, 11, 0
22842, 23257, 1, "OK", 3, 9, 6, 4, 3, 1, 2, 1
20544, 24358, 1, "OK", 2, 79, 40, 40, 28, 12, 11, 0
20716, 25168, 1, "OK", 3, 94, 47, 47, 35, 12, 11, 0
21471, 22243, 1, "OK", 2, 15, 9, 6, 6, 0, 3, 1
24396, 24773, 1, "OK", 2, 9, 2, 2, 2, 0, 0, 0
24532, 25168, 1, "OK", 2, 15, 7, 7, 7, 0, 0, 0
25855, 26139, 1, "OK", 3, 6, 1, 1, 1, 0, 0, 0
21703, 22243, 1, "OK", 3, 10, 6, 4, 4, 0, 2, 1
24396, 25277, 1, "OK", 2, 23, 7, 7, 7, 0, 0, 0
20816, 21055, 1, "OK", 2, 5, 3, 2, 2, 0, 1, 1
20619, 26139, 1, "OK", 3, 121, 50, 50, 38, 12, 11, 0
23342, 23645, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet ds String script", 0, 0, 3, 2, 2, 0, 1, 1
23372, 23744, 1, "OK", 2, 8, 6, 4, 4, 0, 2, 1
24396, 25814, 1, "OK", 2, 35, 9, 9, 9, 0, 0, 0
20544, 24392, 1, "OK", 2, 80, 40, 40, 28, 12, 11, 0
25281, 25512, 1, "OK", 3, 6, 1, 1, 1, 0, 0, 0
21627, 22057, 1, "OK", 2, 8, 6, 4, 4, 0, 2, 1
24326, 24914, 1, "OK", 2, 14, 4, 4, 4, 0, 0, 0
