A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
13304, 13753, 1, "OK", 9, 11, 15, 6, 5, 1, 3, 3
12682, 14602, 0, "Compilation unit does not compile after method extraction.", 10, 60, 65, 65, 24, 41, 15, 0
13012, 13602, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 20, 8, 6, 2, 4, 3
12474, 12869, 1, "OK", 4, 14, 9, 9, 6, 3, 3, 0
13995, 14103, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
12682, 14624, 0, "Compilation unit does not compile after method extraction.", 10, 62, 65, 65, 24, 41, 15, 0
12748, 14624, 0, "Compilation unit does not compile after method extraction.", 11, 59, 65, 65, 24, 41, 15, 0
13349, 13526, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
12460, 14602, 0, "Compilation unit does not compile after method extraction.", 9, 68, 71, 71, 28, 43, 17, 0
13890, 14176, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 10, 4, 3, 1, 2, 3
12460, 12678, 1, "OK", 3, 7, 6, 6, 4, 2, 2, 0
13012, 13753, 0, "Compilation unit does not compile after method extraction.", 11, 19, 25, 10, 8, 2, 5, 3
12448, 12678, 0, "Compilation unit does not compile after method extraction.", 3, 8, 6, 6, 4, 2, 2, 0
12423, 14602, 1, "OK", 8, 70, 71, 71, 28, 43, 17, 0
14488, 14587, 1, "OK", 8, 3, 5, 2, 2, 0, 1, 3
12873, 14602, 0, "Compilation unit does not compile after method extraction.", 10, 51, 62, 62, 22, 40, 14, 0
12423, 12678, 0, "Compilation unit does not compile after method extraction.", 3, 9, 6, 6, 4, 2, 2, 0
13054, 13225, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
12448, 14602, 1, "OK", 8, 69, 71, 71, 28, 43, 17, 0
12460, 14624, 0, "Compilation unit does not compile after method extraction.", 9, 70, 71, 71, 28, 43, 17, 0
14183, 14587, 1, "OK", 9, 12, 15, 6, 5, 1, 3, 3
12785, 12865, 1, "OK", 3, 3, 2, 1, 1, 0, 1, 1
12682, 12869, 1, "OK", 2, 8, 3, 3, 2, 1, 1, 0
12423, 14624, 1, "OK", 8, 72, 71, 71, 28, 43, 17, 0
12748, 12869, 1, "OK", 3, 5, 3, 3, 2, 1, 1, 0
13890, 14587, 0, "Compilation unit does not compile after method extraction.", 11, 21, 25, 10, 8, 2, 5, 3
12873, 14624, 0, "Compilation unit does not compile after method extraction.", 10, 53, 62, 62, 22, 40, 14, 0
12502, 12572, 1, "OK", 1, 1, 2, 1, 1, 0, 1, 1
12901, 13764, 0, "Compilation unit does not compile after method extraction.", 9, 23, 30, 23, 10, 13, 7, 1
12448, 14624, 1, "OK", 8, 71, 71, 71, 28, 43, 17, 0
