A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
18710, 19293, 1, "OK", 3, 18, 14, 10, 6, 4, 4, 1
19003, 19237, 1, "OK", 4, 6, 3, 1, 1, 0, 1, 2
18776, 19237, 1, "OK", 3, 14, 11, 5, 4, 1, 3, 2
18864, 19197, 1, "OK", 4, 10, 11, 5, 4, 1, 3, 2
19003, 19112, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
18821, 19237, 1, "OK", 4, 13, 11, 5, 4, 1, 3, 2
19810, 20004, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
18821, 19112, 1, "OK", 3, 10, 11, 5, 4, 1, 3, 2
18864, 18998, 1, "OK", 3, 6, 8, 4, 3, 1, 2, 2
19583, 20004, 1, "OK", 2, 12, 11, 5, 4, 1, 3, 2
18821, 19197, 1, "OK", 3, 11, 11, 5, 4, 1, 3, 2
19671, 19919, 1, "OK", 4, 9, 11, 5, 4, 1, 3, 2
18630, 19293, 1, "OK", 3, 19, 14, 10, 6, 4, 4, 1
18438, 19298, 1, "OK", 1, 25, 15, 15, 7, 8, 4, 0
18554, 20053, 1, "OK", 3, 44, 29, 29, 13, 16, 8, 0
18776, 18998, 1, "OK", 1, 8, 8, 4, 3, 1, 2, 2
18776, 19112, 1, "OK", 2, 11, 11, 5, 4, 1, 3, 2
18438, 20053, 1, "OK", 2, 47, 29, 29, 13, 16, 8, 0
19360, 20079, 1, "OK", 2, 22, 14, 14, 6, 8, 4, 0
18821, 18998, 1, "OK", 2, 7, 8, 4, 3, 1, 2, 2
18939, 18992, 1, "OK", 2, 2, 4, 1, 1, 0, 1, 3
19516, 20049, 1, "OK", 3, 17, 13, 9, 5, 4, 4, 1
19671, 20044, 1, "OK", 5, 12, 11, 5, 4, 1, 3, 2
18554, 19298, 1, "OK", 2, 22, 15, 15, 7, 8, 4, 0
19810, 20044, 1, "OK", 4, 6, 3, 1, 1, 0, 1, 2
18438, 20079, 1, "OK", 2, 49, 29, 29, 13, 16, 8, 0
19583, 20044, 1, "OK", 3, 14, 11, 5, 4, 1, 3, 2
19671, 20004, 1, "OK", 4, 10, 11, 5, 4, 1, 3, 2
19810, 19919, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
19628, 20044, 1, "OK", 4, 13, 11, 5, 4, 1, 3, 2
19003, 19197, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
19628, 19919, 1, "OK", 3, 10, 11, 5, 4, 1, 3, 2
19671, 19805, 1, "OK", 3, 6, 8, 4, 3, 1, 2, 2
18776, 19197, 1, "OK", 2, 12, 11, 5, 4, 1, 3, 2
19436, 20049, 1, "OK", 3, 18, 13, 9, 5, 4, 4, 1
18864, 19112, 1, "OK", 4, 9, 11, 5, 4, 1, 3, 2
19628, 20004, 1, "OK", 3, 11, 11, 5, 4, 1, 3, 2
19583, 19805, 1, "OK", 1, 8, 8, 4, 3, 1, 2, 2
19583, 19919, 1, "OK", 2, 11, 11, 5, 4, 1, 3, 2
19628, 19805, 1, "OK", 2, 7, 8, 4, 3, 1, 2, 2
18554, 20079, 1, "OK", 3, 46, 29, 29, 13, 16, 8, 0
19360, 20053, 1, "OK", 2, 20, 14, 14, 6, 8, 4, 0
18864, 19237, 1, "OK", 5, 12, 11, 5, 4, 1, 3, 2
19746, 19799, 1, "OK", 2, 2, 4, 1, 1, 0, 1, 3
