A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3435, 4621, 1, "OK", 2, 30, 21, 21, 6, 15, 5, 0
4247, 4572, 1, "OK", 6, 7, 6, 1, 1, 0, 1, 5
3573, 4602, 1, "OK", 4, 24, 21, 21, 6, 15, 5, 0
4065, 4587, 1, "OK", 6, 12, 15, 6, 3, 3, 3, 3
3652, 4621, 1, "OK", 4, 24, 21, 21, 6, 15, 5, 0
4308, 4572, 1, "OK", 6, 6, 6, 1, 1, 0, 1, 5
3875, 4593, 1, "OK", 5, 16, 18, 10, 4, 6, 4, 2
3485, 4621, 1, "OK", 3, 28, 21, 21, 6, 15, 5, 0
3435, 4602, 1, "OK", 2, 28, 21, 21, 6, 15, 5, 0
3938, 4593, 1, "OK", 6, 15, 18, 10, 4, 6, 4, 2
4002, 4593, 1, "OK", 6, 14, 18, 10, 4, 6, 4, 2
4181, 4580, 1, "OK", 7, 9, 11, 3, 2, 1, 2, 4
3781, 4598, 1, "OK", 5, 19, 20, 15, 5, 10, 5, 1
4150, 4587, 1, "OK", 7, 11, 15, 6, 3, 3, 3, 3
3652, 4602, 1, "OK", 4, 22, 21, 21, 6, 15, 5, 0
3573, 4621, 1, "OK", 4, 26, 21, 21, 6, 15, 5, 0
3742, 4598, 1, "OK", 4, 20, 20, 15, 5, 10, 5, 1
3834, 4598, 1, "OK", 5, 18, 20, 15, 5, 10, 5, 1
3485, 4602, 1, "OK", 3, 26, 21, 21, 6, 15, 5, 0
