A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
29897, 31154, 1, "OK", 3, 33, 21, 21, 9, 12, 6, 0
29625, 31584, 1, "OK", 6, 58, 24, 24, 12, 12, 6, 0
30070, 30526, 1, "OK", 4, 12, 9, 6, 3, 3, 3, 1
30591, 31140, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 9, 5, 4, 1, 2, 2
30533, 31147, 1, "OK", 2, 13, 11, 8, 5, 3, 3, 1
29439, 31584, 1, "OK", 4, 64, 24, 24, 12, 12, 6, 0
29505, 31584, 1, "OK", 6, 61, 24, 24, 12, 12, 6, 0
29677, 31373, 1, "OK", 4, 47, 23, 23, 11, 12, 6, 0
29439, 31549, 1, "OK", 4, 62, 24, 24, 12, 12, 6, 0
29948, 31258, 1, "OK", 4, 35, 22, 22, 10, 12, 6, 0
30012, 31258, 1, "OK", 4, 33, 22, 22, 10, 12, 6, 0
29541, 31584, 1, "OK", 7, 59, 24, 24, 12, 12, 6, 0
29505, 31549, 1, "OK", 6, 59, 24, 24, 12, 12, 6, 0
29668, 31549, 1, "OK", 5, 54, 24, 24, 12, 12, 6, 0
30679, 31118, 1, "OK", 3, 7, 6, 3, 3, 0, 1, 3
29416, 31549, 1, "OK", 4, 64, 24, 24, 12, 12, 6, 0
29783, 31373, 1, "OK", 2, 45, 23, 23, 11, 12, 6, 0
30199, 31147, 1, "OK", 3, 23, 20, 14, 8, 6, 6, 1
29886, 31373, 1, "OK", 3, 42, 23, 23, 11, 12, 6, 0
30199, 30526, 1, "OK", 3, 9, 9, 6, 3, 3, 3, 1
30679, 31132, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 3, 3, 0, 1, 3
29625, 31549, 1, "OK", 6, 56, 24, 24, 12, 12, 6, 0
29471, 31584, 1, "OK", 5, 62, 24, 24, 12, 12, 6, 0
31160, 31258, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
29707, 31373, 1, "OK", 4, 46, 23, 23, 11, 12, 6, 0
29471, 31549, 1, "OK", 5, 60, 24, 24, 12, 12, 6, 0
29668, 31584, 1, "OK", 5, 56, 24, 24, 12, 12, 6, 0
30835, 31118, 1, "OK", 3, 5, 2, 2, 2, 0, 0, 3
29416, 31584, 1, "OK", 4, 66, 24, 24, 12, 12, 6, 0
29541, 31549, 1, "OK", 7, 57, 24, 24, 12, 12, 6, 0
30070, 31147, 1, "OK", 4, 26, 20, 14, 8, 6, 6, 1
29948, 31154, 1, "OK", 3, 31, 21, 21, 9, 12, 6, 0
30012, 31154, 1, "OK", 3, 29, 21, 21, 9, 12, 6, 0
30243, 30519, 1, "OK", 2, 7, 7, 3, 2, 1, 2, 2
29897, 31258, 1, "OK", 3, 37, 22, 22, 10, 12, 6, 0
30301, 30510, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 1, 1, 0, 1, 3
