A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
43296, 45430, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String queryScript String queryScriptLanguage", 0, 0, 21, 21, 11, 10, 5, 0
44192, 45430, 0, "Compilation unit does not compile after method extraction.", 3, 34, 21, 21, 11, 10, 5, 0
43366, 45430, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String queryScriptLanguage", 0, 0, 21, 21, 11, 10, 5, 0
43989, 45317, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet IDataSource dataSource", 0, 0, 21, 21, 11, 10, 5, 0
43989, 45572, 0, "Compilation unit does not compile after method extraction.", 5, 38, 21, 21, 11, 10, 5, 0
43203, 45493, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String queryScriptLanguage", 0, 0, 21, 21, 11, 10, 5, 0
43526, 45591, 0, "Compilation unit does not compile after method extraction.", 6, 47, 21, 21, 11, 10, 5, 0
43641, 45493, 0, "Compilation unit does not compile after method extraction.", 6, 42, 21, 21, 11, 10, 5, 0
43366, 45572, 0, "Compilation unit does not compile after method extraction.", 5, 47, 21, 21, 11, 10, 5, 0
43577, 45430, 0, "Compilation unit does not compile after method extraction.", 6, 42, 21, 21, 11, 10, 5, 0
43453, 45430, 0, "Compilation unit does not compile after method extraction.", 6, 44, 21, 21, 11, 10, 5, 0
44491, 45233, 0, "Compilation unit does not compile after method extraction.", 4, 19, 16, 8, 7, 1, 4, 2
43526, 45317, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet IDataSource dataSource", 0, 0, 21, 21, 11, 10, 5, 0
44086, 45493, 0, "Compilation unit does not compile after method extraction.", 5, 36, 21, 21, 11, 10, 5, 0
44414, 45312, 0, "Compilation unit does not compile after method extraction.", 4, 25, 19, 14, 9, 5, 5, 1
43989, 45430, 0, "Compilation unit does not compile after method extraction.", 3, 36, 21, 21, 11, 10, 5, 0
43223, 45379, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String query String queryScript String queryScriptLanguage", 0, 0, 21, 21, 11, 10, 5, 0
44086, 45379, 0, "Compilation unit does not compile after method extraction.", 4, 34, 21, 21, 11, 10, 5, 0
43885, 45591, 0, "Compilation unit does not compile after method extraction.", 5, 41, 21, 21, 11, 10, 5, 0
43790, 45591, 0, "Compilation unit does not compile after method extraction.", 5, 42, 21, 21, 11, 10, 5, 0
