A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
60799, 61946, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsId String dsLabel String fileType String csvDelimiter String csvQuote String skipRows String limitRows String xslSheetNumber String ckanUrl String ckanId String scopeCd String ckanEncodig Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
56319, 71799, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet JSONObject jsonDsConfig", 0, 0, 116, 116, 59, 57, 32, 0
68218, 69534, 1, "OK", 2, 27, 5, 3, 3, 0, 2, 1
61487, 63145, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 8, 5, 4, 1, 3, 1
56389, 57334, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsId String dsLabel String fileType String csvQuote String skipRows String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
68297, 69136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dataSourceLabel String jsonQuery", 0, 0, 2, 1, 1, 0, 1, 1
61685, 63145, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 8, 5, 4, 1, 3, 1
56590, 57252, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String csvDelimiter String csvQuote String skipRows String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
70292, 70784, 1, "OK", 1, 11, 2, 1, 1, 0, 1, 1
56684, 60469, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 40, 29, 16, 13, 11, 1
62304, 64425, 1, "OK", 11, 57, 27, 19, 13, 6, 8, 1
59130, 60413, 1, "OK", 8, 31, 21, 11, 7, 4, 5, 2
60718, 64430, 1, "OK", 4, 89, 30, 30, 15, 15, 9, 0
57550, 58189, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 6, 4, 3, 1, 2, 1
62451, 63956, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 20, 14, 9, 5, 6, 1
69190, 70145, 1, "OK", 3, 20, 12, 8, 6, 2, 4, 1
56851, 57334, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
56518, 57476, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fileType String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
62834, 64425, 1, "OK", 8, 46, 27, 19, 13, 6, 8, 1
57480, 60418, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 38, 28, 15, 13, 10, 1
61777, 64425, 1, "OK", 14, 67, 29, 20, 14, 6, 9, 1
61112, 62508, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String ckanUrl String ckanId String scopeCd Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
69651, 70140, 1, "OK", 2, 10, 6, 2, 2, 0, 2, 2
57550, 58244, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 6, 4, 3, 1, 2, 1
61777, 62370, 1, "OK", 7, 11, 2, 1, 1, 0, 1, 1
57412, 60469, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 38, 28, 15, 13, 10, 1
64434, 68065, 1, "OK", 4, 79, 23, 23, 14, 9, 5, 0
56272, 67130, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet JSONObject jsonDsConfig", 0, 0, 94, 94, 46, 48, 25, 0
57338, 60709, 1, "OK", 10, 89, 41, 30, 17, 13, 11, 1
68169, 68984, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  QbeDataSet qbeDataSet String qbeDatamarts String dataSourceLabel String jsonQuery SpagoBICoreDatamartRetriever retriever", 0, 0, 2, 1, 1, 0, 1, 1
57023, 58189, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 8, 5, 4, 1, 3, 1
70229, 70666, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet SQLDBCache cache", 0, 0, 2, 1, 1, 0, 1, 1
68881, 69446, 1, "OK", 6, 14, 5, 3, 3, 0, 2, 1
61632, 62758, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
56771, 57801, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 2, 1, 1, 0, 1, 1
57734, 60709, 1, "OK", 7, 81, 41, 30, 17, 13, 11, 1
62571, 64425, 1, "OK", 8, 53, 27, 19, 13, 6, 8, 1
68169, 69066, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  QbeDataSet qbeDataSet String qbeDatamarts String dataSourceLabel String jsonQuery", 0, 0, 2, 1, 1, 0, 1, 1
60799, 62006, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsId String dsLabel String fileType String csvDelimiter String csvQuote String skipRows String limitRows String xslSheetNumber String ckanUrl String ckanId String scopeCd String ckanEncodig Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
69662, 69892, 1, "OK", 1, 4, 3, 1, 1, 0, 1, 2
56389, 57408, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsId String dsLabel String fileType String skipRows String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
70292, 70846, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet JSONObject jsonDsConfig", 0, 0, 2, 1, 1, 0, 1, 1
64434, 70150, 1, "OK", 4, 126, 38, 38, 22, 16, 10, 0
61487, 63200, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 8, 5, 4, 1, 3, 1
68597, 70145, 1, "OK", 5, 35, 14, 9, 7, 2, 5, 1
64711, 71799, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet JSONObject jsonDsConfig", 0, 0, 40, 40, 23, 17, 11, 0
66826, 71799, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet JSONObject jsonDsConfig", 0, 0, 23, 23, 14, 9, 7, 0
68881, 69534, 1, "OK", 6, 16, 5, 3, 3, 0, 2, 1
61685, 63200, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 8, 5, 4, 1, 3, 1
56319, 71853, 1, "OK", 4, 365, 116, 116, 59, 57, 32, 0
60928, 62088, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fileType String csvQuote String skipRows String limitRows String xslSheetNumber String ckanUrl String ckanId String scopeCd String ckanEncodig Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
56771, 57840, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded File pathFile", 0, 0, 2, 1, 1, 0, 1, 1
56851, 57408, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
61951, 63145, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 6, 4, 3, 1, 2, 1
58868, 60413, 1, "OK", 6, 35, 21, 11, 7, 4, 5, 2
60862, 62088, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsLabel String fileType String csvQuote String skipRows String limitRows String xslSheetNumber String ckanUrl String ckanId String scopeCd String ckanEncodig Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
61388, 62162, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String xslSheetNumber String ckanUrl String ckanId String scopeCd String ckanEncodig Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
56452, 57476, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsLabel String fileType String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
61777, 62447, 1, "OK", 8, 12, 2, 1, 1, 0, 1, 1
68218, 69568, 1, "OK", 2, 28, 5, 3, 3, 0, 2, 1
56771, 57874, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 2, 1, 1, 0, 1, 1
61112, 62567, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String ckanUrl String scopeCd Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
57878, 60418, 1, "OK", 8, 69, 38, 28, 15, 13, 10, 1
61632, 62830, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 2, 1, 1, 0, 1, 1
56590, 57334, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String csvQuote String skipRows String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
57480, 60469, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 38, 28, 15, 13, 10, 1
70229, 70725, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet SQLDBCache cache", 0, 0, 2, 1, 1, 0, 1, 1
56319, 71871, 1, "OK", 4, 366, 116, 116, 59, 57, 32, 0
68297, 69186, 1, "OK", 3, 19, 2, 1, 1, 0, 1, 1
57023, 58244, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet Boolean newFileUploaded String fileName", 0, 0, 8, 5, 4, 1, 3, 1
66826, 71853, 1, "OK", 3, 109, 23, 23, 14, 9, 7, 0
64711, 71871, 1, "OK", 3, 156, 40, 40, 23, 17, 11, 0
60862, 62162, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsLabel String fileType String skipRows String limitRows String xslSheetNumber String ckanUrl String ckanId String scopeCd String ckanEncodig Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
56851, 57476, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String limitRows String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
68169, 69136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  QbeDataSet qbeDataSet String qbeDatamarts String dataSourceLabel String jsonQuery", 0, 0, 2, 1, 1, 0, 1, 1
60928, 62162, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fileType String skipRows String limitRows String xslSheetNumber String ckanUrl String ckanId String scopeCd String ckanEncodig Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
60718, 64569, 1, "OK", 4, 93, 31, 31, 16, 15, 9, 0
61388, 62232, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String xslSheetNumber String ckanUrl String ckanId String scopeCd Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
68754, 69446, 1, "OK", 4, 16, 5, 3, 3, 0, 2, 1
56245, 68065, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet JSONObject jsonDsConfig", 0, 0, 97, 97, 48, 49, 26, 0
66826, 71871, 1, "OK", 3, 110, 23, 23, 14, 9, 7, 0
64711, 71853, 1, "OK", 3, 155, 40, 40, 23, 17, 11, 0
62374, 64425, 1, "OK", 10, 56, 27, 19, 13, 6, 8, 1
56452, 57546, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsLabel String fileType String xslSheetNumber Boolean newFileUploaded", 0, 0, 2, 1, 1, 0, 1, 1
61951, 63200, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataSet dataSet String fileName", 0, 0, 6, 4, 3, 1, 2, 1
59931, 60282, 1, "OK", 5, 10, 9, 3, 2, 1, 2, 3
