A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12290, 12616, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
12357, 12616, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
12825, 13148, 1, "OK", 6, 11, 9, 5, 4, 1, 2, 2
11872, 13157, 1, "OK", 5, 43, 19, 19, 10, 9, 5, 0
12011, 12173, 1, "OK", 2, 5, 2, 1, 1, 0, 1, 1
12381, 13148, 1, "OK", 7, 23, 12, 6, 5, 1, 3, 2
11799, 13176, 1, "OK", 4, 47, 19, 19, 10, 9, 5, 0
12057, 12228, 1, "OK", 1, 6, 2, 1, 1, 0, 1, 1
11799, 13157, 1, "OK", 4, 46, 19, 19, 10, 9, 5, 0
12381, 12616, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
12057, 13153, 1, "OK", 5, 35, 17, 12, 8, 4, 5, 1
12057, 12173, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
12011, 13153, 1, "OK", 5, 37, 17, 12, 8, 4, 5, 1
12203, 13153, 1, "OK", 5, 30, 15, 11, 7, 4, 4, 1
12922, 13141, 1, "OK", 5, 7, 5, 2, 2, 0, 1, 3
11872, 13176, 1, "OK", 5, 44, 19, 19, 10, 9, 5, 0
12232, 13153, 1, "OK", 6, 29, 15, 11, 7, 4, 4, 1
12290, 13148, 1, "OK", 7, 27, 12, 6, 5, 1, 3, 2
12357, 13148, 1, "OK", 6, 24, 12, 6, 5, 1, 3, 2
12011, 12228, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  File[] files boolean exceeded", 0, 0, 2, 1, 1, 0, 1, 1
