A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
43854, 45025, 1, "OK", 13, 28, 19, 11, 5, 6, 4, 2
39857, 45031, 1, "OK", 17, 110, 32, 23, 10, 13, 9, 1
40520, 42397, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int recursiveValuesSize String concatNmValues", 0, 0, 2, 1, 1, 0, 1, 1
44386, 44916, 1, "OK", 9, 10, 16, 7, 4, 3, 3, 3
44504, 44852, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 7, 2, 2, 0, 1, 5
41707, 45031, 1, "OK", 23, 67, 32, 23, 10, 13, 9, 1
42965, 43923, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object nmValue", 0, 0, 9, 3, 3, 0, 3, 2
41636, 42114, 1, "OK", 12, 9, 2, 1, 1, 0, 1, 1
40105, 45031, 1, "OK", 19, 103, 32, 23, 10, 13, 9, 1
40195, 42241, 1, "OK", 10, 45, 2, 1, 1, 0, 1, 1
40966, 42397, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int recursiveValuesSize String concatNmValues", 0, 0, 2, 1, 1, 0, 1, 1
43289, 43600, 1, "OK", 6, 4, 3, 1, 1, 0, 1, 2
43605, 44047, 1, "OK", 12, 13, 3, 1, 1, 0, 1, 2
42819, 43810, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object nmValue", 0, 0, 9, 3, 3, 0, 3, 2
42119, 45031, 1, "OK", 13, 59, 30, 22, 9, 13, 8, 1
40286, 45031, 1, "OK", 21, 100, 32, 23, 10, 13, 9, 1
44504, 44838, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String cdUniqueColumn Object cdUniqueValue", 0, 0, 7, 2, 2, 0, 1, 5
40819, 42335, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int recursiveValuesSize String hierNm", 0, 0, 2, 1, 1, 0, 1, 1
39978, 42335, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int recursiveValuesSize String hierNm", 0, 0, 2, 1, 1, 0, 1, 1
40908, 42172, 1, "OK", 13, 28, 2, 1, 1, 0, 1, 1
43605, 44071, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index String concatNmValues", 0, 0, 3, 1, 1, 0, 1, 2
41156, 42172, 1, "OK", 13, 22, 2, 1, 1, 0, 1, 1
43475, 44010, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object[] tmpLvl", 0, 0, 3, 1, 1, 0, 1, 2
44386, 44953, 1, "OK", 10, 11, 16, 7, 4, 3, 3, 3
43112, 45025, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index String concatNmValues", 0, 0, 28, 14, 8, 6, 7, 2
41566, 42241, 1, "OK", 13, 13, 2, 1, 1, 0, 1, 1
42537, 43884, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int lvlIndex String concatNmValues Object cdValue Object nmValue", 0, 0, 9, 3, 3, 0, 3, 2
41816, 42172, 1, "OK", 12, 7, 2, 1, 1, 0, 1, 1
44438, 44860, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 12, 4, 3, 1, 2, 4
43112, 43469, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Object cdValue Object nmValue", 0, 0, 6, 2, 2, 0, 2, 2
43772, 45025, 1, "OK", 13, 31, 19, 11, 5, 6, 4, 2
42819, 44355, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index String concatNmValues Object cdValue String cdUniqueColumn Object cdUniqueValue boolean uniqueNodeMng", 0, 0, 9, 3, 3, 0, 3, 2
41025, 42114, 1, "OK", 13, 23, 2, 1, 1, 0, 1, 1
41207, 42114, 1, "OK", 12, 19, 2, 1, 1, 0, 1, 1
44053, 45025, 1, "OK", 11, 21, 19, 11, 5, 6, 4, 2
43475, 45025, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index String concatNmValues", 0, 0, 22, 12, 6, 6, 5, 2
