A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
48077, 49537, 1, "OK", 7, 17, 3, 2, 2, 0, 1, 1
46928, 48036, 1, "OK", 5, 22, 11, 11, 6, 5, 3, 0
48077, 50046, 1, "OK", 7, 22, 3, 2, 2, 0, 1, 1
46069, 48036, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean isLeaf String hierarchyPrefix", 0, 0, 14, 14, 9, 5, 3, 0
46335, 50810, 1, "OK", 9, 65, 18, 18, 12, 6, 4, 0
46069, 46513, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean isLeaf String hierarchyPrefix int level", 0, 0, 1, 1, 1, 0, 0, 0
46152, 48036, 1, "OK", 7, 35, 14, 14, 9, 5, 3, 0
46417, 46477, 1, "OK", 1, 1, 1, 1, 1, 0, 0, 0
47622, 48031, 1, "OK", 6, 10, 10, 7, 5, 2, 3, 1
48302, 50247, 1, "OK", 7, 22, 3, 2, 2, 0, 1, 1
46317, 48036, 1, "OK", 5, 32, 14, 14, 9, 5, 3, 0
51001, 51310, 1, "OK", 3, 8, 7, 3, 2, 1, 2, 2
46417, 46985, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int level Iterator iter", 0, 0, 3, 3, 3, 0, 0, 0
46152, 46477, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String hierarchyPrefix int level", 0, 0, 1, 1, 1, 0, 0, 0
48213, 50170, 1, "OK", 7, 22, 3, 2, 2, 0, 1, 1
48527, 50420, 1, "OK", 7, 22, 3, 2, 2, 0, 1, 1
48213, 49401, 1, "OK", 7, 15, 3, 2, 2, 0, 1, 1
48302, 49969, 1, "OK", 7, 19, 3, 2, 2, 0, 1, 1
46152, 46985, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String hierarchyPrefix int level Iterator iter", 0, 0, 3, 3, 3, 0, 0, 0
48438, 50616, 1, "OK", 7, 25, 3, 2, 2, 0, 1, 1
46317, 46477, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
48213, 50420, 1, "OK", 7, 25, 3, 2, 2, 0, 1, 1
48438, 50357, 1, "OK", 7, 22, 3, 2, 2, 0, 1, 1
48438, 49845, 1, "OK", 7, 17, 3, 2, 2, 0, 1, 1
47572, 48031, 1, "OK", 6, 11, 10, 7, 5, 2, 3, 1
48077, 50552, 1, "OK", 7, 27, 3, 2, 2, 0, 1, 1
48527, 50170, 1, "OK", 7, 19, 3, 2, 2, 0, 1, 1
46417, 50810, 1, "OK", 10, 64, 18, 18, 12, 6, 4, 0
47663, 48025, 1, "OK", 6, 8, 7, 3, 3, 0, 2, 2
48302, 50744, 1, "OK", 7, 27, 3, 2, 2, 0, 1, 1
48527, 49401, 1, "OK", 6, 12, 3, 2, 2, 0, 1, 1
45904, 51864, 1, "OK", 5, 103, 28, 28, 16, 12, 7, 0
48077, 50804, 1, "OK", 7, 30, 3, 2, 2, 0, 1, 1
47663, 47812, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
46417, 48036, 1, "OK", 6, 30, 14, 14, 9, 5, 3, 0
46261, 46985, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int level Iterator iter", 0, 0, 3, 3, 3, 0, 0, 0
46517, 46985, 1, "OK", 3, 7, 2, 2, 2, 0, 0, 0
45939, 51845, 1, "OK", 6, 100, 28, 28, 16, 12, 7, 0
48302, 49759, 1, "OK", 7, 17, 3, 2, 2, 0, 1, 1
45832, 51845, 1, "OK", 4, 104, 28, 28, 16, 12, 7, 0
48438, 50420, 1, "OK", 7, 23, 3, 2, 2, 0, 1, 1
45948, 50810, 1, "OK", 6, 72, 18, 18, 12, 6, 4, 0
48213, 49969, 1, "OK", 7, 20, 3, 2, 2, 0, 1, 1
46261, 46477, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
46261, 50810, 1, "OK", 9, 67, 18, 18, 12, 6, 4, 0
46517, 50810, 1, "OK", 10, 62, 17, 17, 11, 6, 4, 0
48438, 49626, 1, "OK", 7, 15, 3, 2, 2, 0, 1, 1
46190, 46866, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String hierarchyPrefix int level", 0, 0, 3, 3, 3, 0, 0, 0
