A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
4547, 5548, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4505, 8899, 1, "OK", 3, 112, 18, 18, 13, 5, 4, 0
4406, 8899, 1, "OK", 0, 116, 18, 18, 13, 5, 4, 0
4505, 9415, 1, "OK", 3, 124, 19, 19, 14, 5, 4, 0
4481, 5548, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4582, 5489, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4406, 9415, 1, "OK", 0, 128, 19, 19, 14, 5, 4, 0
4783, 8478, 1, "OK", 3, 96, 17, 17, 12, 5, 4, 0
7076, 8058, 1, "OK", 7, 22, 5, 3, 3, 0, 1, 2
6962, 8012, 1, "OK", 5, 24, 5, 3, 3, 0, 1, 2
5788, 6518, 1, "OK", 4, 17, 2, 1, 1, 0, 1, 1
4355, 8442, 1, "OK", 0, 110, 17, 17, 12, 5, 4, 0
4440, 9391, 1, "OK", 1, 125, 19, 19, 14, 5, 4, 0
5240, 5587, 1, "OK", 0, 11, 3, 3, 3, 0, 0, 0
4734, 8478, 1, "OK", 4, 98, 17, 17, 12, 5, 4, 0
7022, 7704, 1, "OK", 6, 12, 5, 3, 3, 0, 1, 2
5871, 6518, 1, "OK", 5, 14, 2, 1, 1, 0, 1, 1
5644, 8442, 1, "OK", 4, 68, 13, 13, 8, 5, 4, 0
4440, 8899, 1, "OK", 1, 115, 18, 18, 13, 5, 4, 0
4481, 5587, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4440, 9415, 1, "OK", 1, 127, 19, 19, 14, 5, 4, 0
4547, 5587, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
5760, 8437, 1, "OK", 6, 62, 12, 8, 7, 1, 4, 1
5209, 5548, 1, "OK", 0, 10, 3, 3, 3, 0, 0, 0
6901, 7881, 1, "OK", 4, 20, 5, 3, 3, 0, 1, 2
4378, 5714, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output String fileExtension Map<String, String> randomNamesToName", 0, 0, 4, 4, 4, 0, 0, 0
4355, 8478, 1, "OK", 0, 111, 17, 17, 12, 5, 4, 0
4378, 5205, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output", 0, 0, 1, 1, 1, 0, 0, 0
4505, 8442, 1, "OK", 3, 103, 17, 17, 12, 5, 4, 0
4582, 5548, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4406, 8442, 1, "OK", 0, 107, 17, 17, 12, 5, 4, 0
6962, 8058, 1, "OK", 5, 25, 5, 3, 3, 0, 1, 2
5644, 8478, 1, "OK", 4, 69, 13, 13, 8, 5, 4, 0
6901, 7915, 1, "OK", 4, 22, 5, 3, 3, 0, 1, 2
5209, 5587, 1, "OK", 0, 12, 3, 3, 3, 0, 0, 0
4378, 5237, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output", 0, 0, 1, 1, 1, 0, 0, 0
6533, 8065, 1, "OK", 4, 36, 8, 6, 5, 1, 2, 1
4440, 8442, 1, "OK", 1, 106, 17, 17, 12, 5, 4, 0
4783, 5489, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4505, 8478, 1, "OK", 3, 104, 17, 17, 12, 5, 4, 0
4406, 8478, 1, "OK", 0, 108, 17, 17, 12, 5, 4, 0
4582, 5587, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
7022, 7770, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  File exportFile FileOutputStream stream", 0, 0, 5, 3, 3, 0, 1, 2
4734, 5489, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4694, 5714, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension Map<String, String> randomNamesToName", 0, 0, 4, 4, 4, 0, 0, 0
4694, 5205, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO", 0, 0, 1, 1, 1, 0, 0, 0
4440, 8478, 1, "OK", 1, 107, 17, 17, 12, 5, 4, 0
4355, 5489, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
8903, 9391, 1, "OK", 0, 9, 1, 1, 1, 0, 0, 0
7022, 7806, 1, "OK", 6, 15, 5, 3, 3, 0, 1, 2
4378, 9391, 1, "OK", 0, 127, 19, 19, 14, 5, 4, 0
6523, 8437, 1, "OK", 4, 42, 10, 7, 6, 1, 3, 1
5240, 5714, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fileExtension Map<String, String> randomNamesToName", 0, 0, 3, 3, 3, 0, 0, 0
4783, 5548, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4694, 5237, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO", 0, 0, 1, 1, 1, 0, 0, 0
8458, 9391, 1, "OK", 1, 19, 2, 2, 2, 0, 0, 0
8903, 9415, 1, "OK", 0, 11, 1, 1, 1, 0, 0, 0
4378, 8899, 1, "OK", 0, 117, 18, 18, 13, 5, 4, 0
4378, 9415, 1, "OK", 0, 129, 19, 19, 14, 5, 4, 0
4734, 5548, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
4481, 5714, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output String fileExtension Map<String, String> randomNamesToName", 0, 0, 4, 4, 4, 0, 0, 0
4547, 5205, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO", 0, 0, 1, 1, 1, 0, 0, 0
4547, 5714, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension Map<String, String> randomNamesToName", 0, 0, 4, 4, 4, 0, 0, 0
5760, 6518, 1, "OK", 4, 19, 2, 1, 1, 0, 1, 1
7076, 7704, 1, "OK", 6, 11, 5, 3, 3, 0, 1, 2
4481, 5205, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output", 0, 0, 1, 1, 1, 0, 0, 0
8458, 9415, 1, "OK", 1, 21, 2, 2, 2, 0, 0, 0
4505, 5489, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
6901, 8012, 1, "OK", 4, 25, 5, 3, 3, 0, 1, 2
4406, 5489, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IObjMetadataDAO metaDAO IObjMetacontentDAO contentDAO String output String fileExtension", 0, 0, 4, 4, 4, 0, 0, 0
8458, 8899, 1, "OK", 1, 9, 1, 1, 1, 0, 0, 0
5552, 9391, 1, "OK", 4, 90, 15, 15, 10, 5, 4, 0
