A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
13712, 14550, 1, "OK", 3, 20, 10, 6, 5, 1, 4, 1
14650, 15679, 1, "OK", 4, 24, 11, 5, 4, 1, 3, 2
12959, 15874, 1, "OK", 4, 69, 30, 30, 14, 16, 10, 0
13408, 13987, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsParameterLabel BIObjectParameter parameter", 0, 0, 5, 3, 2, 1, 2, 1
12989, 14433, 1, "OK", 3, 29, 13, 8, 7, 1, 5, 1
13712, 15826, 1, "OK", 5, 53, 26, 17, 11, 6, 9, 1
13081, 14151, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsParameterLabel BIObjectParameter parameter", 0, 0, 10, 6, 5, 1, 4, 1
14256, 14590, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String codeValue Iterator it", 0, 0, 3, 2, 2, 0, 1, 1
13408, 14252, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsParameterLabel List values", 0, 0, 7, 4, 3, 1, 3, 1
14764, 15746, 1, "OK", 4, 25, 14, 6, 5, 1, 4, 2
12989, 13680, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsParameterLabel List parameters BIObjectParameter parameter", 0, 0, 3, 2, 2, 0, 1, 1
13684, 14151, 1, "OK", 3, 12, 7, 4, 3, 1, 3, 1
13645, 14590, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String codeValue Iterator it", 0, 0, 10, 6, 5, 1, 4, 1
13081, 13641, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String dsParameterLabel List parameters", 0, 0, 3, 2, 2, 0, 1, 1
13761, 14590, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String codeValue Iterator it", 0, 0, 10, 6, 5, 1, 4, 1
14650, 14935, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IRecord record String value", 0, 0, 3, 1, 1, 0, 1, 2
14855, 15746, 1, "OK", 5, 23, 14, 6, 5, 1, 4, 2
13797, 13982, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 3, 1, 1, 0, 1, 2
13604, 14590, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String codeValue Iterator it", 0, 0, 10, 6, 5, 1, 4, 1
14555, 15826, 1, "OK", 3, 32, 16, 11, 6, 5, 5, 1
14940, 15679, 1, "OK", 5, 17, 8, 4, 3, 1, 2, 2
14880, 15746, 1, "OK", 6, 22, 14, 6, 5, 1, 4, 2
14207, 14590, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String codeValue Iterator it", 0, 0, 3, 2, 2, 0, 1, 1
13684, 14433, 1, "OK", 3, 18, 10, 6, 5, 1, 4, 1
13712, 14590, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String codeValue Iterator it", 0, 0, 10, 6, 5, 1, 4, 1
13872, 13982, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 3, 1, 1, 0, 1, 2
12989, 14473, 1, "OK", 3, 31, 13, 8, 7, 1, 5, 1
