A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
11630, 12276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String stateImgUrl String stateIcon String stateObj", 0, 0, 9, 3, 2, 1, 2, 3
10810, 11579, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
10877, 11049, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
10768, 11864, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
10849, 11787, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
11585, 12276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String biObjState String stateImgUrl String stateIcon String stateObj", 0, 0, 9, 3, 2, 1, 2, 3
11870, 12276, 1, "OK", 6, 8, 9, 3, 2, 1, 2, 3
10768, 11489, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
10810, 11864, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
10768, 11624, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
9766, 10047, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name String codeType Integer idFolder Integer parentId", 0, 0, 2, 2, 2, 0, 0, 0
10768, 12276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String biObjType String imgUrl String userIcon String biObjState String stateImgUrl String stateIcon String stateObj", 0, 0, 25, 10, 7, 3, 5, 3
11916, 12016, 1, "OK", 1, 4, 5, 1, 1, 0, 1, 4
9727, 12291, 1, "OK", 4, 54, 34, 34, 13, 21, 7, 0
11697, 12276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String stateIcon String stateObj", 0, 0, 9, 3, 2, 1, 2, 3
9882, 10047, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFolder Integer parentId", 0, 0, 2, 2, 2, 0, 0, 0
10202, 12287, 1, "OK", 6, 40, 30, 23, 9, 14, 7, 1
10768, 11376, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
9919, 10047, 1, "OK", 2, 5, 2, 2, 2, 0, 0, 0
10849, 11427, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
11916, 12269, 1, "OK", 5, 6, 5, 1, 1, 0, 1, 4
10849, 11821, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
11433, 12276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String imgUrl String userIcon String biObjState String stateImgUrl String stateIcon String stateObj", 0, 0, 9, 3, 2, 1, 2, 3
10810, 11624, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 16, 7, 5, 2, 3, 3
9841, 10047, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String codeType Integer idFolder Integer parentId", 0, 0, 2, 2, 2, 0, 0, 0
10285, 12282, 1, "OK", 5, 38, 28, 16, 8, 8, 6, 2
11495, 12276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String userIcon String biObjState String stateImgUrl String stateIcon String stateObj", 0, 0, 9, 3, 2, 1, 2, 3
