A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6013, 11299, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 22, 22, 13, 9, 7, 0
11570, 13116, 1, "OK", 4, 43, 11, 11, 7, 4, 3, 0
7648, 7723, 1, "OK", 3, 2, 3, 1, 1, 0, 1, 2
5979, 12369, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 32, 19, 13, 10, 0
11682, 13745, 1, "OK", 6, 49, 12, 12, 8, 4, 3, 0
11682, 13768, 1, "OK", 6, 50, 12, 12, 8, 4, 3, 0
12301, 13009, 1, "OK", 3, 18, 4, 4, 3, 1, 1, 0
5721, 12188, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 32, 19, 13, 10, 0
5391, 12188, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 32, 19, 13, 10, 0
5630, 12970, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 22, 14, 11, 0
6013, 11336, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 22, 22, 13, 9, 7, 0
11682, 13783, 1, "OK", 6, 51, 12, 12, 8, 4, 3, 0
12237, 12970, 1, "OK", 1, 19, 4, 4, 3, 1, 1, 0
5630, 13009, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 22, 14, 11, 0
12237, 13009, 1, "OK", 2, 20, 4, 4, 3, 1, 1, 0
6486, 13116, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 22, 14, 11, 0
5525, 12188, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 32, 19, 13, 10, 0
5721, 12265, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 32, 19, 13, 10, 0
11717, 12756, 1, "OK", 2, 29, 11, 11, 7, 4, 3, 0
11339, 12188, 1, "OK", 4, 26, 10, 10, 6, 4, 3, 0
5391, 12265, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 32, 19, 13, 10, 0
5283, 13568, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 37, 37, 23, 14, 11, 0
7586, 7723, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
11538, 12188, 1, "OK", 3, 19, 7, 7, 4, 3, 2, 0
5283, 11535, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 25, 15, 10, 8, 0
