A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
48501, 49066, 1, "OK", 2, 19, 11, 6, 6, 0, 5, 1
48856, 49066, 1, "OK", 2, 7, 4, 2, 2, 0, 2, 1
47647, 48655, 1, "OK", 2, 17, 16, 11, 10, 1, 5, 1
48099, 48851, 1, "OK", 2, 18, 13, 8, 8, 0, 5, 1
47380, 48497, 1, "OK", 2, 19, 16, 11, 10, 1, 5, 1
48935, 49183, 1, "OK", 2, 6, 4, 2, 2, 0, 2, 1
47409, 48851, 1, "OK", 2, 29, 23, 15, 14, 1, 8, 1
47380, 48851, 1, "OK", 2, 30, 23, 15, 14, 1, 8, 1
47409, 48095, 1, "OK", 2, 11, 10, 7, 6, 1, 3, 1
48501, 48930, 1, "OK", 2, 15, 9, 5, 5, 0, 4, 1
48099, 48335, 1, "OK", 2, 4, 3, 2, 2, 0, 1, 1
47822, 48090, 1, "OK", 2, 4, 4, 2, 2, 0, 1, 2
47380, 48095, 1, "OK", 2, 12, 10, 7, 6, 1, 3, 1
48501, 49183, 1, "OK", 2, 22, 13, 7, 7, 0, 6, 1
48856, 48930, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
48856, 49183, 1, "OK", 2, 10, 6, 3, 3, 0, 3, 1
48099, 48755, 1, "OK", 2, 15, 11, 7, 7, 0, 4, 1
47409, 48655, 1, "OK", 2, 21, 19, 13, 12, 1, 6, 1
48339, 48497, 1, "OK", 2, 3, 3, 2, 2, 0, 1, 1
48501, 48851, 1, "OK", 2, 11, 7, 4, 4, 0, 3, 1
47380, 48655, 1, "OK", 2, 22, 19, 13, 12, 1, 6, 1
47647, 48930, 1, "OK", 2, 29, 22, 14, 13, 1, 8, 1
48671, 48930, 1, "OK", 2, 10, 6, 3, 3, 0, 3, 1
48935, 49066, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
47409, 48755, 1, "OK", 2, 26, 21, 14, 13, 1, 7, 1
47409, 48497, 1, "OK", 2, 18, 16, 11, 10, 1, 5, 1
47647, 49183, 1, "OK", 2, 36, 26, 16, 15, 1, 10, 1
48339, 48851, 1, "OK", 2, 14, 10, 6, 6, 0, 4, 1
48671, 49183, 1, "OK", 2, 17, 10, 5, 5, 0, 5, 1
47380, 48755, 1, "OK", 2, 27, 21, 14, 13, 1, 7, 1
48099, 48497, 1, "OK", 2, 7, 6, 4, 4, 0, 2, 1
47885, 48090, 1, "OK", 2, 3, 4, 2, 2, 0, 1, 2
47790, 48090, 1, "OK", 2, 5, 4, 2, 2, 0, 1, 2
47647, 49066, 1, "OK", 2, 33, 24, 15, 14, 1, 9, 1
48671, 49066, 1, "OK", 2, 14, 8, 4, 4, 0, 4, 1
47380, 49066, 1, "OK", 2, 38, 27, 17, 16, 1, 10, 1
47647, 48851, 1, "OK", 2, 25, 20, 13, 12, 1, 7, 1
48671, 48851, 1, "OK", 2, 6, 4, 2, 2, 0, 2, 1
48759, 49066, 1, "OK", 2, 11, 6, 3, 3, 0, 3, 1
47409, 48930, 1, "OK", 2, 33, 25, 16, 15, 1, 9, 1
47647, 48335, 1, "OK", 2, 11, 10, 7, 6, 1, 3, 1
48501, 48755, 1, "OK", 2, 8, 5, 3, 3, 0, 2, 1
48099, 49183, 1, "OK", 2, 29, 19, 11, 11, 0, 8, 1
48339, 48655, 1, "OK", 2, 6, 6, 4, 4, 0, 2, 1
47409, 49066, 1, "OK", 2, 37, 27, 17, 16, 1, 10, 1
48339, 48755, 1, "OK", 2, 11, 8, 5, 5, 0, 3, 1
47380, 48930, 1, "OK", 2, 34, 25, 16, 15, 1, 9, 1
47409, 49183, 1, "OK", 2, 40, 29, 18, 17, 1, 11, 1
48099, 48655, 1, "OK", 2, 10, 9, 6, 6, 0, 3, 1
47380, 49183, 1, "OK", 2, 41, 29, 18, 17, 1, 11, 1
48759, 48930, 1, "OK", 2, 7, 4, 2, 2, 0, 2, 1
47409, 47643, 1, "OK", 2, 4, 3, 2, 2, 0, 1, 1
48759, 49183, 1, "OK", 2, 14, 8, 4, 4, 0, 4, 1
47380, 47643, 1, "OK", 2, 5, 3, 2, 2, 0, 1, 1
47647, 48755, 1, "OK", 2, 22, 18, 12, 11, 1, 6, 1
48671, 48755, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
47647, 48497, 1, "OK", 2, 14, 13, 9, 8, 1, 4, 1
49070, 49183, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
48339, 48930, 1, "OK", 2, 18, 12, 7, 7, 0, 5, 1
47409, 48335, 1, "OK", 2, 15, 13, 9, 8, 1, 4, 1
48759, 48851, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
47380, 48335, 1, "OK", 2, 16, 13, 9, 8, 1, 4, 1
48501, 48655, 1, "OK", 2, 3, 3, 2, 2, 0, 1, 1
48339, 49066, 1, "OK", 2, 22, 14, 8, 8, 0, 6, 1
47647, 48095, 1, "OK", 2, 7, 7, 5, 4, 1, 2, 1
48099, 48930, 1, "OK", 2, 22, 15, 9, 9, 0, 6, 1
48339, 49183, 1, "OK", 2, 25, 16, 9, 9, 0, 7, 1
47323, 49188, 1, "OK", 2, 44, 30, 30, 18, 12, 11, 0
48099, 49066, 1, "OK", 2, 26, 17, 10, 10, 0, 7, 1
