A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
31964, 32681, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean useFixedRecipients boolean useDataset", 0, 0, 6, 4, 3, 1, 2, 1
31908, 35437, 1, "OK", 2, 72, 25, 17, 13, 4, 8, 1
33889, 34965, 1, "OK", 5, 23, 9, 6, 5, 1, 3, 1
31908, 34923, 1, "OK", 2, 59, 25, 17, 13, 4, 8, 1
32627, 35673, 1, "OK", 3, 64, 22, 15, 12, 3, 7, 1
32731, 35538, 1, "OK", 4, 59, 19, 13, 10, 3, 6, 1
32038, 34472, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean useDataset boolean useExpression", 0, 0, 22, 15, 11, 4, 7, 1
32685, 34923, 1, "OK", 4, 44, 19, 13, 10, 3, 6, 1
33941, 34870, 1, "OK", 5, 19, 9, 6, 5, 1, 3, 1
35395, 35877, 1, "OK", 3, 13, 6, 4, 4, 0, 2, 1
32100, 35135, 1, "OK", 3, 62, 25, 17, 13, 4, 8, 1
31964, 35766, 1, "OK", 2, 80, 28, 19, 15, 4, 9, 1
32998, 33386, 1, "OK", 1, 7, 4, 2, 2, 0, 1, 2
32753, 33816, 1, "OK", 2, 18, 8, 4, 4, 0, 2, 2
32181, 32618, 1, "OK", 2, 8, 4, 2, 2, 0, 1, 2
33941, 35391, 1, "OK", 5, 33, 9, 6, 5, 1, 3, 1
32731, 35015, 1, "OK", 4, 45, 19, 13, 10, 3, 6, 1
34477, 35673, 1, "OK", 5, 28, 6, 4, 4, 0, 2, 1
35019, 35766, 1, "OK", 3, 20, 3, 2, 2, 0, 1, 1
32685, 33885, 1, "OK", 3, 22, 10, 7, 5, 2, 3, 1
34070, 34467, 1, "OK", 1, 7, 4, 2, 2, 0, 1, 2
35337, 35673, 1, "OK", 2, 8, 3, 2, 2, 0, 1, 1
31908, 33937, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean useFixedRecipients boolean useDataset boolean useExpression", 0, 0, 16, 11, 8, 3, 5, 1
32038, 35538, 1, "OK", 3, 73, 25, 17, 13, 4, 8, 1
32731, 35055, 1, "OK", 4, 46, 19, 13, 10, 3, 6, 1
31964, 35268, 1, "OK", 2, 67, 25, 17, 13, 4, 8, 1
35139, 35673, 1, "OK", 3, 13, 3, 2, 2, 0, 1, 1
33941, 34923, 1, "OK", 5, 21, 9, 6, 5, 1, 3, 1
33941, 35437, 1, "OK", 5, 34, 9, 6, 5, 1, 3, 1
32627, 35191, 1, "OK", 3, 52, 19, 13, 10, 3, 6, 1
32038, 35015, 1, "OK", 3, 59, 25, 17, 13, 4, 8, 1
34875, 35673, 1, "OK", 2, 20, 3, 2, 2, 0, 1, 1
32685, 35437, 1, "OK", 4, 57, 19, 13, 10, 3, 6, 1
31964, 32727, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean useFixedRecipients boolean useDataset", 0, 0, 6, 4, 3, 1, 2, 1
33889, 34472, 1, "OK", 3, 12, 6, 4, 3, 1, 2, 1
32100, 35673, 1, "OK", 3, 75, 28, 19, 15, 4, 9, 1
33825, 34923, 1, "OK", 4, 23, 9, 6, 5, 1, 3, 1
34477, 35191, 1, "OK", 5, 16, 3, 2, 2, 0, 1, 1
31908, 34965, 1, "OK", 2, 60, 25, 17, 13, 4, 8, 1
33825, 35437, 1, "OK", 4, 36, 9, 6, 5, 1, 3, 1
33889, 35538, 1, "OK", 5, 38, 9, 6, 5, 1, 3, 1
32100, 32623, 1, "OK", 3, 11, 6, 4, 3, 1, 2, 1
35272, 35673, 1, "OK", 3, 10, 3, 2, 2, 0, 1, 1
32038, 35055, 1, "OK", 3, 60, 25, 17, 13, 4, 8, 1
33825, 34965, 1, "OK", 4, 24, 9, 6, 5, 1, 3, 1
35071, 35766, 1, "OK", 2, 17, 3, 2, 2, 0, 1, 1
31908, 34472, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean useFixedRecipients boolean useDataset boolean useExpression", 0, 0, 22, 15, 11, 4, 7, 1
32685, 33937, 1, "OK", 3, 23, 10, 7, 5, 2, 3, 1
32753, 33386, 1, "OK", 2, 11, 4, 2, 2, 0, 1, 2
32685, 34472, 1, "OK", 3, 34, 16, 11, 8, 3, 5, 1
34023, 34467, 1, "OK", 2, 8, 4, 2, 2, 0, 1, 2
33889, 35015, 1, "OK", 5, 24, 9, 6, 5, 1, 3, 1
32685, 34965, 1, "OK", 4, 45, 19, 13, 10, 3, 6, 1
32100, 35191, 1, "OK", 3, 63, 25, 17, 13, 4, 8, 1
31908, 35538, 1, "OK", 2, 75, 25, 17, 13, 4, 8, 1
33941, 34472, 1, "OK", 3, 11, 6, 4, 3, 1, 2, 1
31964, 35332, 1, "OK", 2, 68, 25, 17, 13, 4, 8, 1
