A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6523, 6747, 1, "OK", 3, 7, 4, 4, 4, 0, 0, 0
4352, 6468, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currTheme IEngUserProfile profile List lstMenu", 0, 0, 20, 20, 14, 6, 3, 0
3717, 4655, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SessionContainer permSess HttpServletRequest servletRequest String language String country String isPublicUser String currTheme IEngUserProfile profile", 0, 0, 1, 1, 1, 0, 0, 0
3914, 6747, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HttpServletRequest servletRequest List lstMenu String url", 0, 0, 24, 24, 18, 6, 3, 0
4768, 6902, 1, "OK", 9, 56, 22, 22, 16, 6, 3, 0
3968, 6101, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String isPublicUser String currTheme IEngUserProfile profile List lstMenu Collection functionalities", 0, 0, 17, 17, 11, 6, 3, 0
4834, 6902, 1, "OK", 10, 54, 22, 22, 16, 6, 3, 0
3717, 4673, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SessionContainer permSess HttpServletRequest servletRequest String language String country String isPublicUser String currTheme IEngUserProfile profile String lang", 0, 0, 1, 1, 1, 0, 0, 0
4638, 5823, 1, "OK", 4, 39, 16, 16, 10, 6, 3, 0
4432, 6073, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IEngUserProfile profile List lstMenu Collection functionalities", 0, 0, 17, 17, 11, 6, 3, 0
4089, 6468, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String isPublicUser String currTheme IEngUserProfile profile List lstMenu", 0, 0, 20, 20, 14, 6, 3, 0
6104, 6468, 1, "OK", 1, 7, 3, 3, 3, 0, 0, 0
6015, 7184, 1, "OK", 5, 26, 7, 7, 7, 0, 0, 0
3847, 4758, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SessionContainer permSess HttpServletRequest servletRequest String language String country String isPublicUser String currTheme IEngUserProfile profile String lang", 0, 0, 2, 2, 2, 0, 0, 0
3968, 6127, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String isPublicUser String currTheme IEngUserProfile profile List lstMenu Collection functionalities", 0, 0, 17, 17, 11, 6, 3, 0
