A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
26420, 28191, 1, "OK", 2, 40, 21, 21, 12, 9, 4, 0
27206, 27668, 1, "OK", 2, 9, 5, 2, 2, 0, 1, 3
26441, 28177, 1, "OK", 3, 38, 21, 21, 12, 9, 4, 0
26837, 28063, 1, "OK", 5, 25, 17, 13, 8, 5, 4, 1
26501, 28068, 1, "OK", 4, 31, 20, 20, 11, 9, 4, 0
27156, 27668, 1, "OK", 2, 10, 5, 2, 2, 0, 1, 3
27804, 27932, 1, "OK", 2, 3, 5, 2, 2, 0, 1, 3
26398, 28191, 1, "OK", 2, 41, 21, 21, 12, 9, 4, 0
26913, 27939, 1, "OK", 4, 19, 14, 8, 6, 2, 3, 2
27681, 27939, 1, "OK", 3, 6, 6, 4, 3, 1, 1, 2
26420, 28177, 1, "OK", 2, 39, 21, 21, 12, 9, 4, 0
26981, 27939, 1, "OK", 3, 18, 14, 8, 6, 2, 3, 2
26658, 28063, 1, "OK", 4, 27, 17, 13, 8, 5, 4, 1
27082, 27939, 1, "OK", 3, 17, 14, 8, 6, 2, 3, 2
26398, 28177, 1, "OK", 2, 40, 21, 21, 12, 9, 4, 0
26864, 27939, 1, "OK", 4, 20, 14, 8, 6, 2, 3, 2
26441, 28191, 1, "OK", 3, 39, 21, 21, 12, 9, 4, 0
27754, 27932, 1, "OK", 2, 4, 5, 2, 2, 0, 1, 3
26450, 28068, 1, "OK", 3, 32, 20, 20, 11, 9, 4, 0
