A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
11520, 12709, 1, "OK", 0, 27, 17, 17, 7, 10, 4, 0
12336, 12468, 1, "OK", 2, 3, 5, 1, 1, 0, 1, 4
11793, 12593, 1, "OK", 3, 18, 15, 11, 5, 6, 4, 1
12277, 12468, 1, "OK", 3, 4, 5, 1, 1, 0, 1, 4
12422, 12468, 1, "OK", 2, 1, 5, 1, 1, 0, 1, 4
11520, 12653, 1, "OK", 0, 26, 17, 17, 7, 10, 4, 0
11689, 12593, 1, "OK", 2, 19, 15, 11, 5, 6, 4, 1
11626, 12593, 1, "OK", 1, 20, 15, 11, 5, 6, 4, 1
12000, 12487, 1, "OK", 2, 11, 12, 6, 3, 3, 3, 2
12061, 12487, 1, "OK", 2, 10, 12, 6, 3, 3, 3, 2
12235, 12478, 1, "OK", 2, 6, 9, 3, 2, 1, 2, 3
11899, 12593, 1, "OK", 2, 16, 15, 11, 5, 6, 4, 1
12142, 12478, 1, "OK", 3, 7, 9, 3, 2, 1, 2, 3
11970, 12593, 1, "OK", 3, 15, 15, 11, 5, 6, 4, 1
11571, 12709, 1, "OK", 1, 26, 17, 17, 7, 10, 4, 0
11839, 12593, 1, "OK", 3, 17, 15, 11, 5, 6, 4, 1
12096, 12478, 1, "OK", 2, 8, 9, 3, 2, 1, 2, 3
11571, 12653, 1, "OK", 1, 25, 17, 17, 7, 10, 4, 0
