A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6433, 9411, 1, "OK", 7, 63, 38, 38, 17, 21, 8, 0
6561, 9411, 1, "OK", 9, 59, 38, 38, 17, 21, 8, 0
6632, 9385, 1, "OK", 10, 57, 38, 38, 17, 21, 8, 0
7465, 8010, 1, "OK", 5, 8, 8, 4, 4, 0, 2, 2
8162, 9057, 1, "OK", 5, 17, 22, 10, 8, 2, 4, 3
7594, 9135, 1, "OK", 7, 27, 33, 19, 13, 6, 7, 2
7594, 8111, 1, "OK", 4, 7, 8, 4, 4, 0, 2, 2
6879, 9411, 1, "OK", 13, 51, 38, 38, 17, 21, 8, 0
7465, 9165, 1, "OK", 6, 31, 33, 19, 13, 6, 7, 2
6950, 9385, 1, "OK", 9, 49, 38, 38, 17, 21, 8, 0
7170, 7823, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JsonArray input JsonArray output", 0, 0, 4, 2, 2, 0, 1, 2
6776, 9411, 1, "OK", 12, 54, 38, 38, 17, 21, 8, 0
7070, 9385, 1, "OK", 7, 46, 38, 38, 17, 21, 8, 0
8060, 9165, 1, "OK", 7, 22, 25, 15, 9, 6, 5, 2
7648, 9135, 1, "OK", 7, 26, 33, 19, 13, 6, 7, 2
7648, 8111, 1, "OK", 3, 6, 8, 4, 4, 0, 2, 2
6323, 9385, 1, "OK", 5, 66, 38, 38, 17, 21, 8, 0
7516, 9135, 1, "OK", 7, 28, 33, 19, 13, 6, 7, 2
7516, 8111, 1, "OK", 5, 8, 8, 4, 4, 0, 2, 2
8018, 9189, 1, "OK", 7, 24, 25, 15, 9, 6, 5, 2
8119, 9135, 1, "OK", 6, 20, 25, 15, 9, 6, 5, 2
8795, 9048, 1, "OK", 2, 3, 7, 3, 3, 0, 1, 4
6950, 9411, 1, "OK", 9, 50, 38, 38, 17, 21, 8, 0
7465, 9189, 1, "OK", 6, 32, 33, 19, 13, 6, 7, 2
8200, 9057, 1, "OK", 6, 16, 22, 10, 8, 2, 4, 3
6632, 9411, 1, "OK", 10, 58, 38, 38, 17, 21, 8, 0
7594, 8010, 1, "OK", 3, 5, 8, 4, 4, 0, 2, 2
7070, 9411, 1, "OK", 7, 47, 38, 38, 17, 21, 8, 0
7594, 9165, 1, "OK", 7, 28, 33, 19, 13, 6, 7, 2
7648, 8010, 1, "OK", 2, 4, 8, 4, 4, 0, 2, 2
8060, 9189, 1, "OK", 7, 23, 25, 15, 9, 6, 5, 2
8248, 9126, 1, "OK", 9, 15, 22, 10, 8, 2, 4, 3
8760, 9126, 1, "OK", 5, 6, 11, 5, 4, 1, 2, 3
7516, 8010, 1, "OK", 5, 6, 8, 4, 4, 0, 2, 2
7170, 9135, 1, "OK", 6, 35, 33, 19, 13, 6, 7, 2
7170, 8111, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JsonArray input JsonArray output", 0, 0, 8, 4, 4, 0, 2, 2
