A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
17292, 17685, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url HttpEntity responseEntity int responseCode", 0, 0, 2, 1, 1, 0, 1, 1
17158, 18387, 1, "OK", 1, 27, 18, 18, 7, 11, 5, 0
17114, 18408, 1, "OK", 0, 29, 18, 18, 7, 11, 5, 0
17292, 18380, 1, "OK", 3, 23, 17, 12, 6, 6, 5, 1
17201, 18387, 1, "OK", 2, 26, 18, 18, 7, 11, 5, 0
17265, 18387, 1, "OK", 3, 25, 18, 18, 7, 11, 5, 0
18090, 18220, 1, "OK", 3, 4, 5, 1, 1, 0, 1, 4
17718, 18233, 1, "OK", 3, 13, 12, 6, 3, 3, 3, 2
17478, 18380, 1, "OK", 3, 20, 15, 11, 5, 6, 4, 1
17201, 18408, 1, "OK", 2, 27, 18, 18, 7, 11, 5, 0
17265, 18408, 1, "OK", 3, 26, 18, 18, 7, 11, 5, 0
17750, 18227, 1, "OK", 3, 11, 9, 3, 2, 1, 2, 3
17691, 18380, 1, "OK", 4, 17, 15, 11, 5, 6, 4, 1
17793, 18227, 1, "OK", 4, 10, 9, 3, 2, 1, 2, 3
17292, 17331, 1, "OK", 1, 1, 2, 1, 1, 0, 1, 1
17537, 18380, 1, "OK", 4, 19, 15, 11, 5, 6, 4, 1
17158, 18408, 1, "OK", 1, 28, 18, 18, 7, 11, 5, 0
17994, 18220, 1, "OK", 4, 6, 5, 1, 1, 0, 1, 4
17415, 18380, 1, "OK", 4, 21, 15, 11, 5, 6, 4, 1
17607, 18380, 1, "OK", 5, 18, 15, 11, 5, 6, 4, 1
17114, 18387, 1, "OK", 0, 28, 18, 18, 7, 11, 5, 0
17850, 18227, 1, "OK", 4, 9, 9, 3, 2, 1, 2, 3
17292, 17531, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url HttpResponse httpResponse HttpEntity responseEntity", 0, 0, 2, 1, 1, 0, 1, 1
17337, 18380, 1, "OK", 3, 22, 15, 11, 5, 6, 4, 1
17292, 17472, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url HttpResponse httpResponse", 0, 0, 2, 1, 1, 0, 1, 1
17292, 17601, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url HttpResponse httpResponse HttpEntity responseEntity int responseCode", 0, 0, 2, 1, 1, 0, 1, 1
17292, 17409, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url HttpPost httpPost", 0, 0, 2, 1, 1, 0, 1, 1
17949, 18227, 1, "OK", 3, 8, 9, 3, 2, 1, 2, 3
