A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
27008, 27597, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double p double c double s", 0, 0, 9, 3, 2, 1, 2, 3
26694, 27597, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double f double p double c double s", 0, 0, 13, 4, 3, 1, 3, 3
26227, 27740, 1, "OK", 8, 67, 27, 19, 8, 11, 8, 1
26552, 26882, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double f double dl1", 0, 0, 8, 2, 2, 0, 2, 3
26694, 27617, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double f double p double c", 0, 0, 13, 4, 3, 1, 3, 3
26227, 27756, 1, "OK", 8, 68, 27, 19, 8, 11, 8, 1
26621, 26801, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double dl1 double h", 0, 0, 4, 1, 1, 0, 1, 3
26652, 26865, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double dl1 double h", 0, 0, 8, 2, 2, 0, 2, 3
27057, 27617, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double p double c", 0, 0, 9, 3, 2, 1, 2, 3
26575, 26687, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double p double r", 0, 0, 4, 1, 1, 0, 1, 3
26781, 26959, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double f double p double c", 0, 0, 4, 1, 1, 0, 1, 3
26575, 26716, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double p double r", 0, 0, 4, 1, 1, 0, 1, 3
26781, 26980, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double f double p double c double c2", 0, 0, 4, 1, 1, 0, 1, 3
27057, 27637, 1, "OK", 13, 24, 9, 3, 2, 1, 2, 3
28080, 28179, 1, "OK", 4, 5, 3, 1, 1, 0, 1, 2
26652, 26882, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double f double dl1", 0, 0, 8, 2, 2, 0, 2, 3
