A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
9934, 10066, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 2, 1, 1, 0, 1, 1
10311, 10666, 1, "OK", 4, 17, 15, 11, 5, 6, 4, 1
9807, 10671, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int band", 0, 0, 20, 20, 9, 11, 5, 0
9807, 10234, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex int band", 0, 0, 4, 4, 3, 1, 1, 0
9807, 10171, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex", 0, 0, 4, 4, 3, 1, 1, 0
10570, 10645, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
10219, 10713, 1, "OK", 2, 24, 16, 16, 6, 10, 4, 0
10479, 10653, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
9832, 10671, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int band", 0, 0, 20, 20, 9, 11, 5, 0
9832, 10171, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex", 0, 0, 4, 4, 3, 1, 1, 0
9832, 10234, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex int band", 0, 0, 4, 4, 3, 1, 1, 0
9790, 10713, 1, "OK", 0, 42, 20, 20, 9, 11, 5, 0
9790, 10071, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex", 0, 0, 3, 3, 2, 1, 1, 0
9881, 10066, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 2, 1, 1, 0, 1, 1
10079, 10713, 1, "OK", 2, 29, 17, 17, 7, 10, 4, 0
10240, 10713, 1, "OK", 3, 22, 16, 16, 6, 10, 4, 0
10219, 10671, 1, "OK", 2, 22, 16, 16, 6, 10, 4, 0
10546, 10645, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
10335, 10666, 1, "OK", 5, 15, 15, 11, 5, 6, 4, 1
9807, 10071, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex", 0, 0, 3, 3, 2, 1, 1, 0
9807, 10713, 1, "OK", 1, 41, 20, 20, 9, 11, 5, 0
10292, 10666, 1, "OK", 3, 18, 15, 11, 5, 6, 4, 1
9832, 10071, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex", 0, 0, 3, 3, 2, 1, 1, 0
10079, 10671, 1, "OK", 2, 27, 17, 17, 7, 10, 4, 0
10240, 10671, 1, "OK", 3, 20, 16, 16, 6, 10, 4, 0
9790, 10671, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int band", 0, 0, 20, 20, 9, 11, 5, 0
9832, 10713, 1, "OK", 2, 39, 20, 20, 9, 11, 5, 0
10079, 10234, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
9790, 10234, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex int band", 0, 0, 4, 4, 3, 1, 1, 0
10079, 10171, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
9790, 10171, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int max int evalIndex", 0, 0, 4, 4, 3, 1, 1, 0
10501, 10653, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
10379, 10660, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 13, 7, 4, 3, 3, 2
