A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
9754, 10013, 1, "OK", 3, 8, 3, 2, 2, 0, 1, 1
9690, 10463, 1, "OK", 11, 35, 12, 8, 8, 0, 4, 1
10161, 10195, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 1
9132, 9591, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double rand double x1", 0, 0, 3, 2, 2, 0, 1, 1
9188, 10416, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 15, 10, 10, 0, 5, 1
9754, 10279, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 9, 6, 6, 0, 3, 1
9634, 10416, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 12, 8, 8, 0, 4, 1
10121, 10416, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 9, 6, 6, 0, 3, 1
9279, 10416, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 15, 10, 10, 0, 5, 1
9548, 10013, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double betaq double x1", 0, 0, 3, 2, 2, 0, 1, 1
9548, 10279, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 9, 6, 6, 0, 3, 1
9004, 9744, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double y1 double y2 double alpha double rand double x1", 0, 0, 6, 4, 4, 0, 2, 1
8799, 10468, 1, "OK", 4, 69, 19, 19, 13, 6, 6, 0
9188, 10442, 1, "OK", 8, 50, 15, 10, 10, 0, 5, 1
10121, 10442, 1, "OK", 6, 20, 9, 6, 6, 0, 3, 1
9279, 10442, 1, "OK", 9, 47, 15, 10, 10, 0, 5, 1
9004, 9242, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double y1 double y2 double alpha", 0, 0, 3, 2, 2, 0, 1, 1
9634, 10442, 1, "OK", 9, 35, 12, 8, 8, 0, 4, 1
10023, 10416, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 9, 6, 6, 0, 3, 1
10121, 10195, 1, "OK", 3, 5, 3, 2, 2, 0, 1, 1
9279, 10195, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 9, 6, 6, 0, 3, 1
10205, 10416, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 6, 4, 4, 0, 2, 1
9279, 9685, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double beta double x1", 0, 0, 3, 2, 2, 0, 1, 1
10121, 10463, 1, "OK", 7, 21, 9, 6, 6, 0, 3, 1
9188, 10195, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 9, 6, 6, 0, 3, 1
9004, 10013, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double y1 double y2 double betaq double x1", 0, 0, 9, 6, 6, 0, 3, 1
9188, 9685, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double beta double rand double x1", 0, 0, 3, 2, 2, 0, 1, 1
9247, 10416, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double x1 double x2", 0, 0, 15, 10, 10, 0, 5, 1
