A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3594, 3851, 1, "OK", 3, 11, 5, 3, 2, 1, 2, 1
3681, 3845, 1, "OK", 5, 8, 3, 1, 1, 0, 1, 2
3648, 3845, 1, "OK", 4, 9, 3, 1, 1, 0, 1, 2
3428, 3886, 1, "OK", 2, 18, 6, 6, 3, 3, 2, 0
3949, 4502, 1, "OK", 1, 21, 10, 10, 5, 5, 3, 0
3362, 3886, 1, "OK", 1, 20, 6, 6, 3, 3, 2, 0
3307, 4502, 1, "OK", 0, 44, 16, 16, 8, 8, 5, 0
4046, 4444, 1, "OK", 1, 13, 9, 6, 4, 2, 3, 1
4105, 4474, 1, "OK", 3, 13, 9, 6, 4, 2, 3, 1
4325, 4438, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
3727, 3845, 1, "OK", 5, 5, 3, 1, 1, 0, 1, 2
3307, 4000, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<double[]> designs List<double[]> weights", 0, 0, 6, 6, 3, 3, 2, 0
3475, 3851, 1, "OK", 2, 14, 5, 3, 2, 1, 2, 1
4008, 4479, 1, "OK", 2, 17, 10, 10, 5, 5, 3, 0
4158, 4438, 1, "OK", 3, 9, 7, 3, 3, 0, 2, 2
3428, 4479, 1, "OK", 2, 39, 16, 16, 8, 8, 5, 0
4158, 4313, 1, "OK", 3, 5, 4, 2, 2, 0, 1, 2
3362, 4479, 1, "OK", 1, 41, 16, 16, 8, 8, 5, 0
3531, 3851, 1, "OK", 3, 13, 5, 3, 2, 1, 2, 1
3594, 3881, 1, "OK", 4, 13, 5, 3, 2, 1, 2, 1
3307, 3886, 1, "OK", 0, 21, 6, 6, 3, 3, 2, 0
4046, 4474, 1, "OK", 2, 15, 9, 6, 4, 2, 3, 1
4008, 4502, 1, "OK", 2, 19, 10, 10, 5, 5, 3, 0
3428, 4502, 1, "OK", 2, 41, 16, 16, 8, 8, 5, 0
3949, 4479, 1, "OK", 1, 19, 10, 10, 5, 5, 3, 0
3699, 3845, 1, "OK", 5, 7, 3, 1, 1, 0, 1, 2
3307, 4479, 1, "OK", 0, 42, 16, 16, 8, 8, 5, 0
3362, 4502, 1, "OK", 1, 43, 16, 16, 8, 8, 5, 0
3475, 3881, 1, "OK", 3, 16, 5, 3, 2, 1, 2, 1
4105, 4444, 1, "OK", 2, 11, 9, 6, 4, 2, 3, 1
3428, 4000, 1, "OK", 2, 21, 6, 6, 3, 3, 2, 0
3362, 4000, 1, "OK", 1, 23, 6, 6, 3, 3, 2, 0
3531, 3881, 1, "OK", 4, 15, 5, 3, 2, 1, 2, 1
