A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
22723, 23466, 1, "OK", 1, 29, 9, 9, 8, 1, 1, 0
21718, 22110, 1, "OK", 4, 12, 7, 4, 3, 1, 3, 1
23048, 23126, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
21241, 22310, 1, "OK", 4, 37, 15, 8, 7, 1, 7, 1
22120, 22710, 1, "OK", 4, 23, 6, 3, 3, 0, 3, 1
23134, 23775, 1, "OK", 2, 21, 5, 5, 4, 1, 1, 0
20613, 23589, 1, "OK", 2, 104, 34, 34, 21, 13, 12, 0
21003, 22510, 1, "OK", 4, 54, 21, 11, 10, 1, 10, 1
21003, 21231, 1, "OK", 4, 8, 4, 2, 2, 0, 2, 1
20549, 23041, 1, "OK", 1, 85, 28, 28, 16, 12, 11, 0
20890, 22710, 1, "OK", 2, 65, 23, 12, 11, 1, 11, 1
20951, 21587, 1, "OK", 3, 22, 8, 4, 4, 0, 4, 1
21098, 21884, 1, "OK", 4, 27, 10, 5, 5, 0, 5, 1
22817, 23126, 1, "OK", 1, 11, 3, 3, 3, 0, 0, 0
21410, 22710, 1, "OK", 4, 47, 17, 9, 8, 1, 8, 1
20951, 21088, 1, "OK", 0, 5, 2, 1, 1, 0, 1, 1
21597, 22310, 1, "OK", 4, 25, 11, 6, 5, 1, 5, 1
21410, 21708, 1, "OK", 4, 10, 4, 2, 2, 0, 2, 1
20844, 21587, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 8, 4, 4, 0, 4, 1
20951, 22110, 1, "OK", 3, 40, 17, 9, 8, 1, 8, 1
21098, 21400, 1, "OK", 4, 10, 4, 2, 2, 0, 2, 1
20549, 23812, 1, "OK", 1, 113, 34, 34, 21, 13, 12, 0
21894, 22310, 1, "OK", 4, 14, 7, 4, 3, 1, 3, 1
22937, 23775, 1, "OK", 2, 29, 7, 7, 6, 1, 1, 0
23134, 23812, 1, "OK", 2, 23, 5, 5, 4, 1, 1, 0
21718, 21884, 1, "OK", 4, 5, 2, 1, 1, 0, 1, 1
21241, 21587, 1, "OK", 4, 11, 4, 2, 2, 0, 2, 1
20549, 23330, 1, "OK", 1, 97, 33, 33, 20, 13, 12, 0
22817, 23422, 1, "OK", 1, 23, 8, 8, 7, 1, 1, 0
22723, 23775, 1, "OK", 2, 37, 9, 9, 8, 1, 1, 0
21003, 22310, 1, "OK", 4, 46, 19, 10, 9, 1, 9, 1
20613, 23126, 1, "OK", 2, 87, 29, 29, 17, 12, 11, 0
20844, 22110, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 17, 9, 8, 1, 8, 1
20890, 21708, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 10, 5, 5, 0, 5, 1
21926, 22104, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
23048, 23422, 1, "OK", 1, 15, 6, 6, 5, 1, 1, 0
20549, 22809, 1, "OK", 1, 77, 26, 26, 14, 12, 11, 0
20844, 21088, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 2, 1, 1, 0, 1, 1
22937, 23041, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
23134, 23589, 1, "OK", 2, 16, 5, 5, 4, 1, 1, 0
22937, 23812, 1, "OK", 2, 31, 7, 7, 6, 1, 1, 0
21098, 22710, 1, "OK", 4, 58, 21, 11, 10, 1, 10, 1
21410, 22510, 1, "OK", 4, 39, 15, 8, 7, 1, 7, 1
20549, 23589, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<Collector> collectors InstrumentedAlgorithm instrumentedAlgorithm", 0, 0, 34, 34, 21, 13, 12, 0
20951, 21884, 1, "OK", 3, 33, 12, 6, 6, 0, 6, 1
21241, 22110, 1, "OK", 4, 29, 13, 7, 6, 1, 6, 1
22120, 22510, 1, "OK", 4, 15, 4, 2, 2, 0, 2, 1
22320, 22710, 1, "OK", 4, 15, 4, 2, 2, 0, 2, 1
23134, 23330, 1, "OK", 1, 7, 4, 4, 3, 1, 1, 0
20613, 23422, 1, "OK", 2, 99, 34, 34, 21, 13, 12, 0
21894, 22110, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
22723, 23041, 1, "OK", 1, 11, 3, 3, 3, 0, 0, 0
22817, 23710, 1, "OK", 2, 31, 8, 8, 7, 1, 1, 0
22817, 22929, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
20844, 21884, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 12, 6, 6, 0, 6, 1
23048, 23710, 1, "OK", 2, 23, 6, 6, 5, 1, 1, 0
20890, 21231, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 4, 2, 2, 0, 2, 1
23338, 23422, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
20890, 22510, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 21, 11, 10, 1, 10, 1
22817, 23466, 1, "OK", 1, 25, 8, 8, 7, 1, 1, 0
22937, 23330, 1, "OK", 1, 15, 6, 6, 5, 1, 1, 0
21003, 21587, 1, "OK", 4, 20, 8, 4, 4, 0, 4, 1
22937, 23589, 1, "OK", 2, 24, 7, 7, 6, 1, 1, 0
20613, 22929, 1, "OK", 2, 79, 27, 27, 15, 12, 11, 0
20844, 21400, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 6, 3, 3, 0, 3, 1
23048, 23466, 1, "OK", 1, 17, 6, 6, 5, 1, 1, 0
20951, 21400, 1, "OK", 3, 16, 6, 3, 3, 0, 3, 1
21597, 22110, 1, "OK", 4, 17, 9, 5, 4, 1, 4, 1
22723, 23812, 1, "OK", 2, 39, 9, 9, 8, 1, 1, 0
21098, 21708, 1, "OK", 4, 21, 8, 4, 4, 0, 4, 1
21718, 22710, 1, "OK", 4, 36, 13, 7, 6, 1, 6, 1
21241, 21884, 1, "OK", 4, 22, 8, 4, 4, 0, 4, 1
20613, 23710, 1, "OK", 2, 107, 34, 34, 21, 13, 12, 0
22520, 22710, 1, "OK", 4, 7, 2, 1, 1, 0, 1, 1
22120, 22310, 1, "OK", 4, 7, 2, 1, 1, 0, 1, 1
22320, 22510, 1, "OK", 4, 7, 2, 1, 1, 0, 1, 1
23169, 23325, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
20549, 23126, 1, "OK", 1, 89, 29, 29, 17, 12, 11, 0
22723, 22809, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
21003, 21088, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
23338, 23710, 1, "OK", 2, 11, 1, 1, 1, 0, 0, 0
21003, 22110, 1, "OK", 4, 38, 17, 9, 8, 1, 8, 1
20844, 22710, 1, "OK", 2, 66, 23, 12, 11, 1, 11, 1
20890, 22310, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 19, 10, 9, 1, 9, 1
22723, 23589, 1, "OK", 2, 32, 9, 9, 8, 1, 1, 0
23338, 23466, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
20951, 22710, 1, "OK", 3, 64, 23, 12, 11, 1, 11, 1
21241, 21400, 1, "OK", 4, 5, 2, 1, 1, 0, 1, 1
21597, 21884, 1, "OK", 4, 10, 4, 2, 2, 0, 2, 1
22723, 23330, 1, "OK", 1, 23, 8, 8, 7, 1, 1, 0
20613, 23466, 1, "OK", 2, 101, 34, 34, 21, 13, 12, 0
21098, 21231, 1, "OK", 4, 4, 2, 1, 1, 0, 1, 1
21098, 22510, 1, "OK", 4, 50, 19, 10, 9, 1, 9, 1
21410, 22310, 1, "OK", 4, 31, 13, 7, 6, 1, 6, 1
20549, 23422, 1, "OK", 1, 101, 34, 34, 21, 13, 12, 0
23048, 23775, 1, "OK", 2, 25, 6, 6, 5, 1, 1, 0
21718, 22510, 1, "OK", 4, 28, 11, 6, 5, 1, 5, 1
22817, 23775, 1, "OK", 2, 33, 8, 8, 7, 1, 1, 0
21241, 22710, 1, "OK", 4, 53, 19, 10, 9, 1, 9, 1
22937, 23126, 1, "OK", 1, 7, 2, 2, 2, 0, 0, 0
21003, 21884, 1, "OK", 4, 31, 12, 6, 6, 0, 6, 1
20951, 21708, 1, "OK", 3, 27, 10, 5, 5, 0, 5, 1
20613, 22715, 1, "OK", 2, 71, 25, 25, 13, 12, 11, 0
21003, 21400, 1, "OK", 4, 14, 6, 3, 3, 0, 3, 1
20549, 22929, 1, "OK", 1, 81, 27, 27, 15, 12, 11, 0
23134, 23422, 1, "OK", 1, 11, 5, 5, 4, 1, 1, 0
20844, 21708, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 10, 5, 5, 0, 5, 1
20549, 23710, 1, "OK", 1, 109, 34, 34, 21, 13, 12, 0
20890, 21587, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 8, 4, 4, 0, 4, 1
21597, 22710, 1, "OK", 4, 41, 15, 8, 7, 1, 7, 1
20613, 23775, 1, "OK", 2, 109, 34, 34, 21, 13, 12, 0
20951, 22510, 1, "OK", 3, 56, 21, 11, 10, 1, 10, 1
20951, 21231, 1, "OK", 3, 10, 4, 2, 2, 0, 2, 1
23048, 23812, 1, "OK", 2, 27, 6, 6, 5, 1, 1, 0
21098, 22310, 1, "OK", 4, 42, 17, 9, 8, 1, 8, 1
21410, 22110, 1, "OK", 4, 23, 11, 6, 5, 1, 5, 1
21410, 21587, 1, "OK", 4, 5, 2, 1, 1, 0, 1, 1
21894, 22710, 1, "OK", 4, 30, 11, 6, 5, 1, 5, 1
23338, 23775, 1, "OK", 2, 13, 1, 1, 1, 0, 0, 0
21241, 21708, 1, "OK", 4, 16, 6, 3, 3, 0, 3, 1
22723, 23126, 1, "OK", 1, 15, 4, 4, 4, 0, 0, 0
23134, 23466, 1, "OK", 1, 13, 5, 5, 4, 1, 1, 0
21003, 22710, 1, "OK", 4, 62, 23, 12, 11, 1, 11, 1
20844, 22510, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 21, 11, 10, 1, 10, 1
22817, 23041, 1, "OK", 1, 7, 2, 2, 2, 0, 0, 0
23134, 23710, 1, "OK", 2, 19, 5, 5, 4, 1, 1, 0
20549, 23466, 1, "OK", 1, 103, 34, 34, 21, 13, 12, 0
22937, 23422, 1, "OK", 1, 19, 7, 7, 6, 1, 1, 0
20890, 21088, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 2, 1, 1, 0, 1, 1
20844, 21231, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Problem problem NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 4, 2, 2, 0, 2, 1
22817, 23812, 1, "OK", 2, 35, 8, 8, 7, 1, 1, 0
20890, 22110, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NondominatedPopulation referenceSet EpsilonBoxDominanceArchive archive", 0, 0, 17, 9, 8, 1, 8, 1
23048, 23330, 1, "OK", 1, 11, 5, 5, 4, 1, 1, 0
23338, 23812, 1, "OK", 2, 15, 1, 1, 1, 0, 0, 0
21410, 21884, 1, "OK", 4, 16, 6, 3, 3, 0, 3, 1
23048, 23589, 1, "OK", 2, 20, 6, 6, 5, 1, 1, 0
20613, 23041, 1, "OK", 2, 83, 28, 28, 16, 12, 11, 0
22723, 23422, 1, "OK", 1, 27, 9, 9, 8, 1, 1, 0
21597, 21708, 1, "OK", 3, 4, 2, 1, 1, 0, 1, 1
21718, 22310, 1, "OK", 4, 20, 9, 5, 4, 1, 4, 1
21241, 22510, 1, "OK", 4, 45, 17, 9, 8, 1, 8, 1
