A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3625, 3822, 1, "OK", 3, 4, 12, 2, 2, 0, 2, 5
2984, 3888, 1, "OK", 7, 20, 31, 19, 7, 12, 6, 2
3265, 3848, 1, "OK", 7, 11, 24, 8, 5, 3, 4, 4
3507, 3709, 1, "OK", 3, 4, 12, 2, 2, 0, 2, 5
3199, 3848, 1, "OK", 7, 13, 24, 8, 5, 3, 4, 4
3121, 3870, 1, "OK", 7, 16, 28, 13, 6, 7, 5, 3
2841, 3912, 1, "OK", 6, 26, 34, 34, 9, 25, 7, 0
3625, 3709, 1, "OK", 2, 2, 6, 1, 1, 0, 1, 5
3738, 3822, 1, "OK", 2, 2, 6, 1, 1, 0, 1, 5
2917, 3902, 1, "OK", 7, 23, 33, 26, 8, 18, 7, 1
3031, 3888, 1, "OK", 7, 19, 31, 19, 7, 12, 6, 2
3507, 3596, 1, "OK", 2, 2, 6, 1, 1, 0, 1, 5
3507, 3822, 1, "OK", 4, 6, 18, 3, 3, 0, 3, 5
