A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2901, 3061, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
2537, 3981, 1, "OK", 7, 52, 30, 30, 11, 19, 8, 0
2901, 2936, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
2948, 3783, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String trimmedPath String fileName", 0, 0, 11, 5, 4, 1, 2, 3
2471, 3981, 1, "OK", 6, 55, 30, 30, 11, 19, 8, 0
2495, 3884, 1, "OK", 6, 52, 30, 30, 11, 19, 8, 0
2562, 2831, 1, "OK", 1, 11, 9, 6, 3, 3, 3, 1
3165, 3466, 1, "OK", 3, 6, 5, 1, 1, 0, 1, 4
2588, 3820, 1, "OK", 7, 44, 29, 21, 10, 11, 8, 1
2398, 3824, 1, "OK", 3, 53, 30, 30, 11, 19, 8, 0
2426, 3981, 1, "OK", 5, 56, 30, 30, 11, 19, 8, 0
2199, 3981, 1, "OK", 1, 61, 30, 30, 11, 19, 8, 0
2260, 3884, 1, "OK", 2, 58, 30, 30, 11, 19, 8, 0
2641, 2826, 1, "OK", 3, 7, 7, 3, 2, 1, 2, 2
2537, 3884, 1, "OK", 7, 50, 30, 30, 11, 19, 8, 0
2325, 3931, 1, "OK", 3, 58, 30, 30, 11, 19, 8, 0
2471, 3884, 1, "OK", 6, 53, 30, 30, 11, 19, 8, 0
2901, 3107, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
2398, 3981, 1, "OK", 4, 57, 30, 30, 11, 19, 8, 0
2426, 3884, 1, "OK", 5, 54, 30, 30, 11, 19, 8, 0
2588, 2831, 1, "OK", 2, 10, 9, 6, 3, 3, 3, 1
2199, 3884, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ResourceContainer container Map<String, byte[]> allDirectoryFiles", 0, 0, 30, 30, 11, 19, 8, 0
3119, 3783, 1, "OK", 6, 18, 11, 5, 4, 1, 2, 3
2495, 3931, 1, "OK", 6, 53, 30, 30, 11, 19, 8, 0
2325, 3824, 1, "OK", 2, 55, 30, 30, 11, 19, 8, 0
3532, 3783, 1, "OK", 4, 8, 2, 2, 2, 0, 0, 3
2729, 2826, 1, "OK", 3, 5, 4, 1, 1, 0, 1, 3
2260, 3931, 1, "OK", 2, 59, 30, 30, 11, 19, 8, 0
2398, 3884, 1, "OK", 4, 55, 30, 30, 11, 19, 8, 0
2537, 3931, 1, "OK", 7, 51, 30, 30, 11, 19, 8, 0
2901, 3783, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String trimmedPath String fileName", 0, 0, 15, 6, 5, 1, 3, 3
2495, 3824, 1, "OK", 5, 50, 30, 30, 11, 19, 8, 0
2471, 3931, 1, "OK", 6, 54, 30, 30, 11, 19, 8, 0
2325, 3981, 1, "OK", 3, 59, 30, 30, 11, 19, 8, 0
2260, 3824, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, byte[]> allDirectoryFiles Map<String, ClassNode> allDirectoryClasses", 0, 0, 30, 30, 11, 19, 8, 0
3242, 3466, 1, "OK", 3, 5, 5, 1, 1, 0, 1, 4
2426, 3931, 1, "OK", 5, 55, 30, 30, 11, 19, 8, 0
2860, 3789, 1, "OK", 5, 28, 18, 10, 6, 4, 4, 2
2199, 3931, 1, "OK", 1, 60, 30, 30, 11, 19, 8, 0
2537, 3824, 1, "OK", 6, 48, 30, 30, 11, 19, 8, 0
2562, 3820, 1, "OK", 6, 45, 29, 21, 10, 11, 8, 1
2471, 3824, 1, "OK", 5, 51, 30, 30, 11, 19, 8, 0
3067, 3783, 1, "OK", 5, 20, 11, 5, 4, 1, 2, 3
2495, 3981, 1, "OK", 6, 54, 30, 30, 11, 19, 8, 0
2426, 3824, 1, "OK", 4, 52, 30, 30, 11, 19, 8, 0
2839, 3820, 1, "OK", 7, 33, 20, 15, 7, 8, 5, 1
2677, 2826, 1, "OK", 3, 6, 7, 3, 2, 1, 2, 2
2325, 3884, 1, "OK", 3, 57, 30, 30, 11, 19, 8, 0
2199, 3824, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ResourceContainer container Map<String, byte[]> allDirectoryFiles Map<String, ClassNode> allDirectoryClasses", 0, 0, 30, 30, 11, 19, 8, 0
2260, 3981, 1, "OK", 2, 60, 30, 30, 11, 19, 8, 0
2860, 3815, 1, "OK", 5, 30, 18, 10, 6, 4, 4, 2
2398, 3931, 1, "OK", 4, 56, 30, 30, 11, 19, 8, 0
