A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3174, 3303, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
3863, 4219, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean exactMatch boolean caseInsensitiveMatch boolean caseSensitiveMatch", 0, 0, 3, 3, 3, 0, 0, 3
3990, 4890, 1, "OK", 11, 16, 7, 4, 4, 0, 1, 3
3556, 4908, 1, "OK", 8, 25, 11, 7, 6, 1, 2, 2
3707, 4322, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String ldcString boolean anyMatch", 0, 0, 4, 4, 4, 0, 0, 3
3863, 3969, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean exact boolean exactMatch", 0, 0, 1, 1, 1, 0, 0, 3
3631, 4890, 1, "OK", 8, 22, 8, 5, 5, 0, 1, 3
5017, 5579, 1, "OK", 5, 16, 3, 3, 2, 1, 1, 0
4240, 4322, 1, "OK", 3, 1, 1, 1, 1, 0, 0, 3
3260, 5008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 9, 6, 3, 0
3707, 4083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String ldcString boolean exact boolean exactMatch boolean caseInsensitiveMatch", 0, 0, 2, 2, 2, 0, 0, 3
4104, 4322, 1, "OK", 6, 2, 2, 2, 2, 0, 0, 3
3424, 4922, 1, "OK", 7, 29, 13, 10, 7, 3, 3, 1
5129, 5569, 1, "OK", 4, 11, 2, 1, 1, 0, 1, 1
3120, 5008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 9, 6, 3, 0
3707, 4219, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String ldcString boolean exactMatch boolean caseInsensitiveMatch boolean caseSensitiveMatch", 0, 0, 3, 3, 3, 0, 0, 3
3906, 4322, 1, "OK", 5, 4, 4, 4, 4, 0, 0, 3
3863, 4890, 1, "OK", 9, 18, 8, 5, 5, 0, 1, 3
3050, 5008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 9, 6, 3, 0
3707, 3969, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String ldcString boolean exact boolean exactMatch", 0, 0, 1, 1, 1, 0, 0, 3
3174, 5008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 9, 6, 3, 0
3321, 4932, 1, "OK", 7, 34, 14, 14, 8, 6, 3, 0
3321, 5579, 1, "OK", 7, 52, 17, 17, 10, 7, 4, 0
3906, 4083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean exactMatch boolean caseInsensitiveMatch", 0, 0, 2, 2, 2, 0, 0, 3
4104, 4219, 1, "OK", 4, 1, 1, 1, 1, 0, 0, 3
3906, 4219, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean exactMatch boolean caseInsensitiveMatch boolean caseSensitiveMatch", 0, 0, 3, 3, 3, 0, 0, 3
3483, 4922, 1, "OK", 8, 28, 13, 10, 7, 3, 3, 1
3707, 4890, 1, "OK", 8, 21, 8, 5, 5, 0, 1, 3
3906, 3969, 1, "OK", 3, 1, 1, 1, 1, 0, 0, 3
3260, 4932, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 9, 6, 3, 0
4240, 4890, 1, "OK", 9, 14, 5, 2, 2, 0, 1, 3
3990, 4322, 1, "OK", 6, 3, 3, 3, 3, 0, 0, 3
4364, 4890, 1, "OK", 7, 12, 4, 1, 1, 0, 1, 3
3260, 5579, 1, "OK", 7, 55, 18, 18, 11, 7, 4, 0
4104, 4890, 1, "OK", 11, 15, 6, 3, 3, 0, 1, 3
3120, 4932, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 9, 6, 3, 0
