A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
31235, 31983, 1, "OK", 3, 11, 15, 6, 5, 1, 3, 3
27531, 32376, 1, "OK", 4, 75, 91, 57, 25, 32, 17, 2
28414, 28939, 1, "OK", 4, 8, 11, 5, 4, 1, 2, 3
29372, 30984, 1, "OK", 3, 23, 37, 13, 7, 6, 6, 4
29372, 31109, 1, "OK", 4, 26, 42, 14, 8, 6, 7, 4
27745, 28939, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  InformationSystemGraphVertex from InformationSystemGraphVertex to String relatedVulneravility", 0, 0, 22, 10, 8, 2, 4, 3
27615, 31166, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 69, 33, 18, 15, 12, 3
27805, 31166, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 69, 33, 18, 15, 12, 3
29815, 30807, 1, "OK", 2, 12, 22, 7, 4, 3, 3, 5
27745, 31135, 1, "OK", 6, 50, 69, 33, 18, 15, 12, 3
28115, 28363, 1, "OK", 4, 4, 5, 1, 1, 0, 1, 4
28667, 28913, 1, "OK", 4, 4, 5, 1, 1, 0, 1, 4
29168, 29638, 1, "OK", 3, 7, 5, 1, 1, 0, 1, 4
29026, 30838, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String relatedVulneravility InformationSystemGraphArc arc", 0, 0, 32, 12, 6, 6, 5, 4
31235, 31860, 1, "OK", 3, 9, 11, 5, 4, 1, 2, 3
29220, 30838, 1, "OK", 2, 22, 32, 12, 6, 6, 5, 4
31235, 32014, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 6, 5, 1, 3, 3
27805, 28389, 1, "OK", 4, 8, 11, 5, 4, 1, 2, 3
29119, 29638, 1, "OK", 4, 8, 5, 1, 1, 0, 1, 4
31699, 31834, 1, "OK", 3, 3, 5, 1, 1, 0, 1, 4
27681, 28389, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  InformationSystemGraphVertex from InformationSystemGraphVertex to String relatedVulneravility", 0, 0, 11, 5, 4, 1, 2, 3
29026, 30984, 1, "OK", 4, 28, 37, 13, 7, 6, 6, 4
27615, 28389, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  InformationSystemGraphVertex from InformationSystemGraphVertex to String relatedVulneravility", 0, 0, 11, 5, 4, 1, 2, 3
29026, 31109, 1, "OK", 5, 31, 42, 14, 8, 6, 7, 4
