A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
13531, 16190, 1, "OK", 4, 53, 20, 20, 10, 10, 7, 0
13440, 15438, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<RemediationAction>> result List<List<Vertex>> sufficientLeavesToCutPath HashMap<Integer, List<List<RemediationAction>>> howToRemediateLeaves", 0, 0, 12, 12, 6, 6, 4, 0
15505, 16190, 1, "OK", 3, 16, 8, 8, 4, 4, 3, 0
13842, 15271, 1, "OK", 2, 26, 11, 11, 5, 6, 4, 0
13531, 15438, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Vertex>> sufficientLeavesToCutPath HashMap<Integer, List<List<RemediationAction>>> howToRemediateLeaves", 0, 0, 12, 12, 6, 6, 4, 0
15146, 16190, 1, "OK", 6, 23, 9, 9, 5, 4, 3, 0
14348, 14688, 1, "OK", 5, 7, 6, 2, 2, 0, 2, 2
13842, 16166, 1, "OK", 7, 46, 20, 20, 10, 10, 7, 0
13772, 15271, 1, "OK", 2, 27, 11, 11, 5, 6, 4, 0
14214, 14881, 1, "OK", 5, 16, 10, 6, 4, 2, 4, 1
13842, 14891, 1, "OK", 2, 23, 11, 11, 5, 6, 4, 0
13772, 16166, 1, "OK", 6, 47, 20, 20, 10, 10, 7, 0
15146, 15438, 1, "OK", 4, 4, 1, 1, 1, 0, 0, 0
14144, 14881, 1, "OK", 4, 18, 10, 6, 4, 2, 4, 1
13772, 14891, 1, "OK", 2, 24, 11, 11, 5, 6, 4, 0
15686, 15973, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
13842, 16190, 1, "OK", 7, 48, 20, 20, 10, 10, 7, 0
15986, 16156, 1, "OK", 4, 3, 2, 1, 1, 0, 1, 1
15796, 16156, 1, "OK", 4, 8, 7, 4, 3, 1, 3, 1
13686, 14891, 1, "OK", 1, 25, 11, 11, 5, 6, 4, 0
15280, 16166, 1, "OK", 7, 20, 9, 9, 5, 4, 3, 0
13686, 15271, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Vertex>> sufficientLeavesToCutPath HashMap<Integer, List<List<RemediationAction>>> howToRemediateLeaves", 0, 0, 11, 11, 5, 6, 4, 0
13772, 16190, 1, "OK", 6, 49, 20, 20, 10, 10, 7, 0
13686, 16166, 1, "OK", 5, 48, 20, 20, 10, 10, 7, 0
14035, 14702, 1, "OK", 3, 13, 8, 5, 3, 2, 3, 1
14716, 14840, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
13842, 15438, 1, "OK", 6, 29, 12, 12, 6, 6, 4, 0
