A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3380, 4723, 1, "OK", 1, 28, 19, 19, 7, 12, 5, 0
3442, 4723, 1, "OK", 2, 27, 19, 19, 7, 12, 5, 0
4018, 4147, 1, "OK", 2, 3, 4, 1, 1, 0, 1, 3
3304, 5548, 1, "OK", 1, 45, 27, 27, 12, 15, 7, 0
4169, 4467, 1, "OK", 2, 6, 4, 1, 1, 0, 1, 3
3942, 4467, 1, "OK", 2, 11, 8, 2, 2, 0, 2, 3
4169, 4601, 1, "OK", 2, 9, 8, 2, 2, 0, 2, 3
3942, 4601, 1, "OK", 2, 14, 12, 3, 3, 0, 3, 3
3792, 4390, 1, "OK", 2, 11, 8, 2, 2, 0, 2, 3
3868, 4467, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex vertex Element type_element", 0, 0, 8, 2, 2, 0, 2, 3
3632, 4619, 1, "OK", 1, 19, 16, 8, 5, 3, 4, 2
3942, 4228, 1, "OK", 2, 6, 4, 1, 1, 0, 1, 3
3868, 4601, 1, "OK", 2, 15, 12, 3, 3, 0, 3, 3
3792, 4147, 1, "OK", 2, 6, 4, 1, 1, 0, 1, 3
3868, 4228, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex vertex Element metric_element", 0, 0, 4, 1, 1, 0, 1, 3
4488, 4601, 1, "OK", 2, 3, 4, 1, 1, 0, 1, 3
3380, 4643, 1, "OK", 1, 25, 19, 19, 7, 12, 5, 0
3442, 4643, 1, "OK", 1, 24, 19, 19, 7, 12, 5, 0
4900, 5524, 1, "OK", 1, 8, 4, 2, 2, 0, 1, 2
3380, 5548, 1, "OK", 1, 41, 26, 26, 11, 15, 7, 0
4249, 4467, 1, "OK", 3, 5, 4, 1, 1, 0, 1, 3
3442, 5548, 1, "OK", 2, 40, 26, 26, 11, 15, 7, 0
4169, 4390, 1, "OK", 2, 4, 4, 1, 1, 0, 1, 3
4772, 5538, 1, "OK", 1, 11, 6, 4, 3, 1, 2, 1
4838, 5538, 1, "OK", 1, 10, 6, 4, 3, 1, 2, 1
5144, 5524, 1, "OK", 2, 6, 4, 2, 2, 0, 1, 2
3942, 4390, 1, "OK", 2, 9, 8, 2, 2, 0, 2, 3
3304, 3433, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
4018, 4467, 1, "OK", 3, 10, 8, 2, 2, 0, 2, 3
4249, 4601, 1, "OK", 3, 8, 8, 2, 2, 0, 2, 3
4018, 4601, 1, "OK", 3, 13, 12, 3, 3, 0, 3, 3
3868, 4390, 1, "OK", 2, 10, 8, 2, 2, 0, 2, 3
3304, 4723, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 20, 8, 12, 5, 0
3563, 4633, 1, "OK", 1, 21, 18, 13, 6, 7, 5, 1
3942, 4147, 1, "OK", 2, 4, 4, 1, 1, 0, 1, 3
4018, 4228, 1, "OK", 3, 5, 4, 1, 1, 0, 1, 3
3700, 4619, 1, "OK", 2, 18, 16, 8, 5, 3, 4, 2
3868, 4147, 1, "OK", 2, 5, 4, 1, 1, 0, 1, 3
4678, 5548, 1, "OK", 1, 14, 7, 7, 4, 3, 2, 0
3792, 4467, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex vertex Element type_element", 0, 0, 8, 2, 2, 0, 2, 3
3304, 3341, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
3792, 4601, 1, "OK", 2, 16, 12, 3, 3, 0, 3, 3
4249, 4390, 1, "OK", 2, 3, 4, 1, 1, 0, 1, 3
4732, 5548, 1, "OK", 1, 13, 7, 7, 4, 3, 2, 0
3792, 4228, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex vertex Element metric_element", 0, 0, 4, 1, 1, 0, 1, 3
4018, 4390, 1, "OK", 3, 8, 8, 2, 2, 0, 2, 3
5022, 5524, 1, "OK", 2, 7, 4, 2, 2, 0, 1, 2
4412, 4601, 1, "OK", 2, 4, 4, 1, 1, 0, 1, 3
3304, 4643, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 20, 8, 12, 5, 0
3486, 4633, 1, "OK", 1, 22, 18, 13, 6, 7, 5, 1
