A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
17501, 18692, 1, "OK", 1, 23, 5, 5, 5, 0, 0, 0
19539, 20027, 1, "OK", 1, 11, 2, 2, 2, 0, 0, 0
17011, 18523, 1, "OK", 2, 30, 6, 6, 6, 0, 0, 0
17186, 20268, 1, "OK", 1, 62, 12, 12, 12, 0, 0, 0
16936, 17779, 1, "OK", 1, 16, 3, 3, 3, 0, 0, 0
19168, 20268, 1, "OK", 2, 25, 5, 5, 5, 0, 0, 0
19953, 20509, 1, "OK", 1, 11, 2, 2, 2, 0, 0, 0
16859, 20169, 1, "OK", 1, 67, 13, 13, 13, 0, 0, 0
19388, 19593, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
17788, 20027, 1, "OK", 2, 46, 9, 9, 9, 0, 0, 0
17297, 20913, 1, "OK", 2, 73, 15, 15, 15, 0, 0, 0
17297, 18866, 1, "OK", 2, 30, 6, 6, 6, 0, 0, 0
17501, 17662, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
19737, 20027, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
17703, 19593, 1, "OK", 1, 37, 7, 7, 7, 0, 0, 0
18023, 19913, 1, "OK", 2, 38, 8, 8, 8, 0, 0, 0
20204, 20913, 1, "OK", 1, 13, 3, 3, 3, 0, 0, 0
17562, 20913, 1, "OK", 2, 68, 14, 14, 14, 0, 0, 0
17297, 19913, 1, "OK", 2, 53, 11, 11, 11, 0, 0, 0
17562, 18866, 1, "OK", 2, 25, 5, 5, 5, 0, 0, 0
16859, 18132, 1, "OK", 1, 26, 5, 5, 5, 0, 0, 0
16859, 19159, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Element root Element restartCostElement", 0, 0, 8, 8, 8, 0, 0, 0
19101, 19277, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
18532, 19509, 1, "OK", 2, 18, 4, 4, 4, 0, 0, 0
18431, 19593, 1, "OK", 1, 22, 4, 4, 4, 0, 0, 0
17186, 19277, 1, "OK", 1, 39, 8, 8, 8, 0, 0, 0
18875, 20169, 1, "OK", 2, 28, 6, 6, 6, 0, 0, 0
19168, 19277, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
19313, 20913, 1, "OK", 1, 33, 7, 7, 7, 0, 0, 0
19804, 20027, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
17186, 18243, 1, "OK", 1, 21, 4, 4, 4, 0, 0, 0
17788, 18014, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
17501, 20768, 1, "OK", 1, 67, 13, 13, 13, 0, 0, 0
17703, 20651, 1, "OK", 1, 59, 12, 12, 12, 0, 0, 0
19313, 19913, 1, "OK", 1, 13, 3, 3, 3, 0, 0, 0
19602, 20169, 1, "OK", 2, 12, 3, 3, 3, 0, 0, 0
18875, 19159, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
17011, 17553, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
17562, 19913, 1, "OK", 2, 48, 10, 10, 10, 0, 0, 0
18252, 20027, 1, "OK", 2, 36, 7, 7, 7, 0, 0, 0
19388, 20651, 1, "OK", 2, 27, 6, 6, 6, 0, 0, 0
16859, 17132, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
18752, 20913, 1, "OK", 1, 44, 9, 9, 9, 0, 0, 0
17011, 19593, 1, "OK", 2, 51, 10, 10, 10, 0, 0, 0
16936, 20913, 1, "OK", 1, 79, 16, 16, 16, 0, 0, 0
16936, 18866, 1, "OK", 1, 36, 7, 7, 7, 0, 0, 0
18752, 19913, 1, "OK", 1, 24, 5, 5, 5, 0, 0, 0
18431, 20651, 1, "OK", 1, 44, 9, 9, 9, 0, 0, 0
20277, 20768, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
17788, 19068, 1, "OK", 2, 22, 5, 5, 5, 0, 0, 0
18171, 20509, 1, "OK", 1, 47, 9, 9, 9, 0, 0, 0
17956, 20027, 1, "OK", 1, 42, 8, 8, 8, 0, 0, 0
17011, 20651, 1, "OK", 2, 73, 15, 15, 15, 0, 0, 0
18171, 19509, 1, "OK", 1, 24, 5, 5, 5, 0, 0, 0
17297, 17924, 1, "OK", 2, 12, 3, 3, 3, 0, 0, 0
17501, 19795, 1, "OK", 1, 47, 9, 9, 9, 0, 0, 0
17562, 17924, 1, "OK", 2, 7, 2, 2, 2, 0, 0, 0
19101, 20395, 1, "OK", 1, 28, 6, 6, 6, 0, 0, 0
16936, 19913, 1, "OK", 1, 59, 12, 12, 12, 0, 0, 0
18532, 19593, 1, "OK", 2, 21, 4, 4, 4, 0, 0, 0
17703, 18692, 1, "OK", 1, 18, 4, 4, 4, 0, 0, 0
19388, 19705, 1, "OK", 2, 7, 2, 2, 2, 0, 0, 0
18252, 19068, 1, "OK", 2, 12, 3, 3, 3, 0, 0, 0
16859, 20268, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Element root Element skillRateTestsElement", 0, 0, 13, 13, 13, 0, 0, 0
17703, 19705, 1, "OK", 1, 39, 8, 8, 8, 0, 0, 0
18023, 20027, 1, "OK", 2, 41, 8, 8, 8, 0, 0, 0
19101, 19379, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
17501, 17779, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
16859, 18243, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Element root Element deploymentDurationElement", 0, 0, 5, 5, 5, 0, 0, 0
18532, 20651, 1, "OK", 2, 43, 9, 9, 9, 0, 0, 0
17186, 20395, 1, "OK", 1, 64, 13, 13, 13, 0, 0, 0
17297, 20027, 1, "OK", 2, 56, 11, 11, 11, 0, 0, 0
19168, 20395, 1, "OK", 2, 27, 6, 6, 6, 0, 0, 0
17788, 20169, 1, "OK", 2, 48, 10, 10, 10, 0, 0, 0
18171, 18523, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
17788, 18132, 1, "OK", 2, 7, 2, 2, 2, 0, 0, 0
17956, 19068, 1, "OK", 1, 18, 4, 4, 4, 0, 0, 0
17703, 20768, 1, "OK", 1, 62, 12, 12, 12, 0, 0, 0
18431, 19705, 1, "OK", 1, 24, 5, 5, 5, 0, 0, 0
19602, 20268, 1, "OK", 2, 15, 3, 3, 3, 0, 0, 0
19953, 20651, 1, "OK", 1, 13, 3, 3, 3, 0, 0, 0
17788, 19159, 1, "OK", 2, 26, 5, 5, 5, 0, 0, 0
16936, 17924, 1, "OK", 1, 18, 4, 4, 4, 0, 0, 0
19737, 20169, 1, "OK", 1, 8, 2, 2, 2, 0, 0, 0
17186, 19379, 1, "OK", 1, 42, 8, 8, 8, 0, 0, 0
16859, 19277, 1, "OK", 1, 47, 9, 9, 9, 0, 0, 0
18875, 20268, 1, "OK", 2, 31, 6, 6, 6, 0, 0, 0
19168, 19379, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
19539, 20169, 1, "OK", 1, 13, 3, 3, 3, 0, 0, 0
19313, 20027, 1, "OK", 1, 16, 3, 3, 3, 0, 0, 0
17011, 17662, 1, "OK", 2, 12, 3, 3, 3, 0, 0, 0
17186, 18382, 1, "OK", 1, 23, 5, 5, 5, 0, 0, 0
17297, 18014, 1, "OK", 2, 15, 3, 3, 3, 0, 0, 0
18171, 19593, 1, "OK", 1, 27, 5, 5, 5, 0, 0, 0
19804, 20169, 1, "OK", 2, 7, 2, 2, 2, 0, 0, 0
17562, 20027, 1, "OK", 2, 51, 10, 10, 10, 0, 0, 0
19388, 20768, 1, "OK", 2, 30, 6, 6, 6, 0, 0, 0
17011, 19705, 1, "OK", 2, 53, 11, 11, 11, 0, 0, 0
18431, 18692, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
18752, 20027, 1, "OK", 1, 27, 5, 5, 5, 0, 0, 0
18252, 20169, 1, "OK", 2, 38, 8, 8, 8, 0, 0, 0
17011, 18692, 1, "OK", 2, 32, 7, 7, 7, 0, 0, 0
18875, 19277, 1, "OK", 2, 8, 2, 2, 2, 0, 0, 0
17501, 20913, 1, "OK", 1, 69, 14, 14, 14, 0, 0, 0
17501, 18866, 1, "OK", 1, 26, 5, 5, 5, 0, 0, 0
18023, 19068, 1, "OK", 2, 17, 4, 4, 4, 0, 0, 0
17297, 19068, 1, "OK", 2, 32, 7, 7, 7, 0, 0, 0
18252, 19159, 1, "OK", 2, 16, 3, 3, 3, 0, 0, 0
17501, 19913, 1, "OK", 1, 49, 10, 10, 10, 0, 0, 0
17703, 19795, 1, "OK", 1, 42, 8, 8, 8, 0, 0, 0
16859, 17288, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Element root Element businessApplicationsTestsDurationElement", 0, 0, 1, 1, 1, 0, 0, 0
17011, 20768, 1, "OK", 2, 76, 15, 15, 15, 0, 0, 0
18431, 20768, 1, "OK", 1, 47, 9, 9, 9, 0, 0, 0
17562, 18014, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
20036, 20169, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
19388, 19795, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
20277, 20913, 1, "OK", 2, 12, 3, 3, 3, 0, 0, 0
18171, 20651, 1, "OK", 1, 49, 10, 10, 10, 0, 0, 0
16936, 20027, 1, "OK", 1, 62, 12, 12, 12, 0, 0, 0
18532, 19705, 1, "OK", 2, 23, 5, 5, 5, 0, 0, 0
18532, 18692, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
19101, 20509, 1, "OK", 1, 31, 6, 6, 6, 0, 0, 0
17562, 19068, 1, "OK", 2, 27, 6, 6, 6, 0, 0, 0
17956, 20169, 1, "OK", 1, 44, 9, 9, 9, 0, 0, 0
19101, 19509, 1, "OK", 1, 8, 2, 2, 2, 0, 0, 0
16859, 19379, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Element root Element restartDurationElement", 0, 0, 9, 9, 9, 0, 0, 0
19539, 20268, 1, "OK", 1, 16, 3, 3, 3, 0, 0, 0
17186, 20509, 1, "OK", 1, 67, 13, 13, 13, 0, 0, 0
18532, 20768, 1, "OK", 2, 46, 9, 9, 9, 0, 0, 0
18752, 19068, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
19168, 20509, 1, "OK", 2, 30, 6, 6, 6, 0, 0, 0
16859, 20395, 1, "OK", 1, 72, 14, 14, 14, 0, 0, 0
17788, 20268, 1, "OK", 2, 51, 10, 10, 10, 0, 0, 0
17956, 18132, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
17956, 19159, 1, "OK", 1, 22, 4, 4, 4, 0, 0, 0
18431, 19795, 1, "OK", 1, 27, 5, 5, 5, 0, 0, 0
19737, 20268, 1, "OK", 1, 11, 2, 2, 2, 0, 0, 0
16936, 18014, 1, "OK", 1, 21, 4, 4, 4, 0, 0, 0
17501, 17924, 1, "OK", 1, 8, 2, 2, 2, 0, 0, 0
17788, 18243, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
18023, 18132, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
17011, 19795, 1, "OK", 2, 56, 11, 11, 11, 0, 0, 0
18023, 20169, 1, "OK", 2, 43, 9, 9, 9, 0, 0, 0
20518, 20651, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
18875, 19379, 1, "OK", 2, 11, 2, 2, 2, 0, 0, 0
17297, 20169, 1, "OK", 2, 58, 12, 12, 12, 0, 0, 0
19602, 20395, 1, "OK", 2, 17, 4, 4, 4, 0, 0, 0
17186, 17472, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
18171, 19705, 1, "OK", 1, 29, 6, 6, 6, 0, 0, 0
18875, 20395, 1, "OK", 2, 33, 7, 7, 7, 0, 0, 0
