A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
27745, 28303, 1, "OK", 3, 12, 8, 5, 3, 2, 3, 1
27486, 29157, 1, "OK", 3, 34, 17, 17, 8, 9, 6, 0
27198, 28612, 1, "OK", 1, 29, 11, 11, 5, 6, 4, 0
28317, 28482, 1, "OK", 3, 5, 2, 1, 1, 0, 1, 1
28621, 29293, 1, "OK", 1, 13, 6, 6, 3, 3, 2, 0
27443, 29478, 1, "OK", 5, 43, 18, 18, 9, 9, 6, 0
27443, 29225, 1, "OK", 2, 37, 17, 17, 8, 9, 6, 0
26997, 27179, 1, "OK", 0, 3, 3, 2, 2, 0, 1, 1
28502, 29157, 1, "OK", 1, 12, 6, 6, 3, 3, 2, 0
26867, 29157, 1, "OK", 1, 46, 21, 21, 11, 10, 7, 0
27815, 28441, 1, "OK", 4, 14, 10, 6, 4, 2, 4, 1
26867, 27364, 1, "OK", 1, 9, 4, 4, 3, 1, 1, 0
27373, 29086, 1, "OK", 2, 35, 17, 17, 8, 9, 6, 0
27198, 29157, 1, "OK", 1, 40, 17, 17, 8, 9, 6, 0
29096, 29478, 1, "OK", 3, 8, 1, 1, 1, 0, 0, 0
27815, 28482, 1, "OK", 5, 16, 10, 6, 4, 2, 4, 1
27373, 28612, 1, "OK", 2, 26, 11, 11, 5, 6, 4, 0
26800, 27434, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<Vertex> leaves List<List<Vertex>> sufficientLeavesToCutPath List<Vertex> remainingLeaves", 0, 0, 4, 4, 3, 1, 1, 0
26800, 29225, 1, "OK", 0, 48, 21, 21, 11, 10, 7, 0
27443, 28492, 1, "OK", 2, 23, 11, 11, 5, 6, 4, 0
26800, 29478, 1, "OK", 2, 54, 22, 22, 12, 10, 7, 0
27287, 29478, 1, "OK", 3, 45, 18, 18, 9, 9, 6, 0
27287, 29225, 1, "OK", 1, 39, 17, 17, 8, 9, 6, 0
28621, 29086, 1, "OK", 1, 9, 6, 6, 3, 3, 2, 0
26909, 27145, 1, "OK", 0, 3, 3, 2, 2, 0, 1, 1
27486, 29225, 1, "OK", 3, 35, 17, 17, 8, 9, 6, 0
27486, 29478, 1, "OK", 6, 41, 18, 18, 9, 9, 6, 0
26800, 27189, 1, "OK", 0, 7, 4, 4, 3, 1, 1, 0
26800, 28492, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<Vertex> leaves List<List<Vertex>> sufficientLeavesToCutPath", 0, 0, 15, 15, 8, 7, 5, 0
27373, 29157, 1, "OK", 2, 37, 17, 17, 8, 9, 6, 0
26867, 27434, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Vertex>> sufficientLeavesToCutPath List<Vertex> remainingLeaves", 0, 0, 4, 4, 3, 1, 1, 0
27443, 29293, 1, "OK", 2, 38, 17, 17, 8, 9, 6, 0
27880, 28289, 1, "OK", 4, 8, 6, 2, 2, 0, 2, 2
26867, 29478, 1, "OK", 3, 53, 22, 22, 12, 10, 7, 0
28502, 29225, 1, "OK", 1, 13, 6, 6, 3, 3, 2, 0
26867, 29225, 1, "OK", 1, 47, 21, 21, 11, 10, 7, 0
27287, 28492, 1, "OK", 1, 25, 11, 11, 5, 6, 4, 0
28502, 29478, 1, "OK", 4, 19, 7, 7, 4, 3, 2, 0
29303, 29478, 1, "OK", 3, 4, 1, 1, 1, 0, 0, 0
27198, 29225, 1, "OK", 1, 41, 17, 17, 8, 9, 6, 0
27486, 28492, 1, "OK", 3, 21, 11, 11, 5, 6, 4, 0
26909, 27179, 1, "OK", 0, 4, 3, 2, 2, 0, 1, 1
27198, 29478, 1, "OK", 3, 47, 18, 18, 9, 9, 6, 0
26800, 27476, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<Vertex> leaves List<List<Vertex>> sufficientLeavesToCutPath List<Vertex> remainingLeaves int simultaneousLeavesNumber", 0, 0, 4, 4, 3, 1, 1, 0
27636, 28441, 1, "OK", 3, 17, 10, 6, 4, 2, 4, 1
26867, 27189, 1, "OK", 0, 6, 4, 4, 3, 1, 1, 0
26800, 29293, 1, "OK", 0, 49, 21, 21, 11, 10, 7, 0
28621, 29157, 1, "OK", 1, 11, 6, 6, 3, 3, 2, 0
26867, 28492, 1, "OK", 1, 33, 15, 15, 8, 7, 5, 0
28104, 28289, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
27287, 29293, 1, "OK", 1, 40, 17, 17, 8, 9, 6, 0
27443, 29086, 1, "OK", 2, 34, 17, 17, 8, 9, 6, 0
27198, 28492, 1, "OK", 1, 27, 11, 11, 5, 6, 4, 0
27636, 28482, 1, "OK", 3, 19, 10, 6, 4, 2, 4, 1
27815, 28303, 1, "OK", 4, 10, 8, 5, 3, 2, 3, 1
28931, 29028, 1, "OK", 3, 2, 3, 1, 1, 0, 1, 2
26867, 27476, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Vertex>> sufficientLeavesToCutPath List<Vertex> remainingLeaves int simultaneousLeavesNumber", 0, 0, 4, 4, 3, 1, 1, 0
27373, 29225, 1, "OK", 2, 38, 17, 17, 8, 9, 6, 0
26800, 27277, 1, "OK", 0, 8, 4, 4, 3, 1, 1, 0
27745, 28441, 1, "OK", 3, 16, 10, 6, 4, 2, 4, 1
28502, 29293, 1, "OK", 1, 14, 6, 6, 3, 3, 2, 0
26867, 29293, 1, "OK", 1, 48, 21, 21, 11, 10, 7, 0
27373, 29478, 1, "OK", 4, 44, 18, 18, 9, 9, 6, 0
27486, 29293, 1, "OK", 3, 36, 17, 17, 8, 9, 6, 0
27880, 28087, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
26800, 29086, 1, "OK", 0, 45, 21, 21, 11, 10, 7, 0
27287, 29086, 1, "OK", 1, 36, 17, 17, 8, 9, 6, 0
28621, 29225, 1, "OK", 1, 12, 6, 6, 3, 3, 2, 0
28759, 29042, 1, "OK", 2, 5, 5, 3, 2, 1, 2, 1
28621, 29478, 1, "OK", 4, 18, 7, 7, 4, 3, 2, 0
26867, 27277, 1, "OK", 1, 7, 4, 4, 3, 1, 1, 0
29166, 29478, 1, "OK", 3, 7, 1, 1, 1, 0, 0, 0
27949, 28289, 1, "OK", 5, 7, 6, 2, 2, 0, 2, 2
27198, 29293, 1, "OK", 1, 42, 17, 17, 8, 9, 6, 0
27443, 28612, 1, "OK", 2, 25, 11, 11, 5, 6, 4, 0
26867, 29086, 1, "OK", 1, 44, 21, 21, 11, 10, 7, 0
27287, 28612, 1, "OK", 1, 27, 11, 11, 5, 6, 4, 0
28502, 29086, 1, "OK", 1, 10, 6, 6, 3, 3, 2, 0
27486, 29086, 1, "OK", 3, 32, 17, 17, 8, 9, 6, 0
27373, 28492, 1, "OK", 2, 24, 11, 11, 5, 6, 4, 0
27745, 28482, 1, "OK", 4, 18, 10, 6, 4, 2, 4, 1
28317, 28441, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
28759, 29076, 1, "OK", 2, 6, 5, 3, 2, 1, 2, 1
27636, 28303, 1, "OK", 3, 13, 8, 5, 3, 2, 3, 1
28694, 29042, 1, "OK", 2, 6, 5, 3, 2, 1, 2, 1
28843, 29028, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
26800, 28612, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<Vertex> leaves List<List<Vertex>> sufficientLeavesToCutPath", 0, 0, 15, 15, 8, 7, 5, 0
27443, 29157, 1, "OK", 2, 36, 17, 17, 8, 9, 6, 0
27287, 29157, 1, "OK", 1, 38, 17, 17, 8, 9, 6, 0
