A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
40443, 41199, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
41771, 42524, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endIndex int chars_len char[] chars", 0, 0, 25, 9, 5, 4, 4, 4
41165, 43903, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 56, 56, 20, 36, 11, 0
41427, 42704, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index char ch String stringVal", 0, 0, 33, 15, 7, 8, 6, 3
41709, 42661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index String stringVal", 0, 0, 29, 14, 6, 8, 5, 3
40242, 45389, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 81, 81, 35, 46, 16, 0
43892, 45389, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 20, 11, 9, 4, 0
44782, 45170, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 8, 2, 2, 0, 2, 3
41623, 42748, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index char ch", 0, 0, 29, 14, 6, 8, 5, 3
43339, 43563, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 7, 3, 2, 1, 2, 2
42773, 43190, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 5, 5, 0, 0, 2
40210, 41237, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 4, 1, 1, 0
41249, 45389, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 76, 76, 31, 45, 15, 0
44826, 45090, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 8, 2, 2, 0, 2, 3
44826, 45136, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 8, 2, 2, 0, 2, 3
40242, 43880, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 61, 61, 24, 37, 12, 0
41860, 42357, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 20, 5, 4, 1, 3, 5
40242, 45413, 1, "OK", 2, 157, 81, 81, 35, 46, 16, 0
43892, 45413, 1, "OK", 5, 49, 20, 20, 11, 9, 4, 0
40443, 41237, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
41249, 43903, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 56, 56, 20, 36, 11, 0
40210, 45389, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 81, 81, 35, 46, 16, 0
41249, 45413, 1, "OK", 5, 124, 76, 76, 31, 45, 15, 0
41427, 41687, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endIndex String stringVal", 0, 0, 4, 1, 1, 0, 1, 3
44287, 45189, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 8, 6, 2, 2, 2
40320, 40420, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
42192, 42289, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 1, 1, 0, 1, 5
41249, 43880, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 56, 56, 20, 36, 11, 0
43339, 43605, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 7, 3, 2, 1, 2, 2
41771, 42593, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endIndex String stringVal", 0, 0, 25, 9, 5, 4, 4, 4
40210, 43880, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 61, 61, 24, 37, 12, 0
40210, 45413, 1, "OK", 2, 159, 81, 81, 35, 46, 16, 0
41382, 42616, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endIndex String stringVal", 0, 0, 33, 15, 7, 8, 6, 3
41316, 43650, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 53, 42, 17, 25, 11, 1
44782, 44998, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index char ch boolean space", 0, 0, 4, 1, 1, 0, 1, 3
44826, 45170, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 8, 2, 2, 0, 2, 3
41382, 41599, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startIndex int endIndex", 0, 0, 4, 1, 1, 0, 1, 3
41709, 42704, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index char ch String stringVal", 0, 0, 29, 14, 6, 8, 5, 3
40242, 40566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 4, 1, 1, 0
41811, 42357, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 20, 5, 4, 1, 3, 5
41489, 41599, 1, "OK", 1, 3, 4, 1, 1, 0, 1, 3
43339, 43635, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 7, 3, 2, 1, 2, 2
41489, 42616, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endIndex String stringVal", 0, 0, 33, 15, 7, 8, 6, 3
40242, 43903, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 61, 61, 24, 37, 12, 0
41427, 42748, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index char ch", 0, 0, 33, 15, 7, 8, 6, 3
40443, 45389, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 77, 77, 32, 45, 15, 0
41489, 42661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index String stringVal", 0, 0, 33, 15, 7, 8, 6, 3
41709, 42748, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int index char ch", 0, 0, 29, 14, 6, 8, 5, 3
