A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
76976, 77076, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
75376, 77076, 0, "Compilation unit does not compile after method extraction.", 2, 52, 30, 30, 16, 14, 7, 0
75828, 76953, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 22, 17, 11, 6, 5, 1
76112, 76277, 1, "OK", 0, 4, 3, 1, 1, 0, 1, 2
75898, 76953, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 21, 16, 10, 6, 5, 1
75405, 77076, 0, "Compilation unit does not compile after method extraction.", 3, 51, 30, 30, 16, 14, 7, 0
76575, 76841, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
75376, 76964, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 29, 15, 14, 7, 0
76355, 76953, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 9, 5, 4, 3, 1
76575, 76788, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
76613, 76890, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
76089, 76296, 1, "OK", 0, 6, 3, 1, 1, 0, 1, 2
75426, 77076, 0, "Compilation unit does not compile after method extraction.", 4, 50, 30, 30, 16, 14, 7, 0
75932, 75994, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
75405, 76964, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 29, 15, 14, 7, 0
76575, 76919, 1, "OK", 1, 9, 4, 1, 1, 0, 1, 3
76613, 76841, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
75344, 77076, 0, "Compilation unit does not compile after method extraction.", 1, 53, 30, 30, 16, 14, 7, 0
75546, 75807, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
76389, 76938, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 5, 4, 1, 3, 2
75426, 76964, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 29, 15, 14, 7, 0
75511, 76953, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 28, 21, 14, 7, 7, 1
76046, 76953, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 17, 13, 8, 5, 4, 1
75472, 76953, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 28, 21, 14, 7, 7, 1
75344, 76964, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 29, 15, 14, 7, 0
76089, 76334, 1, "OK", 1, 8, 3, 1, 1, 0, 1, 2
76613, 76788, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
76613, 76919, 1, "OK", 0, 8, 4, 1, 1, 0, 1, 3
76389, 76512, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
76575, 76890, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
76151, 76277, 1, "OK", 1, 3, 3, 1, 1, 0, 1, 2
75932, 76025, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
76530, 76938, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 3, 2, 1, 2, 2
