A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
32176, 33789, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 26, 17, 10, 7, 9, 1
25960, 30895, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 55, 55, 24, 31, 17, 0
26054, 35149, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 103, 103, 54, 49, 28, 0
24995, 25995, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 8, 2, 2, 0
24930, 35179, 1, "OK", 2, 266, 114, 114, 63, 51, 30, 0
25029, 35179, 1, "OK", 3, 261, 113, 113, 62, 51, 30, 0
31306, 35149, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 45, 45, 27, 18, 11, 0
24995, 32132, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 75, 75, 41, 34, 20, 0
24585, 31531, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 73, 73, 40, 33, 19, 0
28833, 31967, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 29, 17, 12, 8, 0
26420, 26898, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 4, 3, 1, 3, 2
24850, 31531, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 71, 71, 38, 33, 19, 0
25618, 31296, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 62, 62, 30, 32, 18, 0
31540, 35103, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 44, 44, 26, 18, 11, 0
24930, 25995, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
34183, 35103, 1, "OK", 2, 16, 8, 8, 8, 0, 0, 0
26054, 35179, 1, "OK", 4, 228, 103, 103, 54, 49, 28, 0
25029, 25995, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 8, 2, 2, 0
25029, 32132, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 75, 75, 41, 34, 20, 0
31306, 35179, 1, "OK", 4, 95, 45, 45, 27, 18, 11, 0
