A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3447, 3542, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
711, 4394, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 52, 52, 36, 16, 14, 0
769, 1061, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
769, 1832, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 14, 12, 2, 6, 1
3552, 4394, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 12, 9, 3, 3, 0
1032, 1874, 0, "Compilation unit does not compile after method extraction.", 2, 22, 17, 12, 10, 2, 5, 1
2504, 2835, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
1894, 3830, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 23, 17, 6, 6, 0
3487, 4114, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 7, 2, 2, 0
1954, 2490, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 4, 4, 0, 2, 1
3212, 3427, 0, "Compilation unit does not compile after method extraction.", 1, 7, 3, 2, 2, 0, 1, 1
1121, 1690, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 10, 8, 2, 4, 1
665, 3542, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 40, 40, 27, 13, 11, 0
3447, 3830, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 4, 1, 1, 0
1074, 1874, 0, "Compilation unit does not compile after method extraction.", 3, 21, 17, 12, 10, 2, 5, 1
1894, 3079, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 9, 4, 4, 0
3840, 4449, 0, "Compilation unit does not compile after method extraction.", 3, 17, 8, 8, 6, 2, 2, 0
1189, 1387, 0, "Compilation unit does not compile after method extraction.", 1, 4, 4, 2, 2, 0, 1, 2
1894, 4114, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 27, 27, 20, 7, 7, 0
3487, 4394, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 10, 3, 3, 0
3089, 4449, 0, "Compilation unit does not compile after method extraction.", 4, 42, 18, 18, 14, 4, 4, 0
769, 1874, 0, "Compilation unit does not compile after method extraction.", 2, 28, 20, 14, 12, 2, 6, 1
1032, 1401, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 5, 4, 1, 2, 1
769, 1107, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
711, 1884, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 21, 13, 8, 6, 0
