A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
34656, 36783, 1, "OK", 8, 35, 10, 6, 5, 1, 2, 2
32279, 36739, 1, "OK", 6, 73, 14, 8, 7, 1, 3, 2
22681, 22981, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Type elementType Class<?> elementClass", 0, 0, 4, 2, 2, 0, 1, 2
26401, 30538, 1, "OK", 4, 63, 28, 13, 9, 4, 5, 3
25344, 30538, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label forItemNullEnd_ Label forItemClassIfEnd_", 0, 0, 28, 13, 9, 4, 5, 3
27045, 29001, 1, "OK", 4, 31, 12, 4, 3, 1, 2, 4
26961, 29552, 1, "OK", 4, 40, 18, 6, 5, 1, 3, 4
24792, 31257, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label forItemNullEnd_ Label forItemClassIfEnd_", 0, 0, 34, 16, 12, 4, 6, 3
33137, 36783, 1, "OK", 7, 57, 14, 8, 7, 1, 3, 2
32399, 35084, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
33070, 36783, 1, "OK", 7, 59, 14, 8, 7, 1, 3, 2
25901, 31723, 1, "OK", 7, 94, 34, 16, 12, 4, 6, 3
32147, 34698, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
26786, 28853, 1, "OK", 5, 32, 12, 4, 3, 1, 2, 4
23388, 31787, 1, "OK", 5, 149, 39, 25, 15, 10, 7, 2
32279, 34698, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
34715, 36998, 1, "OK", 9, 39, 10, 6, 5, 1, 2, 2
32147, 36739, 1, "OK", 6, 75, 14, 8, 7, 1, 3, 2
26496, 31723, 1, "OK", 10, 82, 34, 16, 12, 4, 6, 3
26285, 30074, 1, "OK", 6, 59, 23, 11, 7, 4, 4, 3
32487, 34418, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
32664, 35084, 1, "OK", 5, 35, 4, 2, 2, 0, 1, 2
26886, 29872, 1, "OK", 5, 45, 18, 6, 5, 1, 3, 4
32541, 34788, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
33070, 34788, 1, "OK", 4, 26, 4, 2, 2, 0, 1, 2
23451, 31900, 1, "OK", 6, 150, 39, 25, 15, 10, 7, 2
33016, 34418, 1, "OK", 4, 22, 4, 2, 2, 0, 1, 2
24697, 30138, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label for_ Label forEnd_ Label forItemNullEnd_ Label forItemClassIfEnd_", 0, 0, 23, 11, 7, 4, 4, 3
32023, 34483, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label notNullEnd_ Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
32147, 36783, 1, "OK", 6, 76, 14, 8, 7, 1, 3, 2
35247, 36913, 1, "OK", 6, 30, 10, 6, 5, 1, 2, 2
24792, 31312, 1, "OK", 8, 107, 34, 16, 12, 4, 6, 3
32866, 36998, 1, "OK", 8, 68, 14, 8, 7, 1, 3, 2
23317, 31985, 1, "OK", 6, 154, 39, 25, 15, 10, 7, 2
32279, 36783, 1, "OK", 6, 74, 14, 8, 7, 1, 3, 2
24169, 30138, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label for_ Label forEnd_ Label forItemNullEnd_ Label forItemClassIfEnd_", 0, 0, 23, 11, 7, 4, 4, 3
26347, 30208, 1, "OK", 5, 59, 23, 11, 7, 4, 4, 3
22998, 23433, 1, "OK", 5, 11, 7, 3, 2, 1, 2, 2
33070, 36861, 1, "OK", 7, 62, 14, 8, 7, 1, 3, 2
25901, 31769, 1, "OK", 8, 96, 34, 16, 12, 4, 6, 3
27045, 29075, 1, "OK", 4, 32, 12, 4, 3, 1, 2, 4
32399, 35131, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_", 0, 0, 4, 2, 2, 0, 1, 2
33137, 34788, 1, "OK", 4, 24, 4, 2, 2, 0, 1, 2
23388, 31848, 1, "OK", 5, 151, 39, 25, 15, 10, 7, 2
32587, 35442, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ String format", 0, 0, 4, 2, 2, 0, 1, 2
18332, 37022, 1, "OK", 3, 342, 80, 80, 40, 40, 15, 0
28879, 29552, 1, "OK", 3, 10, 6, 2, 2, 0, 1, 4
32541, 36861, 1, "OK", 6, 71, 14, 8, 7, 1, 3, 2
34656, 36861, 1, "OK", 8, 38, 10, 6, 5, 1, 2, 2
18927, 37012, 1, "OK", 4, 324, 76, 62, 37, 25, 14, 1
27218, 29872, 1, "OK", 6, 38, 18, 6, 5, 1, 3, 4
26496, 31769, 1, "OK", 11, 84, 34, 16, 12, 4, 6, 3
25125, 31257, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label forItemNullEnd_ Label forItemClassIfEnd_", 0, 0, 34, 16, 12, 4, 6, 3
32339, 36998, 1, "OK", 7, 77, 14, 8, 7, 1, 3, 2
26961, 29634, 1, "OK", 4, 41, 18, 6, 5, 1, 3, 4
24224, 30538, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label for_ Label forEnd_ Label forItemNullEnd_ Label forItemClassIfEnd_", 0, 0, 28, 13, 9, 4, 5, 3
24792, 31364, 1, "OK", 8, 108, 34, 16, 12, 4, 6, 3
32279, 34788, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
26285, 30138, 1, "OK", 6, 60, 23, 11, 7, 4, 4, 3
32487, 34483, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_ Label instanceOfEnd_", 0, 0, 4, 2, 2, 0, 1, 2
24697, 30208, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label for_ Label forEnd_ Label forItemNullEnd_ Label forItemClassIfEnd_", 0, 0, 23, 11, 7, 4, 4, 3
26786, 28933, 1, "OK", 5, 34, 12, 4, 3, 1, 2, 4
