A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
5562, 5947, 1, "OK", 3, 10, 6, 5, 4, 1, 1, 1
4484, 6083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name", 0, 0, 25, 25, 15, 10, 7, 0
4451, 6083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name", 0, 0, 25, 25, 15, 10, 7, 0
4685, 5947, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name String key", 0, 0, 20, 15, 12, 3, 5, 1
4685, 6073, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name String key", 0, 0, 22, 16, 13, 3, 6, 1
4402, 6083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name", 0, 0, 25, 25, 15, 10, 7, 0
4512, 6128, 1, "OK", 4, 46, 25, 25, 15, 10, 7, 0
4535, 4647, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
5961, 6073, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
4685, 4931, 0, "Compilation unit does not compile after method extraction.", 2, 6, 3, 2, 2, 0, 1, 1
5255, 5947, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style", 0, 0, 11, 9, 7, 2, 2, 1
4535, 6073, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 24, 17, 14, 3, 7, 1
4661, 5947, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name String key", 0, 0, 20, 15, 12, 3, 5, 1
4512, 6083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name", 0, 0, 25, 25, 15, 10, 7, 0
4535, 5947, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 22, 16, 13, 3, 6, 1
4661, 6073, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name String key", 0, 0, 22, 16, 13, 3, 6, 1
4535, 4672, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
4946, 5947, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name", 0, 0, 17, 13, 10, 3, 4, 1
5614, 5847, 1, "OK", 2, 6, 4, 2, 2, 0, 1, 2
5308, 5542, 1, "OK", 2, 6, 4, 2, 2, 0, 1, 2
4946, 6073, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int size int style String name", 0, 0, 19, 14, 11, 3, 5, 1
4451, 6128, 1, "OK", 1, 48, 25, 25, 15, 10, 7, 0
4998, 5235, 1, "OK", 2, 6, 4, 2, 2, 0, 1, 2
4661, 4931, 1, "OK", 1, 7, 3, 2, 2, 0, 1, 1
4484, 6128, 1, "OK", 3, 47, 25, 25, 15, 10, 7, 0
4535, 4931, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 3, 3, 0, 2, 1
4402, 6128, 1, "OK", 1, 50, 25, 25, 15, 10, 7, 0
